Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.911396,-56.25347,53.34207,-0.2087905,0.2059146,0.1581922,1.370443E-07,0,1.288298E-07,0.0001999914,0.0001999914,0.001692112,11.81904,-2.947061,1653.486,-144.1762,0.5920906,0,
2,-2.909124,-56.43607,53.52695,-0.2100122,-0.02405027,0.1494384,1.144156E-07,0.001692112,7.418988E-08,0.001892105,0.000199993,0.001692129,11.81902,1.475449,1714.466,-144.1088,0.5374968,0,
3,-2.888904,-56.29531,53.4064,-0.2125404,0.1989569,0.1463089,1.375321E-07,0.00338424,1.285355E-07,0.003584231,0.0001999905,0.001692117,11.81895,-0.1267558,1638.32,-144.1711,0.5736618,0,
4,-2.896896,-53.94038,51.04348,-0.2118444,0.1384574,0.155126,1.259701E-07,0.005076358,1.176558E-07,0.005276352,0.0001999943,0.001692132,11.81907,-2.79506,1683.603,-143.7833,0.5820804,0,
5,-2.875323,-54.43681,51.56149,-0.2099607,-0.1213444,0.142793,1.308373E-07,0.00676849,1.204478E-07,0.006968485,0.0001999946,0.00169212,11.81918,-1.449757,1816.129,-143.6533,0.5938175,0,
6,-2.893288,-54.48949,51.5962,-0.2089481,0.2940044,0.1540318,1.330529E-07,0.00846061,1.32114E-07,0.008660601,0.0001999914,0.001692128,11.81893,-0.005192789,1658.389,-143.7242,0.5404894,0,
7,-2.892477,-57.6025,54.71002,-0.2089412,-0.3476937,0.1452631,9.56958E-08,0.01015274,1.047964E-07,0.01035273,0.0001999946,0.001692113,11.81922,-0.07103968,1698.688,-143.8666,0.5925974,0,
8,-2.907025,-54.88639,51.97937,-0.2100048,0.332078,0.1489231,1.318791E-07,0.01184485,1.31883E-07,0.01204484,0.0001999916,0.001692135,11.81889,2.154882,1623.354,-143.996,0.5596541,0,
9,-2.915044,-54.84252,51.92748,-0.2093725,-0.2295121,0.1705772,9.341387E-08,0.01353699,7.664194E-08,0.01373698,0.0001999923,0.001692123,11.81902,-3.907549,1788.975,-143.9852,0.5997515,0,
10,-2.897,-53.89064,50.99364,-0.2089212,0.3148557,0.1477098,1.372004E-07,0.01522911,1.335729E-07,0.01542909,0.0001999852,0.001692124,11.81859,-3.569266,1718.806,-144.1113,0.5078194,0,
11,-2.91269,-55.89486,52.98217,-0.2052846,-0.05654465,0.1407937,1.156469E-07,0.01692123,7.323598E-08,0.01712122,0.0001999927,0.001692129,11.819,1.711316,1684.208,-144.3838,0.6346922,0,
