Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.172861,-54.51925,52.34639,-0.2075398,0.140535,0.155701,1.252545E-07,0,1.193261E-07,0.0001999943,0.0001999943,0.00169214,11.81902,-0.1257226,1686.104,25.19415,0.6284071,0,
2,-2.173797,-53.84713,51.67333,-0.2107403,-0.316842,0.1395199,1.016386E-07,0.00169214,1.063279E-07,0.001892134,0.0001999946,0.001692112,11.81923,-0.05121788,1728.301,25.26829,0.5914856,0,
3,-2.16294,-54.2205,52.05756,-0.2087703,0.2410548,0.148008,1.333988E-07,0.003384251,1.317479E-07,0.003584244,0.0001999922,0.001692135,11.81892,1.91159,1557.448,25.31285,0.5987841,0,
4,-2.168722,-54.06791,51.89919,-0.2099578,-0.2542152,0.1602813,9.436942E-08,0.005076387,7.97796E-08,0.005276379,0.0001999924,0.001692122,11.81903,0.7721244,1678.146,25.3848,0.5915558,0,
5,-2.177017,-55.05767,52.88065,-0.2082989,0.2895018,0.1497175,1.370492E-07,0.006768509,1.342839E-07,0.006968495,0.0001999861,0.001692125,11.81864,-2.614725,1803.954,25.31943,0.6142688,0,
6,-2.170813,-53.0402,50.86938,-0.2051001,-0.05223205,0.1537955,1.142818E-07,0.008460634,7.324978E-08,0.008660627,0.0001999927,0.001692128,11.81901,-3.937549,1731.629,25.36309,0.6280873,0,
7,-2.185209,-55.4995,53.31429,-0.2127159,0.1897328,0.1582561,1.362517E-07,0.01015276,1.293568E-07,0.01035275,0.000199991,0.001692112,11.81901,-0.999141,1698.918,25.38728,0.621645,0,
8,-2.155183,-55.12411,52.96893,-0.2094038,-0.07458251,0.1485494,1.152369E-07,0.01184487,7.357704E-08,0.01204487,0.0001999926,0.001692137,11.81893,1.915978,1719.27,25.46234,0.6081468,0,
9,-2.184207,-54.56602,52.38182,-0.2100823,-0.045674,0.1612273,1.272334E-07,0.01353701,1.200233E-07,0.01373701,0.000199996,0.001692108,11.81934,1.473536,1528.831,25.41183,0.5404603,0,
10,-2.17445,-54.95846,52.78401,-0.2063525,0.1352773,0.1354235,1.262151E-07,0.01522912,1.18078E-07,0.01542911,0.0001999946,0.00169214,11.81903,-0.4050702,1772.082,25.45581,0.6581442,0,
11,-2.165828,-53.88486,51.71903,-0.2055907,-0.2795021,0.1365665,1.030221E-07,0.01692126,1.056361E-07,0.01712125,0.0001999944,0.001692112,11.81922,-2.762399,1665.344,25.12627,0.6181959,0,
12,-2.167033,-54.61459,52.44755,-0.2132261,0.2326958,0.156969,1.331868E-07,0.01861337,1.318679E-07,0.01881336,0.0001999916,0.001692128,11.81894,2.86871,1791.644,25.18169,0.5962718,0,
13,-2.151869,-55.81874,53.66687,-0.2134097,-0.3202453,0.1471914,1.03207E-07,0.0203055,1.049496E-07,0.02050549,0.0001999942,0.00169213,11.81908,0.1058258,1625.395,25.2512,0.5840549,0,
14,-2.17189,-55.07733,52.90544,-0.2068655,0.3086743,0.1592813,1.377714E-07,0.02199763,1.338217E-07,0.02219762,0.0001999857,0.001692118,11.81866,0.5861568,1621.999,25.54333,0.5890538,0,
15,-2.169231,-55.46014,53.2909,-0.205301,-0.2437723,0.149828,9.707073E-08,0.02368975,7.825378E-08,0.02388974,0.0001999925,0.001692135,11.81894,-1.972042,1595.988,25.4707,0.5994285,0,
16,-2.159976,-56.71862,54.55864,-0.2180517,0.182167,0.1372257,1.361398E-07,0.02538188,1.290943E-07,0.02558187,0.0001999906,0.001692112,11.819,-5.096596,1591.588,25.52205,0.5226641,0,
17,-2.178759,-54.6837,52.50494,-0.2087374,-0.04219134,0.1478845,1.137289E-07,0.02707399,7.417128E-08,0.02727399,0.0001999928,0.001692129,11.81901,-1.623534,1579.634,25.24312,0.6264281,0,
18,-2.160761,-56.64573,54.48496,-0.2078757,0.2101908,0.1724912,1.368699E-07,0.02876612,1.287032E-07,0.02896611,0.0001999903,0.001692118,11.81894,1.871347,1711.783,25.27052,0.5817904,0,
19,-2.189652,-54.09657,51.90692,-0.2055984,0.1198027,0.1505367,1.259139E-07,0.03045824,1.195695E-07,0.03065823,0.0001999941,0.001692131,11.81907,3.572462,1493.022,25.18099,0.6353583,0,
20,-2.192644,-54.57293,52.38029,-0.212518,-0.04639642,0.1352935,1.293549E-07,0.03215037,1.19113E-07,0.03235037,0.0001999955,0.00169212,11.81923,-1.882115,1507.661,25.58553,0.5623679,0,
