Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-0.9986922,-53.54508,52.54639,-0.2264981,-0.3222637,0.1507282,9.781303E-08,0,1.049517E-07,0.0001999943,0.0001999943,0.00169213,11.81908,3.63047,1702.606,157.9114,0.5936859,0,
2,-1.006106,-53.36942,52.36332,-0.2180628,0.2963934,0.1665672,1.375419E-07,0.00169213,1.327703E-07,0.001892116,0.0001999858,0.001692117,11.81868,0.1216656,1873.802,157.9578,0.6048114,0,
3,-0.9869391,-53.77753,52.79059,-0.2198684,-0.2664899,0.1359137,9.788385E-08,0.003384247,7.755131E-08,0.003584239,0.0001999923,0.001692136,11.81892,1.577895,1716.536,157.8764,0.5734366,0,
4,-0.9887484,-52.87658,51.88783,-0.2181234,0.1612992,0.1561145,1.368049E-07,0.005076383,1.285044E-07,0.005276374,0.0001999903,0.001692111,11.81898,-0.3847226,1718.015,157.8566,0.6498338,0,
5,-0.9905621,-54.52329,53.53273,-0.2228569,-0.1127019,0.1444199,1.168424E-07,0.006768494,7.701464E-08,0.006968487,0.0001999926,0.001692128,11.819,4.828202,1977.066,157.8609,0.646027,0,
6,-1.001923,-54.89188,53.88996,-0.2208923,0.1733452,0.1469441,1.378226E-07,0.008460622,1.299122E-07,0.008660613,0.0001999901,0.001692118,11.81892,3.206828,1712.193,157.8399,0.616339,0,
7,-1.001172,-54.2464,53.24523,-0.2207848,0.140589,0.1699609,1.263026E-07,0.01015274,1.182619E-07,0.01035273,0.000199994,0.001692132,11.81906,-0.867947,1670.926,157.8183,0.5719557,0,
8,-0.9997813,-52.90391,51.90413,-0.2180468,-0.09683304,0.13717,1.274887E-07,0.01184487,1.205184E-07,0.01204487,0.0001999947,0.00169212,11.81918,-3.499441,1574.063,157.8868,0.5405577,0,
9,-0.9979666,-53.44062,52.44266,-0.2184257,0.2454567,0.1447744,1.32817E-07,0.01353699,1.316102E-07,0.01373698,0.000199991,0.001692128,11.81891,0.9023708,1605.932,157.9049,0.583496,0,
10,-0.9765958,-53.64524,52.66865,-0.2180771,-0.2896145,0.1396763,9.750158E-08,0.01522912,1.051033E-07,0.01542911,0.0001999938,0.00169213,11.81906,-0.3101163,1828.629,157.7291,0.6197197,0,
11,-0.9929873,-54.39912,53.40614,-0.2202362,0.2571745,0.13704,1.37815E-07,0.01692125,1.340022E-07,0.01712123,0.0001999848,0.001692117,11.81861,0.3256906,1845.135,157.8907,0.6406819,0,
12,-0.9963956,-54.8004,53.80401,-0.2211669,-0.2828256,0.152707,9.980552E-08,0.01861337,7.836528E-08,0.01881336,0.0001999917,0.001692123,11.81898,2.290673,1703.214,157.9986,0.6375452,0,
13,-0.9680253,-53.8568,52.88877,-0.2233971,0.2478158,0.1448901,1.376384E-07,0.02030549,1.337039E-07,0.02050547,0.0001999843,0.001692123,11.81855,0.109067,1767.228,157.6569,0.558555,0,
