Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.994452,-55.49192,52.49746,-0.1733665,-0.139558,0.1301516,1.195258E-07,0,1.148841E-07,3.999548E-05,3.999548E-05,0.0003590314,11.13983,-34.10939,1690.316,109.7625,0.5509703,0,
2,-2.986108,-54.78865,51.80254,-0.1730602,0.1794654,0.1358671,1.335648E-07,0.0003590314,1.256965E-07,0.0003990252,3.999383E-05,0.0003590125,11.13995,-78.28811,1780.933,109.5727,0.5642596,0,
3,-3.013794,-52.51001,49.49622,-0.1697912,0.4382244,0.1215902,1.326278E-07,0.0007180439,1.341616E-07,0.0007580328,3.998896E-05,0.0003590247,11.13822,41.74301,2268.536,109.7438,0.6901148,0,
4,-2.977843,-54.66043,51.68259,-0.1582394,0.281038,0.1272893,1.276439E-07,0.001077069,1.272958E-07,0.001117063,3.999466E-05,0.0003590323,11.13957,75.11874,1788.957,109.5225,0.6922029,0,
5,-2.991077,-57.39141,54.40034,-0.1552343,0.1788913,0.1457358,1.16177E-07,0.001436101,1.017354E-07,0.001476095,3.999386E-05,0.0003590269,11.13952,12.66775,1479.447,109.6092,0.7292085,0,
6,-3.020149,-53.67663,50.65648,-0.1763203,-0.2072806,0.1360683,7.632023E-08,0.001795128,9.290188E-08,0.001835121,3.999341E-05,0.0003590321,11.13923,-51.08774,1682.228,109.6589,0.490451,0,
7,-3.018165,-56.39908,53.38091,-0.1831198,-0.07638789,0.1247405,1.184093E-07,0.00215416,1.145653E-07,0.002194156,3.999587E-05,0.0003590204,11.14028,-15.40487,1776.19,109.6826,0.6663854,0,
8,-2.985454,-53.6314,50.64594,-0.1697528,0.3767749,0.1321855,1.378111E-07,0.00251318,1.321909E-07,0.002553166,3.99861E-05,0.0003590231,11.13747,-53.08571,1615.545,109.7481,0.7049644,0,
9,-2.999553,-56.23664,53.23709,-0.1666391,0.4380265,0.1230006,1.329499E-07,0.002872203,1.33935E-07,0.002912193,3.998969E-05,0.0003590249,11.13842,3.937207,1632.766,109.6596,0.6651908,0,
10,-3.000983,-56.12239,53.1214,-0.1657598,0.3233634,0.1325149,1.274623E-07,0.003231228,1.271417E-07,0.003271223,3.99949E-05,0.0003590267,11.13981,-60.52139,1477.312,109.5885,0.3846686,0,
