Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.623367,-55.9788,53.35543,-0.1608138,0.4690541,0.1254161,1.355391E-07,0,1.335388E-07,3.998685E-05,3.998685E-05,0.0003590227,11.13769,-4.179707,1394.894,77.45074,0.4421672,0,
2,-2.600639,-58.94981,56.34917,-0.1752901,0.3906307,0.1260951,1.307852E-07,0.0003590227,1.323335E-07,0.0003990154,3.999264E-05,0.0003590284,11.13913,-33.76548,2021.799,77.2575,0.7400374,0,
3,-2.590496,-56.20806,53.61756,-0.1685035,0.2313439,0.1282656,1.222867E-07,0.0007180512,1.176354E-07,0.0007580465,3.999528E-05,0.0003590274,11.1399,96.8222,1669.472,77.36588,0.5865951,0,
4,-2.589242,-52.81173,50.22249,-0.1714575,-0.152396,0.1348955,8.217578E-08,0.001077079,8.175883E-08,0.001117071,3.999288E-05,0.0003590328,11.13906,-75.65186,1718.792,77.37855,0.5587318,0,
5,-2.589264,-53.39146,50.8022,-0.174907,-0.1897876,0.1412137,1.037074E-07,0.001436111,1.058749E-07,0.001476107,3.99953E-05,0.0003590319,11.13976,-5.416418,1706.424,77.45985,0.676833,0,
6,-2.604986,-53.65288,51.0479,-0.1727886,0.0499846,0.1347495,1.282811E-07,0.001795143,1.211974E-07,0.001835138,3.999514E-05,0.0003590178,11.14015,-1.449323,1815.185,77.42772,0.5430779,0,
7,-2.577386,-53.53847,50.96108,-0.1659791,0.3813058,0.1101797,1.362226E-07,0.002154161,1.333333E-07,0.002194147,3.998567E-05,0.0003590213,11.13741,9.055087,1701.918,77.33842,0.528304,0,
8,-2.595746,-55.48293,52.88718,-0.1670046,0.3469873,0.122671,1.308368E-07,0.002513182,1.331635E-07,0.002553175,3.999273E-05,0.0003590289,11.13914,12.23261,1624.004,77.27666,0.6004559,0,
9,-2.590971,-55.36185,52.77087,-0.1579728,0.2172779,0.1269932,1.230469E-07,0.002872211,1.202871E-07,0.002912207,3.99953E-05,0.0003590271,11.13991,-75.07011,1370.268,77.35172,0.5553137,0,
10,-2.589897,-56.77113,54.18124,-0.180985,-0.1576833,0.1145083,8.373951E-08,0.003231238,7.958766E-08,0.003271231,3.999305E-05,0.0003590327,11.13911,-68.91295,1738.284,77.17659,0.5110587,0,
11,-2.607828,-54.58631,51.97848,-0.170495,-0.1543605,0.141804,1.037346E-07,0.003590271,1.070813E-07,0.003630267,3.999527E-05,0.0003590225,11.14005,-111.5937,1877.435,77.28995,0.5962806,0,
12,-2.577589,-57.5597,54.98212,-0.1888075,0.2826879,0.1291833,1.365009E-07,0.003949294,1.306278E-07,0.003989284,3.999002E-05,0.0003590264,11.13846,80.26062,1600.648,77.13546,0.5086554,0,
