Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-1.773621,-54.36178,52.58816,-0.1724627,-0.1580618,0.1274602,9.975943E-08,0,1.050828E-07,3.999529E-05,3.999529E-05,0.0003590319,11.13976,-15.01054,1609.874,179.9856,0.5665595,0,
2,-1.741101,-52.51007,50.76897,-0.1787204,0.05251473,0.1268167,1.298206E-07,0.0003590319,1.205096E-07,0.000399028,3.9996E-05,0.0003590302,11.14001,4.528929,1826.086,179.9064,0.6158696,0,
3,-1.775677,-55.01543,53.23976,-0.1750586,0.3327039,0.1262183,1.372248E-07,0.0007180622,1.289932E-07,0.0007580533,3.999117E-05,0.0003590095,11.13931,20.301,1755.239,179.9676,0.5545974,0,
4,-1.758229,-57.61294,55.85471,-0.1717988,0.381722,0.132888,1.311319E-07,0.001077072,1.319841E-07,0.001117064,3.999254E-05,0.0003590286,11.1391,53.36863,1558.441,179.7061,0.5375672,0,
5,-1.741386,-56.8394,55.09801,-0.1597388,0.2310072,0.1079355,1.235752E-07,0.0014361,1.18972E-07,0.001476095,3.999494E-05,0.000359027,11.13981,35.53465,1377.541,179.8256,0.5271483,0,
6,-1.79939,-53.70115,51.90176,-0.1599313,-0.0961996,0.1389047,8.148332E-08,0.001795127,7.677311E-08,0.001835121,3.999334E-05,0.0003590325,11.1392,-17.68659,1933.842,179.7571,0.6803869,0,
7,-1.780742,-54.77295,52.99221,-0.1709735,-0.1733601,0.1210163,1.010826E-07,0.00215416,1.066601E-07,0.002194155,3.999544E-05,0.0003590322,11.13979,-45.63932,1792.822,179.7233,0.7779077,0,
8,-1.746464,-54.20473,52.45827,-0.1758797,0.03308028,0.1217347,1.285031E-07,0.002513192,1.208649E-07,0.002553187,3.999527E-05,0.0003590177,11.14019,-114.4794,1757.997,179.476,0.5918418,0,
9,-1.74096,-56.26934,54.52839,-0.1722738,0.3733923,0.1185822,1.370564E-07,0.00287221,1.34551E-07,0.002912195,3.998562E-05,0.0003590225,11.13736,26.1001,1791.704,179.4838,0.6796323,0,
10,-1.741697,-54.99402,53.25232,-0.1681316,0.3428834,0.1257284,1.317961E-07,0.003231232,1.310012E-07,0.003271224,3.999169E-05,0.0003590273,11.1389,19.01656,1554.076,179.2556,0.3753528,0,
11,-1.777366,-56.32452,54.54716,-0.1673782,0.3133627,0.1318279,1.218374E-07,0.00359026,1.181963E-07,0.003630256,3.999596E-05,0.000359028,11.14007,-55.54609,1477.359,179.5117,0.6475443,0,
12,-1.744191,-54.01664,52.27245,-0.1547748,-0.1607374,0.1200112,8.552966E-08,0.003949288,7.885329E-08,0.003989281,3.999291E-05,0.0003590325,11.13908,54.84031,1529.116,179.676,0.5154293,0,
13,-1.755461,-54.35516,52.59969,-0.1730367,-0.203467,0.1291114,1.020847E-07,0.00430832,1.071952E-07,0.004348315,3.999512E-05,0.000359032,11.13971,61.90243,1818.445,179.651,0.6740447,0,
14,-1.742774,-54.36911,52.62634,-0.1792403,0.06445036,0.123061,1.302737E-07,0.004667352,1.208615E-07,0.004707348,3.999595E-05,0.0003590173,11.1404,-30.42735,1793.861,179.7084,0.6800765,0,
15,-1.775375,-57.17007,55.3947,-0.1676984,0.4320878,0.1336958,1.351074E-07,0.005026369,1.325445E-07,0.005066356,3.998693E-05,0.0003590221,11.13773,-2.607324,1817.566,179.7251,0.7413206,0,
16,-1.759978,-52.83758,51.0776,-0.1685201,0.3823106,0.1057619,1.310737E-07,0.005385391,1.311147E-07,0.005425384,3.999269E-05,0.0003590228,11.13932,72.69455,1677.672,179.6383,0.5031837,0,
17,-1.748704,-56.05926,54.31055,-0.154929,0.0698805,0.1331817,1.090748E-07,0.005744414,7.339525E-08,0.005784408,3.999361E-05,0.0003590331,11.13925,-25.88903,1774.009,179.5844,0.5785141,0,
18,-1.753817,-55.46825,53.71444,-0.1686172,-0.128242,0.1202469,8.383228E-08,0.006103448,7.842559E-08,0.00614344,3.999283E-05,0.0003590328,11.13904,-13.61921,1267.515,179.5329,0.4238849,0,
19,-1.740978,-55.75796,54.01698,-0.1705786,-0.1901257,0.1371805,1.019011E-07,0.00646248,1.070594E-07,0.006502475,3.999481E-05,0.0003590224,11.13992,22.49628,1737.143,179.3952,0.5240119,0,
20,-1.784062,-55.09418,53.31012,-0.1766895,0.3226261,0.09758107,1.365312E-07,0.006821503,1.291781E-07,0.006861494,3.999135E-05,0.0003590269,11.13882,-14.33085,1452.614,179.4077,0.59533,0,
21,-1.772416,-52.61158,50.83916,-0.1687568,0.4311183,0.1165873,1.361847E-07,0.00718053,1.325836E-07,0.007220516,3.99864E-05,0.000359022,11.13759,14.2473,1672.42,179.6474,0.5955586,0,
22,-1.752935,-55.7327,53.97977,-0.1690124,0.396399,0.111949,1.305745E-07,0.007539552,1.317629E-07,0.007579544,3.999259E-05,0.0003590223,11.13931,55.0761,1544.303,179.5817,0.5693974,0,
23,-1.772703,-59.00707,57.23437,-0.172729,0.0363217,0.1290979,1.087621E-07,0.007898574,7.27899E-08,0.007938568,3.999371E-05,0.0003590331,11.13928,1.940315,1468.569,179.4385,0.5171875,0,
24,-1.782223,-54.83683,53.05461,-0.1669211,-0.1498505,0.1140757,7.927656E-08,0.008257607,7.57163E-08,0.008297601,3.999359E-05,0.0003590329,11.13925,-15.98922,1565.544,179.2647,0.3972929,0,
25,-1.769044,-53.30532,51.53627,-0.1728134,-0.1730137,0.1086273,1.010055E-07,0.00861664,1.059222E-07,0.008656635,3.999489E-05,0.0003590224,11.13994,-11.48429,1458.975,179.6754,0.5146506,0,
26,-1.761088,-56.16437,54.40328,-0.1785381,0.3015464,0.1179182,1.361839E-07,0.008975662,1.300231E-07,0.009015653,3.99912E-05,0.0003590266,11.13878,-90.32191,1518.852,179.4595,0.5476111,0,
27,-1.758271,-54.88831,53.13004,-0.1639339,0.4357904,0.115732,1.350164E-07,0.009334689,1.344304E-07,0.009374676,3.9987E-05,0.0003590108,11.1381,10.18866,1734.185,179.4292,0.5229658,0,
28,-1.764677,-55.50469,53.74001,-0.1659435,0.2648159,0.1100611,1.222601E-07,0.0096937,1.195412E-07,0.009733696,3.999557E-05,0.0003590348,11.13975,-10.01009,1443.029,179.3663,0.5188814,0,
29,-1.739984,-54.36575,52.62576,-0.1645267,0.05500915,0.1243557,1.100806E-07,0.01005273,7.379734E-08,0.01009273,3.999304E-05,0.0003590329,11.1391,-25.43708,1818.476,179.6245,0.5408087,0,
30,-1.767418,-52.40399,50.63657,-0.1777699,-0.1392339,0.120122,8.199518E-08,0.01041177,7.753861E-08,0.01045176,3.999307E-05,0.0003590245,11.13937,-39.36043,1822.586,179.4599,0.5879278,0,
31,-1.751614,-53.09991,51.3483,-0.1813506,0.07242539,0.1185102,1.285466E-07,0.01077079,1.204987E-07,0.01081079,3.999587E-05,0.0003590307,11.13996,-45.62344,1708.832,179.6141,0.5063647,0,
32,-1.73822,-53.05593,51.31771,-0.1760287,0.2931755,0.1452456,1.366359E-07,0.01112982,1.298054E-07,0.01116981,3.999033E-05,0.0003590269,11.13853,74.06251,1624.04,179.6493,0.4798422,0,
33,-1.760311,-57.52267,55.76236,-0.1824566,0.4235292,0.1318862,1.363176E-07,0.01148885,1.33314E-07,0.01152884,3.998589E-05,0.0003590108,11.1378,-16.80756,1707.071,179.8253,0.5763793,0,
34,-1.763699,-55.08003,53.31633,-0.164433,0.2243077,0.122912,1.23022E-07,0.01184786,1.190624E-07,0.01188786,3.999502E-05,0.0003590339,11.13962,-25.73812,1867.7,179.6491,0.5316262,0,
35,-1.762463,-55.13635,53.37389,-0.1638405,0.04516727,0.118892,1.090728E-07,0.01220689,7.461045E-08,0.01224689,3.999358E-05,0.0003590259,11.13947,-27.54113,1462.153,179.8889,0.5165228,0,
