Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.466482,-55.3369,52.87042,-0.1323783,-0.05664106,0.1045724,1.002442E-07,0,1.067731E-07,1.199559E-05,1.199559E-05,0.000125009,9.59578,-413.9913,14679.88,72.18303,0.4686887,0,
2,-2.457222,-53.48713,51.0299,-0.1341839,0.5069872,0.09137498,1.346286E-07,0.000125009,1.333051E-07,0.000136996,1.198706E-05,0.0001250053,9.589247,-200.235,14447.7,71.75779,0.682374,0,
3,-2.440843,-55.83183,53.39098,-0.1353571,0.147562,0.08852808,1.065602E-07,0.0002500142,7.364415E-08,0.000262008,1.199375E-05,0.000125018,9.593614,-156.4535,11538.14,71.59428,0.2371743,0,
4,-2.44097,-51.11789,48.67692,-0.1613834,0.1187467,0.09112556,1.277685E-07,0.0003750323,1.203461E-07,0.0003870282,1.199595E-05,0.0001249982,9.596902,76.88737,15324.2,71.8963,0.4465083,0,
5,-2.522149,-55.82409,53.30194,-0.1391621,0.5254307,0.1099132,1.290619E-07,0.0005000304,1.326904E-07,0.0005120247,1.199433E-05,0.000125017,9.594161,-269.5711,21590.55,71.74914,0.5201712,0,
6,-2.451807,-55.25721,52.8054,-0.1485052,-0.04438287,0.1064627,7.898098E-08,0.0006250474,7.897479E-08,0.0006370405,1.199312E-05,0.0001250145,9.593387,-415.643,12550.82,72.5556,0.5733759,0,
7,-2.476444,-55.1037,52.62725,-0.1875935,0.3961804,0.09624547,1.366186E-07,0.0007500619,1.297071E-07,0.0007620542,1.199231E-05,0.0001249921,9.594455,-226.7925,10165.38,71.27528,0.2904627,0,
8,-2.465029,-56.43525,53.97022,-0.1480448,0.1421558,0.09496618,1.063318E-07,0.000875054,7.318337E-08,0.0008870483,1.19943E-05,0.0001250179,9.594058,-60.93196,9341.32,71.78053,0.5031691,0,
9,-2.466131,-57.38319,54.91706,-0.1601477,0.1779012,0.1329884,1.293601E-07,0.001000072,1.202472E-07,0.001012069,1.199665E-05,0.0001249992,9.597383,30.36039,5632.406,71.12119,0.3510193,0,
10,-2.467807,-55.74052,53.27271,-0.1407068,0.4586777,0.08839568,1.295678E-07,0.001125071,1.32216E-07,0.001137065,1.199356E-05,0.0001250161,9.593612,192.6651,6188.953,72.21527,0.4088146,0,
