Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.760556,-53.83895,51.07839,-0.1653547,0.2659146,0.1391725,1.211134E-07,0,1.134832E-07,3.999501E-05,3.999501E-05,0.0003590274,11.13982,51.7048,2040.596,-136.07,0.8123361,0,
2,-2.736679,-54.98701,52.25033,-0.1590481,-0.1590821,0.1434047,7.756032E-08,0.0003590274,8.381289E-08,0.0003990199,3.999261E-05,0.0003590329,11.13898,-62.41749,1585.197,-136.2462,0.5556318,0,
3,-2.73371,-54.17033,51.43662,-0.1721642,-0.1851762,0.1325656,1.037093E-07,0.0007180602,1.081356E-07,0.000758055,3.999478E-05,0.0003590318,11.13962,-2.845354,1803.26,-135.9626,0.5403533,0,
4,-2.743121,-55.42647,52.68335,-0.1851211,0.1142085,0.1319675,1.298917E-07,0.001077092,1.217033E-07,0.001117088,3.999552E-05,0.0003590166,11.1403,-21.09741,1467.358,-136.2254,0.4349058,0,
5,-2.735266,-57.5075,54.77223,-0.1790354,0.4054627,0.1205792,1.357829E-07,0.001436109,1.338285E-07,0.001476095,3.998596E-05,0.0003590224,11.13746,19.34394,1679.085,-136.0606,0.6753443,0,
6,-2.747706,-54.73074,51.98303,-0.1656945,0.3541366,0.1325325,1.305648E-07,0.001795131,1.314956E-07,0.001835124,3.999268E-05,0.0003590231,11.1393,-106.288,1629.662,-136.0046,0.6005128,0,
7,-2.762259,-54.30644,51.54418,-0.1692972,0.07088499,0.1350315,1.059422E-07,0.002154154,7.29915E-08,0.002194148,3.999344E-05,0.0003590336,11.13919,-32.52124,1615.957,-135.7874,0.5850755,0,
8,-2.738211,-58.22068,55.48247,-0.1673419,-0.161355,0.1315235,8.728634E-08,0.002513188,8.237517E-08,0.00255318,3.999249E-05,0.0003590322,11.13897,41.47893,1418.161,-135.8954,0.599881,0,
9,-2.757884,-55.83879,53.0809,-0.1800463,-0.1480466,0.1462759,1.06909E-07,0.00287222,1.073857E-07,0.002912215,3.99953E-05,0.0003590223,11.14006,-7.520084,1526.35,-135.8028,0.4365689,0,
10,-2.747668,-54.78442,52.03675,-0.1775756,0.3685496,0.1303667,1.368187E-07,0.003231242,1.302909E-07,0.003271232,3.998971E-05,0.0003590262,11.13838,3.806268,1541.654,-135.7845,0.496501,0,
11,-2.731995,-53.39156,50.65956,-0.1726098,0.3870862,0.1167642,1.358601E-07,0.003590269,1.335509E-07,0.003630255,3.998638E-05,0.0003590228,11.13756,-65.6376,1618.011,-135.8695,0.5941722,0,
12,-2.73918,-56.20207,53.46289,-0.1662395,0.3678629,0.1105986,1.30453E-07,0.003949292,1.332424E-07,0.003989283,3.999232E-05,0.0003590232,11.1392,19.00476,1658.917,-135.8742,0.5076833,0,
13,-2.736759,-52.67393,49.93718,-0.1803644,0.008507139,0.1388586,1.087489E-07,0.004308315,7.342992E-08,0.004348307,3.9993E-05,0.0003590327,11.1391,-39.71481,1685.088,-135.7333,0.6208625,0,
14,-2.747226,-56.39018,53.64296,-0.1644821,-0.1746453,0.1541593,7.832891E-08,0.004667347,8.092199E-08,0.00470734,3.999319E-05,0.0003590329,11.13914,10.827,1808.548,-135.8862,0.6292111,0,
15,-2.73697,-54.80167,52.0647,-0.1745322,-0.186554,0.1219492,1.040614E-07,0.00502638,1.082456E-07,0.005066375,3.999495E-05,0.0003590217,11.13998,-4.016043,1788.811,-135.9243,0.6484441,0,
