Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-3.196665,-55.59309,52.39642,-0.2122388,0.3057049,0.1463095,1.363887E-07,0,1.332005E-07,0.0001999855,0.0001999855,0.001692118,11.81865,3.047601,1703.306,132.7307,0.5734745,0,
2,-3.211926,-57.04801,53.83608,-0.2138124,-0.2782174,0.145972,9.572078E-08,0.001692118,7.863442E-08,0.00189211,0.0001999923,0.001692135,11.81893,-2.207675,1755.975,132.7924,0.6331018,0,
3,-3.189162,-56.48153,53.29236,-0.2116306,0.1888595,0.155615,1.364092E-07,0.003384253,1.288596E-07,0.003584244,0.0001999913,0.001692112,11.81903,-1.010449,1603.281,132.8209,0.5676119,0,
4,-3.211193,-55.33002,52.11883,-0.2117143,0.005845155,0.1468665,1.115747E-07,0.005076364,7.522684E-08,0.005276358,0.0001999932,0.001692138,11.81897,0.3366474,1742.795,132.9591,0.6169696,0,
5,-3.217417,-55.16359,51.94617,-0.215152,-0.07792722,0.1446953,1.29474E-07,0.006768502,1.201998E-07,0.006968498,0.0001999952,0.001692108,11.81929,-0.4746994,1524.034,132.693,0.5076133,0,
6,-3.193648,-56.45311,53.25946,-0.2126784,0.1111893,0.1664476,1.263759E-07,0.008460611,1.195027E-07,0.008660605,0.0001999946,0.001692132,11.81909,-3.579612,1505.059,132.7501,0.5936208,0,
7,-3.198648,-56.09277,52.89412,-0.2137365,-0.08143679,0.1524751,1.299236E-07,0.01015274,1.209495E-07,0.01035274,0.0001999952,0.00169212,11.81921,0.5592156,1700.107,132.8731,0.556668,0,
8,-3.202257,-56.12067,52.91841,-0.2140293,0.2697087,0.1484684,1.327191E-07,0.01184486,1.317682E-07,0.01204485,0.0001999918,0.001692129,11.81895,1.905653,1671.627,132.9747,0.6190042,0,
9,-3.205575,-55.35109,52.14552,-0.2144125,-0.3164403,0.1507887,9.754764E-08,0.01353699,1.061864E-07,0.01373698,0.0001999939,0.00169213,11.81907,0.9733668,1621.824,133.184,0.6559011,0,
10,-3.19095,-56.07888,52.88794,-0.2108502,0.2726664,0.159675,1.370552E-07,0.01522912,1.327822E-07,0.01542911,0.0001999855,0.001692117,11.81866,1.509651,1467.488,133.2206,0.5434679,0,
