Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.840692,-56.05813,53.21744,-0.1413236,0.4129383,0.09869967,1.351332E-07,0,1.294091E-07,1.199167E-05,1.199167E-05,0.0001249973,9.593546,-860.0949,12765.69,79.3822,0.4915857,0,
2,-2.822122,-54.57543,51.75331,-0.1291595,0.3372598,0.1170812,1.207469E-07,0.0001249973,1.183597E-07,0.0001369931,1.199584E-05,0.0001250199,9.595151,739.5168,5963.818,79.51028,0.4701127,0,
3,-2.868858,-54.36019,51.49133,-0.1503575,-0.07904571,0.1181107,1.007309E-07,0.0002500171,1.05885E-07,0.0002620132,1.199606E-05,0.0001250094,9.596125,829.5309,28188.05,80.04539,0.3961043,0,
4,-2.87248,-55.00576,52.13329,-0.1464753,0.5465629,0.09630572,1.339557E-07,0.0003750266,1.329582E-07,0.0003870145,1.198796E-05,0.0001250052,9.589969,-341.306,15821.07,79.56991,0.4792871,0,
5,-2.840384,-56.20086,53.36047,-0.1348178,0.148639,0.0935183,1.064337E-07,0.0005000317,7.342641E-08,0.0005120254,1.199363E-05,0.000125018,9.593519,-624.4878,14731.51,79.94302,0.4308485,0,
6,-2.848971,-53.00428,50.15531,-0.1538868,0.1749751,0.1236981,1.270208E-07,0.0006250498,1.197676E-07,0.0006370455,1.199571E-05,0.000124999,9.596642,-149.3274,9597.836,79.89328,0.4618742,0,
7,-2.815036,-55.54552,52.73049,-0.1471553,0.4214324,0.09916928,1.301392E-07,0.0007500488,1.320533E-07,0.0007620422,1.199335E-05,0.000125016,9.593451,87.3323,7343.832,79.58759,0.382206,0,
8,-2.854346,-54.2306,51.37626,-0.145519,-0.044616,0.09687333,7.702648E-08,0.0008750648,7.694403E-08,0.0008870583,1.199346E-05,0.0001250152,9.593601,-160.31,13536.42,79.48676,0.368795,0,
9,-2.834108,-55.4233,52.58919,-0.1572826,0.3931457,0.09719431,1.357291E-07,0.00100008,1.293334E-07,0.001012071,1.199105E-05,0.0001249919,9.593458,-224.5302,12414.57,79.51626,0.3766795,0,
10,-2.838616,-51.70085,48.86224,-0.1432559,0.1497046,0.113995,1.073724E-07,0.001125072,7.30287E-08,0.001137066,1.199393E-05,0.0001250177,9.593787,86.83731,11930.51,79.52099,0.3089051,0,
11,-2.833392,-54.70919,51.8758,-0.1787457,0.1466773,0.1072335,1.277676E-07,0.00125009,1.199182E-07,0.001262086,1.199633E-05,0.0001249987,9.59716,-281.3954,7542.333,79.18228,0.5313469,0,
12,-2.846389,-55.20841,52.36202,-0.1570795,0.4889683,0.1007326,1.288711E-07,0.001375088,1.318652E-07,0.001387083,1.199413E-05,0.0001250166,9.59403,-104.8961,8930.676,79.17711,0.7984518,0,
13,-2.82246,-55.45147,52.62901,-0.136776,-0.0534905,0.1082845,7.735215E-08,0.001500105,7.980088E-08,0.001512098,1.199323E-05,0.0001250149,9.593436,-242.37,7691.429,79.56672,0.460684,0,
14,-2.835692,-54.36398,51.52828,-0.1652043,0.4013675,0.1102771,1.354625E-07,0.00162512,1.28905E-07,0.001637111,1.199135E-05,0.0001249976,9.593263,318.884,21959.86,79.36961,0.2570832,0,
15,-2.841915,-54.03482,51.19291,-0.137558,0.3508496,0.1038693,1.206868E-07,0.001750118,1.184614E-07,0.001762113,1.199588E-05,0.00012502,9.595164,-64.99409,14205.52,79.08495,0.3520775,0,
16,-2.816363,-54.71735,51.90099,-0.1631052,-0.106575,0.1020598,1.014059E-07,0.001875138,1.07297E-07,0.001887133,1.199541E-05,0.0001250096,9.595587,-500.4983,12006.4,79.34944,0.3341102,0,
