Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.485281,-55.26942,52.78414,-0.1664257,0.07008901,0.1476302,1.294424E-07,0,1.216356E-07,3.999556E-05,3.999556E-05,0.0003590163,11.14032,2.885825,1685.576,-33.48222,0.6157373,0,
2,-2.48794,-56.18323,53.69529,-0.1732886,0.4442483,0.1208652,1.350371E-07,0.0003590163,1.332986E-07,0.0003990034,3.998711E-05,0.0003590234,11.13774,19.64466,1368.053,-33.47849,0.4610295,0,
3,-2.451382,-54.40934,51.95796,-0.1561873,0.3738386,0.09722316,1.306746E-07,0.0007180397,1.307345E-07,0.0007580317,3.999203E-05,0.0003590283,11.13897,29.15311,1564.72,-33.62189,0.4415617,0,
4,-2.476927,-56.00603,53.5291,-0.153739,0.2615411,0.1378526,1.214511E-07,0.001077068,1.153571E-07,0.001117063,3.999519E-05,0.0003590273,11.13987,-77.61228,1707.014,-33.62255,0.4831983,0,
5,-2.471089,-55.62103,53.14994,-0.1686037,-0.1274791,0.1113687,7.855677E-08,0.001436095,8.27133E-08,0.001476088,3.999298E-05,0.0003590325,11.1391,-3.760205,1832.068,-33.3433,0.5835816,0,
6,-2.471547,-53.6253,51.15375,-0.16625,-0.1430068,0.1306098,1.050541E-07,0.001795128,1.065223E-07,0.001835123,3.999539E-05,0.0003590323,11.13978,-63.70922,1917.631,-33.52055,0.5586277,0,
7,-2.472843,-53.04944,50.5766,-0.1779101,0.09522109,0.1044966,1.293528E-07,0.00215416,1.214134E-07,0.002194156,3.999576E-05,0.0003590171,11.14035,-50.78649,1533.845,-33.46989,0.5259355,0,
8,-2.460194,-54.83719,52.377,-0.1716781,0.4400681,0.1282243,1.360233E-07,0.002513177,1.339702E-07,0.002553163,3.998622E-05,0.0003590217,11.13755,42.28602,1667.984,-33.69649,0.4826891,0,
9,-2.472105,-55.35218,52.88008,-0.1863856,0.3972398,0.1439211,1.299386E-07,0.002872199,1.323039E-07,0.002912192,3.999308E-05,0.0003590235,11.13941,-65.91602,1634.017,-33.54603,0.5734343,0,
10,-2.480784,-52.94252,50.46174,-0.1587489,0.08809213,0.164345,1.065265E-07,0.003231222,7.315113E-08,0.003271216,3.999339E-05,0.0003590329,11.1392,11.73251,1486.942,-33.37703,0.5741727,0,
