Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-1.398509,-53.31054,51.91203,-0.2200217,0.1073938,0.1604305,1.265936E-07,0,1.198496E-07,0.0001999943,0.0001999943,0.00169214,11.81902,0.3533096,1725.711,-19.19328,0.6199255,0,
2,-1.383831,-54.57101,53.18718,-0.2192348,-0.3120751,0.1485644,9.927077E-08,0.00169214,1.050957E-07,0.001892134,0.0001999941,0.001692113,11.8192,3.403766,1665.363,-19.28276,0.5844101,0,
3,-1.378987,-54.38575,53.00676,-0.2196517,0.2309729,0.1547268,1.343665E-07,0.003384253,1.320546E-07,0.003584243,0.0001999902,0.001692135,11.81881,-0.4375577,1751.191,-19.34015,0.5984,0,
4,-1.359845,-54.25519,52.89535,-0.2293638,-0.291667,0.1508172,1.009553E-07,0.005076387,7.705658E-08,0.005276379,0.0001999921,0.001692123,11.81901,2.860708,1747.218,-19.18061,0.5722456,0,
5,-1.37673,-54.49733,53.1206,-0.2193249,0.2676447,0.1521197,1.376289E-07,0.00676851,1.338565E-07,0.006968495,0.0001999855,0.001692124,11.81861,0.8519441,1790.14,-19.26431,0.586382,0,
6,-1.359689,-53.90527,52.54558,-0.2218812,-0.09399967,0.1393515,1.163655E-07,0.008460633,7.374868E-08,0.008660626,0.0001999925,0.001692128,11.81899,-0.3992941,1588.056,-19.20541,0.538295,0,
7,-1.375276,-54.67712,53.30185,-0.2283483,0.1840081,0.1497095,1.376789E-07,0.01015276,1.290727E-07,0.01035275,0.0001999908,0.001692112,11.81901,-4.687623,1640.592,-19.16406,0.5547983,0,
8,-1.388288,-55.44979,54.0615,-0.2207419,-0.05119304,0.1489751,1.147797E-07,0.01184487,7.591758E-08,0.01204487,0.000199993,0.001692139,11.81895,-0.9173261,1692.639,-18.98387,0.5986906,0,
9,-1.37723,-53.28563,51.9084,-0.2206216,-0.101117,0.1554732,1.295635E-07,0.01353701,1.201863E-07,0.01373701,0.0001999943,0.001692108,11.81924,-2.503388,1717.103,-19.05727,0.6177106,0,
10,-1.370924,-55.71346,54.34253,-0.2174419,0.08664268,0.1454649,1.271897E-07,0.01522912,1.18724E-07,0.01542911,0.0001999945,0.00169214,11.81903,-4.50801,1770.676,-19.00686,0.5632522,0,
