Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.184377,-54.21518,52.03081,-0.2205882,-0.1159727,0.1331501,1.2926E-07,0,1.194041E-07,0.0001999955,0.0001999955,0.001692109,11.8193,-1.147201,1808.336,148.5962,0.5745761,0,
2,-2.149849,-55.46509,53.31524,-0.2181756,0.1297604,0.1458865,1.269288E-07,0.001692109,1.216951E-07,0.001892103,0.000199994,0.00169214,11.819,-2.242198,1679.842,148.7232,0.5551215,0,
3,-2.17091,-53.45317,51.28226,-0.2105939,-0.3368676,0.1589878,9.282245E-08,0.003384248,1.034977E-07,0.003584243,0.0001999944,0.001692113,11.81921,0.7516363,1746.699,148.7717,0.6278881,0,
4,-2.158487,-55.61441,53.45592,-0.2131584,0.195479,0.1551025,1.350819E-07,0.005076362,1.322643E-07,0.005276352,0.00019999,0.001692126,11.81886,1.490555,1647.517,148.8705,0.5944437,0,
5,-2.168168,-55.24402,53.07585,-0.2187278,-0.3336391,0.1379279,9.836511E-08,0.006768488,1.024694E-07,0.006968482,0.0001999943,0.001692131,11.81908,-1.095611,1748.843,148.9923,0.5873581,0,
6,-2.176733,-54.51779,52.34106,-0.2121274,0.2979403,0.1527855,1.387776E-07,0.008460619,1.33283E-07,0.008660603,0.0001999848,0.001692117,11.81862,-2.583122,1620.577,149.1001,0.5622811,0,
7,-2.156766,-54.10244,51.94567,-0.2156579,-0.2515139,0.1429899,1.011099E-07,0.01015274,7.266295E-08,0.01035273,0.0001999922,0.001692136,11.81892,-1.155969,1499.057,149.1746,0.5081998,0,
8,-2.17563,-56.08672,53.91109,-0.2079055,0.1594888,0.1440894,1.373676E-07,0.01184487,1.274404E-07,0.01204486,0.0001999909,0.001692111,11.81901,2.136681,1669.632,149.1431,0.5938783,0,
9,-2.156524,-55.14157,52.98505,-0.2158587,-0.08927718,0.1493969,1.175253E-07,0.01353698,8.474026E-08,0.01373698,0.0001999927,0.001692128,11.819,-0.06568402,1741.741,148.9125,0.6551942,0,
10,-2.178645,-53.63181,51.45316,-0.2179234,0.1831545,0.148011,1.366177E-07,0.01522911,1.278549E-07,0.0154291,0.0001999914,0.001692118,11.819,1.471228,1688.734,148.9167,0.5659409,0,
11,-2.152208,-54.08379,51.93158,-0.2177098,0.1286841,0.1532728,1.270824E-07,0.01692123,1.221131E-07,0.01712122,0.0001999937,0.001692131,11.81904,-1.599984,1701.358,148.9093,0.5797896,0,
12,-2.176313,-55.17309,52.99678,-0.2176704,-0.1123767,0.1372793,1.286333E-07,0.01861336,1.191863E-07,0.01881335,0.0001999954,0.001692121,11.81922,-3.169629,1768.957,149.0079,0.6498215,0,
13,-2.179607,-55.11288,52.93327,-0.2195163,0.2557429,0.1465757,1.333541E-07,0.02030548,1.323151E-07,0.02050547,0.0001999912,0.001692127,11.81892,-4.195365,1750.515,149.0001,0.5989767,0,
14,-2.160739,-54.32648,52.16574,-0.21258,-0.3472141,0.1509092,9.688627E-08,0.02199761,1.037452E-07,0.0221976,0.0001999944,0.001692112,11.81922,0.9430244,1744.07,148.7436,0.6013438,0,
15,-2.177242,-53.7233,51.54605,-0.2100418,0.2140791,0.1568252,1.34218E-07,0.02368972,1.327411E-07,0.02388971,0.000199992,0.001692135,11.81892,-3.540279,1888.131,148.6694,0.6337196,0,
16,-2.165329,-56.5355,54.37017,-0.216336,-0.2576512,0.1552769,9.81025E-08,0.02538186,7.488153E-08,0.02558185,0.0001999924,0.001692123,11.81902,1.38485,1733.477,148.6052,0.593662,0,
17,-2.173913,-54.03143,51.85751,-0.2134509,0.2675674,0.1335573,1.374396E-07,0.02707398,1.326518E-07,0.02727396,0.0001999855,0.001692123,11.81861,-0.06992377,1752.661,148.6823,0.6247345,0,
18,-2.175894,-56.69201,54.51611,-0.2124157,-0.02245038,0.1559922,1.154367E-07,0.0287661,7.930122E-08,0.0289661,0.0001999932,0.001692129,11.81903,-1.69106,1792.261,148.6956,0.6253253,0,
19,-2.164732,-54.96077,52.79603,-0.2182291,0.145762,0.1570264,1.37026E-07,0.03045823,1.277091E-07,0.03065822,0.0001999914,0.001692118,11.819,-0.6355665,1804.609,148.6217,0.6267686,0,
20,-2.162131,-54.53345,52.37132,-0.2105095,0.1367635,0.1439486,1.27598E-07,0.03215035,1.207738E-07,0.03235034,0.0001999934,0.001692131,11.81903,4.223522,1749.139,148.7282,0.6128943,0,
21,-2.16996,-56.13263,53.96267,-0.2161093,-0.08094922,0.1312126,1.280539E-07,0.03384248,1.196613E-07,0.03404247,0.000199995,0.001692108,11.81928,-0.7793591,1671.717,148.7852,0.5892107,0,
22,-2.175131,-54.51582,52.34069,-0.2156405,0.1312149,0.1554287,1.271212E-07,0.03553459,1.209217E-07,0.03573458,0.0001999945,0.00169214,11.81903,-1.053394,1793.224,148.9303,0.6015059,0,
