Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.297923,-53.9126,51.61467,-0.2025843,0.2532864,0.1587088,1.337825E-07,0,1.32809E-07,0.0001999915,0.0001999915,0.001692127,11.81894,-1.523883,1757.779,76.13765,0.5761104,0,
2,-2.296999,-54.96038,52.66338,-0.2126698,-0.272228,0.1474471,9.931021E-08,0.001692127,1.038335E-07,0.001892122,0.0001999947,0.001692113,11.81923,-0.04784526,1657.508,76.369,0.5855617,0,
3,-2.287363,-54.71398,52.42662,-0.2081859,0.2852173,0.1466849,1.330023E-07,0.00338424,1.337089E-07,0.003584231,0.0001999911,0.001692135,11.81886,-6.51229,1749.449,76.26253,0.6370872,0,
4,-2.275898,-56.16203,53.88613,-0.2088051,-0.2574059,0.1606695,9.909496E-08,0.005076375,7.325971E-08,0.005276368,0.0001999928,0.001692123,11.81905,4.190306,1731.256,76.3482,0.543384,0,
5,-2.296569,-55.05063,52.75406,-0.2063749,0.3050631,0.1476187,1.376218E-07,0.006768498,1.326355E-07,0.006968484,0.0001999861,0.001692124,11.81865,-3.813064,1649.062,76.27335,0.6637283,0,
6,-2.280216,-55.66379,53.38358,-0.2084115,-0.01167776,0.134374,1.146136E-07,0.008460621,7.974153E-08,0.008660614,0.0001999934,0.001692129,11.81904,1.271876,1827.12,76.08021,0.7187288,0,
7,-2.304067,-55.15104,52.84698,-0.2119873,0.2056011,0.1628188,1.36921E-07,0.01015275,1.277456E-07,0.01035274,0.0001999912,0.001692111,11.81904,3.209985,1623.139,75.75243,0.5988782,0,
8,-2.284711,-53.20118,50.91647,-0.2061658,-0.04361379,0.1342194,1.151458E-07,0.01184486,7.874885E-08,0.01204485,0.000199993,0.001692138,11.81895,2.019734,1721.865,75.91811,0.7376027,0,
9,-2.294768,-55.79208,53.49731,-0.2081256,-0.1196588,0.1370676,1.276312E-07,0.013537,1.194507E-07,0.01373699,0.0001999951,0.001692108,11.81929,-1.215999,1735.429,76.08756,0.624005,0,
10,-2.282756,-55.59089,53.30813,-0.2047412,0.1375718,0.1409039,1.26863E-07,0.01522911,1.207543E-07,0.0154291,0.0001999945,0.00169214,11.81903,-0.1427239,1820.233,76.09324,0.6379612,0,
11,-2.267667,-55.9582,53.69054,-0.2050006,-0.3330032,0.1585306,9.726959E-08,0.01692125,1.039551E-07,0.01712124,0.0001999944,0.001692113,11.81921,-0.3249235,1599.13,76.13779,0.593395,0,
12,-2.285156,-55.80257,53.51742,-0.2095749,0.2590681,0.1343073,1.339133E-07,0.01861336,1.32341E-07,0.01881335,0.000199991,0.001692127,11.81891,0.7675229,1795.58,76.04034,0.708819,0,
13,-2.279584,-54.44854,52.16895,-0.209255,-0.3142,0.1429428,9.700869E-08,0.02030549,1.029277E-07,0.02050548,0.0001999947,0.001692131,11.8191,-1.030091,1664.47,76.00774,0.6820319,0,
14,-2.300254,-53.3308,51.03055,-0.2077336,0.2982165,0.1382027,1.368168E-07,0.02199762,1.33371E-07,0.0221976,0.0001999853,0.001692117,11.81865,1.570844,1823.198,76.1657,0.6265528,0,
15,-2.289081,-54.23889,51.94981,-0.2089839,-0.262416,0.1493608,9.902421E-08,0.02368973,7.563868E-08,0.02388973,0.0001999924,0.001692135,11.81893,2.038496,1698.573,76.08066,0.6279609,0,
16,-2.285753,-55.15735,52.8716,-0.2147944,0.1863454,0.149742,1.371278E-07,0.02538187,1.278525E-07,0.02558186,0.0001999915,0.001692111,11.81905,-0.8270459,1684.764,75.99065,0.5879123,0,
17,-2.290871,-54.43642,52.14555,-0.2069399,-0.01742526,0.1418296,1.149878E-07,0.02707398,8.210561E-08,0.02727398,0.0001999936,0.001692138,11.81898,2.031548,1627.89,76.01534,0.5792416,0,
18,-2.28708,-55.13889,52.85181,-0.211659,-0.1080673,0.1589938,1.270534E-07,0.02876612,1.192272E-07,0.02896611,0.0001999951,0.001692108,11.81929,2.905931,1694.268,76.0535,0.5229644,0,
19,-2.295071,-55.55354,53.25847,-0.2059562,0.1611061,0.1557574,1.261221E-07,0.03045823,1.209737E-07,0.03065822,0.0001999946,0.001692131,11.81909,3.445918,1762.401,76.1545,0.6080443,0,
20,-2.295611,-55.22259,52.92698,-0.2067218,-0.03832941,0.1563308,1.289499E-07,0.03215036,1.187542E-07,0.03235035,0.0001999958,0.001692121,11.81924,-0.5978857,1690.415,76.07834,0.6144286,0,
21,-2.271654,-54.31642,52.04476,-0.2090685,0.2594903,0.1456376,1.330024E-07,0.03384248,1.318191E-07,0.03404247,0.0001999914,0.001692127,11.81893,-2.908288,1719.857,76.14718,0.552052,0,
22,-2.289457,-54.94086,52.6514,-0.2058184,-0.2998908,0.1529359,9.610888E-08,0.03553461,1.025214E-07,0.0357346,0.0001999948,0.001692112,11.81924,1.364902,1686.824,76.19395,0.5459305,0,
23,-2.291563,-55.23492,52.94336,-0.2070656,0.2988147,0.1596965,1.331529E-07,0.03722672,1.330314E-07,0.03742671,0.0001999917,0.001692135,11.81889,1.086689,1724.617,75.87331,0.6770043,0,
