Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-1.74481,-53.59067,51.84586,-0.1885039,0.4200749,0.1433431,1.360801E-07,0,1.350029E-07,3.998607E-05,3.998607E-05,0.000359022,11.1375,14.97601,1722.664,25.75247,0.5756782,0,
2,-1.734587,-56.22643,54.49184,-0.1737914,0.372326,0.1097244,1.313441E-07,0.000359022,1.312849E-07,0.0003990144,3.999241E-05,0.0003590228,11.13924,-41.01624,2251.424,25.75876,0.5310523,0,
3,-1.716595,-54.11289,52.3963,-0.1848447,0.008856768,0.127142,1.103468E-07,0.0007180448,7.361332E-08,0.0007580378,3.999307E-05,0.000359033,11.13911,20.58369,2033.454,25.95755,0.593502,0,
4,-1.736414,-53.444,51.70759,-0.1812533,-0.1599031,0.1127955,8.587934E-08,0.001077078,7.908454E-08,0.001117071,3.999273E-05,0.0003590249,11.13927,48.85249,1370.016,26.01577,0.41765,0,
5,-1.730375,-53.63726,51.90689,-0.1902246,0.05665112,0.1129943,1.29588E-07,0.001436103,1.214761E-07,0.001476098,3.9995E-05,0.000359031,11.13971,60.36234,1462.327,25.73521,0.5569196,0,
6,-1.716138,-52.34114,50.625,-0.1985465,0.1950325,0.118545,1.378208E-07,0.001795134,1.294081E-07,0.001835124,3.999038E-05,0.0003590261,11.13857,-58.3895,1704.731,25.83449,0.4842323,0,
7,-1.755225,-54.06372,52.30849,-0.1700163,0.3884527,0.1293094,1.365672E-07,0.00215416,1.332139E-07,0.002194146,3.998666E-05,0.0003590108,11.13801,-75.18801,1974.477,25.96583,0.7623054,0,
8,-1.733014,-52.8068,51.07379,-0.1772766,0.2047254,0.1549282,1.235872E-07,0.00251317,1.166758E-07,0.002553165,3.999472E-05,0.0003590341,11.13953,-1.284081,1892.502,25.80125,0.604797,0,
9,-1.723554,-54.25054,52.52699,-0.1815844,0.01308223,0.1228094,1.10678E-07,0.002872205,7.387725E-08,0.002912198,3.999332E-05,0.0003590331,11.13917,-61.77199,1484.735,25.8591,0.4578083,0,
10,-1.747196,-52.83038,51.08318,-0.1867769,-0.110265,0.1448801,8.239097E-08,0.003231238,7.884913E-08,0.00327123,3.99928E-05,0.0003590244,11.1393,16.42839,1794.424,25.64798,0.6735629,0,
11,-1.735204,-53.77812,52.04292,-0.188134,0.05567585,0.1441404,1.294616E-07,0.003590262,1.211094E-07,0.003630258,3.999566E-05,0.0003590309,11.1399,-29.18848,1692.777,25.71377,0.5404349,0,
12,-1.739987,-54.55441,52.81442,-0.1962473,0.2930494,0.1379464,1.36622E-07,0.003949293,1.287957E-07,0.003989283,3.999033E-05,0.0003590269,11.13853,30.92306,1572.68,25.64469,0.532846,0,
13,-1.729066,-57.41365,55.68459,-0.1776962,0.3423579,0.1250705,1.364265E-07,0.00430832,1.342777E-07,0.004348306,3.99858E-05,0.0003590103,11.13779,-36.13446,1702.842,25.70263,0.6703198,0,
