Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.498761,-55.17395,52.67519,-0.103013,0.3847923,0.09194018,1.199457E-07,0,1.169136E-07,1.199599E-05,1.199599E-05,0.0001250202,9.595246,132.3143,11141.75,-40.28032,0.5091586,0,
2,-2.492391,-54.50618,52.01379,-0.1561029,-0.07777521,0.11991,1.014802E-07,0.0001250202,1.058634E-07,0.0001370162,1.1996E-05,0.0001250093,9.596081,-360.0936,12047.4,-39.91575,0.5074931,0,
3,-2.504976,-56.10308,53.59811,-0.1169066,0.5084013,0.1242782,1.347441E-07,0.0002500295,1.3383E-07,0.0002620165,1.198697E-05,0.0001250051,9.589187,-11.93864,2708.023,-40.27951,0.3878848,0,
4,-2.465919,-58.58487,56.11895,-0.1215482,0.1821335,0.09676953,1.05398E-07,0.0003750346,7.355017E-08,0.0003870285,1.199391E-05,0.0001250174,9.593794,444.5834,9986.727,-40.23727,0.5613484,0,
5,-2.487352,-55.45361,52.96626,-0.159941,0.1388996,0.09664751,1.285998E-07,0.0005000521,1.204319E-07,0.0005120485,1.19965E-05,0.0001250001,9.597192,32.84382,9772.66,-40.7033,0.415003,0,
6,-2.471472,-53.70461,51.23314,-0.1406865,0.437356,0.1132606,1.300069E-07,0.0006250521,1.313153E-07,0.000637045,1.199286E-05,0.0001250157,9.593085,273.1642,18052,-40.28172,0.3597322,0,
7,-2.487965,-56.74795,54.25998,-0.143064,-0.07022963,0.09645611,7.643034E-08,0.0007500678,7.875943E-08,0.0007620611,1.199329E-05,0.0001250148,9.593493,-206.2461,12953.14,-40.71298,0.4995226,0,
8,-2.50483,-55.46296,52.95813,-0.1474605,0.4135366,0.1108252,1.352143E-07,0.0008750826,1.287767E-07,0.0008870744,1.199179E-05,0.0001249976,9.593616,-163.9994,14755.15,-40.55313,0.5045681,0,
9,-2.474694,-56.47601,54.00132,-0.1283972,0.3339375,0.0908016,1.208021E-07,0.00100008,1.193507E-07,0.001012076,1.199572E-05,0.0001250198,9.595057,-476.3441,9608.106,-40.0015,0.3053466,0,
10,-2.488712,-58.78533,56.29662,-0.1422923,-0.07398776,0.1191661,1.029717E-07,0.0011251,1.076792E-07,0.001137096,1.199567E-05,0.0001250097,9.595796,-227.4183,11566.14,-40.83784,0.495699,0,
11,-2.484864,-51.6455,49.16064,-0.1551449,0.5120286,0.1380673,1.347599E-07,0.00125011,1.329331E-07,0.001262097,1.198699E-05,0.0001249979,9.589753,-246.0897,5336.713,-40.56704,0.3555123,0,
12,-2.492722,-58.92834,56.43562,-0.1355193,-0.04789817,0.1123057,7.633558E-08,0.001375108,7.945588E-08,0.001387101,1.199369E-05,0.0001250151,9.593795,260.6857,9185.557,-41.00164,0.3274146,0,
13,-2.501904,-54.50772,52.00582,-0.1442754,0.4513398,0.08292112,1.344763E-07,0.001500123,1.295907E-07,0.001512114,1.199162E-05,0.0001249973,9.593498,-398.9478,21664.9,-40.50381,0.3453365,0,
14,-2.510891,-55.63925,53.12836,-0.1366403,0.3713736,0.09582566,1.200901E-07,0.00162512,1.193615E-07,0.001637117,1.199655E-05,0.0001250203,9.595681,-329.8683,17857.65,-40.31049,0.4820874,0,
15,-2.477001,-56.26719,53.79019,-0.1646101,-0.09221471,0.08039396,1.017373E-07,0.00175014,1.066545E-07,0.001762136,1.199563E-05,0.0001250093,9.595783,-109.705,13418.21,-40.69403,0.5701129,0,
16,-2.523265,-53.91187,51.38861,-0.1257429,0.5202625,0.1181328,1.344501E-07,0.00187515,1.337197E-07,0.001887136,1.198682E-05,0.000125005,9.589071,548.111,12836.42,-39.65763,0.3564781,0,
17,-2.468441,-53.60883,51.14039,-0.1277192,0.1109705,0.09241509,1.066719E-07,0.002000155,7.300017E-08,0.002012148,1.199347E-05,0.0001250177,9.593422,-331.1927,16227.66,-40.49035,0.5970892,0,
18,-2.532065,-52.96027,50.4282,-0.1460266,0.1851951,0.13385,1.290107E-07,0.002125172,1.194369E-07,0.002137169,1.199632E-05,0.0001249983,9.597183,-301.6568,5741.372,-40.51457,0.6902322,0,
19,-2.500039,-55.74778,53.24774,-0.1519191,0.4721575,0.09365562,1.285477E-07,0.002250171,1.317362E-07,0.002262165,1.199469E-05,0.0001250169,9.594454,-335.6687,9086.352,-40.34532,0.308991,0,
20,-2.492989,-56.33823,53.84524,-0.1466634,-0.05649827,0.1237031,7.598992E-08,0.002375188,7.961403E-08,0.002387181,1.199357E-05,0.0001250147,9.59373,-220.0225,5260.411,-40.53632,0.3910527,0,
21,-2.496448,-56.89663,54.40018,-0.1422892,0.415961,0.09877507,1.358357E-07,0.002500202,1.286366E-07,0.002512194,1.199199E-05,0.0001249976,9.593775,268.5849,17562.46,-40.92355,0.2389002,0,
22,-2.507733,-55.07235,52.56462,-0.1106355,0.3681705,0.1190689,1.203816E-07,0.0026252,1.202128E-07,0.002637196,1.199634E-05,0.0001250205,9.595499,-415.8793,9872.875,-40.81075,0.3135456,0,
23,-2.503014,-56.04034,53.53732,-0.1370983,-0.02851615,0.1205752,9.985484E-08,0.00275022,1.074405E-07,0.002762216,1.199544E-05,0.0001250088,9.595683,-87.6671,11799.51,-40.32042,0.5022635,0,
