Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-1.407843,-56.99745,55.58961,-0.1800615,0.03418289,0.1032222,1.106432E-07,0,7.416548E-08,3.999316E-05,3.999316E-05,0.0003590258,11.13935,-71.86002,1588.537,-162.9964,0.4492008,0,
2,-1.418739,-53.94763,52.52889,-0.1934544,-0.2067822,0.1040962,1.009083E-07,0.0003590258,1.066326E-07,0.0003990206,3.999475E-05,0.0003590323,11.1396,22.25467,1300.942,-163.2594,0.404104,0,
3,-1.413005,-54.138,52.72499,-0.1906424,0.08100554,0.1156795,1.270619E-07,0.0007180582,1.206202E-07,0.000758053,3.999485E-05,0.0003590303,11.13968,-80.90662,1747.859,-163.2039,0.5100574,0,
4,-1.432737,-53.27066,51.83792,-0.1929854,0.3046182,0.1236317,1.366211E-07,0.001077089,1.289937E-07,0.00111708,3.999106E-05,0.0003590091,11.13929,-76.24844,1936.072,-163.1529,0.7145486,0,
5,-1.412517,-53.39847,51.98595,-0.18218,0.3659571,0.1261785,1.310666E-07,0.001436098,1.312648E-07,0.00147609,3.999232E-05,0.0003590286,11.13904,67.04567,1773.536,-163.1188,0.6599259,0,
6,-1.39145,-54.37879,52.98734,-0.1768812,0.1919268,0.1236956,1.2459E-07,0.001795126,1.195044E-07,0.001835121,3.999433E-05,0.0003590337,11.13944,-60.51758,1642.078,-163.2534,0.5274969,0,
7,-1.433612,-54.90697,53.47336,-0.1822401,0.09166554,0.1290315,1.09807E-07,0.00215416,7.519358E-08,0.002194154,3.999357E-05,0.000359026,11.13946,25.79119,1663.463,-163.2105,0.7078524,0,
8,-1.424685,-54.84024,53.41555,-0.189027,-0.1886606,0.1382579,9.843663E-08,0.002513186,1.046953E-07,0.002553181,3.999508E-05,0.000359032,11.1397,-41.42959,1666.659,-163.0807,0.4639311,0,
9,-1.439275,-56.571,55.13172,-0.1893718,0.04575336,0.1701769,1.29156E-07,0.002872218,1.194519E-07,0.002912214,3.999559E-05,0.0003590182,11.14027,-14.24479,1810.284,-162.9653,0.5861943,0,
10,-1.407415,-53.18889,51.78147,-0.1779696,0.3549995,0.1322327,1.362482E-07,0.003231236,1.328081E-07,0.003271221,3.998516E-05,0.0003590213,11.13727,33.9487,2105.268,-163.259,0.540582,0,
