Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.657799,-54.19007,51.53228,-0.2080429,0.1190786,0.156106,1.260724E-07,0,1.167679E-07,0.0001999945,0.0001999945,0.001692132,11.81908,5.326518,1662.298,-155.1246,0.5918699,0,
2,-2.682508,-56.0579,53.3754,-0.2110708,0.01522417,0.1520282,1.298083E-07,0.001692132,1.190244E-07,0.001892127,0.0001999953,0.00169212,11.81922,5.283469,1686.415,-155.0397,0.6252618,0,
3,-2.651992,-53.87075,51.21875,-0.2089901,0.2665352,0.1504987,1.324724E-07,0.003384251,1.300194E-07,0.003584244,0.0001999921,0.001692129,11.81896,1.183689,1797.615,-155.2603,0.7117498,0,
4,-2.670294,-54.77171,52.10142,-0.2097702,-0.2910245,0.1492878,1.003174E-07,0.00507638,1.067623E-07,0.005276375,0.0001999943,0.00169213,11.81909,-3.402935,1519.401,-155.2054,0.5896942,0,
5,-2.655383,-54.54016,51.88477,-0.2117019,0.2884181,0.1542562,1.373477E-07,0.00676851,1.340369E-07,0.006968495,0.0001999849,0.001692118,11.81862,-4.440217,1659.694,-155.2606,0.5685093,0,
6,-2.665422,-56.04063,53.37521,-0.212811,-0.2263333,0.14868,9.332901E-08,0.008460628,7.86527E-08,0.00866062,0.0001999924,0.001692122,11.81903,-2.393119,1655.245,-155.4497,0.5590819,0,
7,-2.673563,-55.06378,52.39022,-0.2109318,0.2917168,0.1369994,1.376716E-07,0.01015275,1.328622E-07,0.01035273,0.0001999857,0.001692125,11.81861,-3.828358,1663.326,-155.4848,0.5995321,0,
8,-2.661466,-55.14136,52.4799,-0.2136955,-0.05221591,0.1483713,1.126493E-07,0.01184487,7.313842E-08,0.01204487,0.0001999928,0.001692128,11.81901,-4.563947,1651.037,-155.624,0.6011947,0,
9,-2.666617,-55.5351,52.86848,-0.2112224,0.2089628,0.1684287,1.363117E-07,0.013537,1.291612E-07,0.01373699,0.0001999912,0.001692111,11.81903,-3.079455,1617.91,-155.4063,0.5656213,0,
10,-2.66836,-55.21957,52.55121,-0.2150569,-0.06983089,0.1837438,1.125993E-07,0.01522911,7.3187E-08,0.01542911,0.0001999933,0.001692138,11.81897,0.6288013,1668.267,-155.4424,0.6492487,0,
11,-2.669632,-55.06951,52.39988,-0.2113123,0.000957728,0.1685721,1.311151E-07,0.01692125,1.20787E-07,0.01712125,0.0001999952,0.001692108,11.81929,0.7892265,1659.901,-155.2222,0.5647625,0,
12,-2.65208,-54.53472,51.88264,-0.2102578,0.1242236,0.1569125,1.258295E-07,0.01861336,1.182283E-07,0.01881335,0.0001999946,0.00169214,11.81904,-6.545778,1498.985,-155.274,0.5298213,0,
13,-2.656481,-54.31081,51.65433,-0.213433,-0.2717633,0.143852,1.013661E-07,0.0203055,1.058808E-07,0.0205055,0.000199995,0.001692112,11.81925,2.352519,1845.177,-155.3111,0.6360015,0,
14,-2.688651,-55.69097,53.00232,-0.2150171,0.3069723,0.1541503,1.319876E-07,0.02199761,1.309498E-07,0.0221976,0.000199992,0.001692136,11.81891,-0.5949745,1669.02,-155.2096,0.6012367,0,
15,-2.66441,-53.29325,50.62884,-0.2153292,-0.2837985,0.166905,9.521393E-08,0.02368975,7.91214E-08,0.02388974,0.0001999921,0.001692122,11.81901,0.3852379,1611.239,-155.328,0.6282907,0,
16,-2.687842,-55.50501,52.81717,-0.2132831,0.3368584,0.1409997,1.368253E-07,0.02538187,1.343291E-07,0.02558186,0.0001999859,0.001692118,11.81867,-0.4357797,1778.148,-155.399,0.6191872,0,
17,-2.673749,-55.07761,52.40386,-0.2121308,-0.2643729,0.1405616,9.254458E-08,0.02707399,7.616926E-08,0.02727398,0.0001999927,0.001692135,11.81896,2.832147,1706.342,-155.3909,0.5678223,0,
18,-2.703635,-53.57869,50.87505,-0.2132444,0.2407103,0.1558798,1.362016E-07,0.02876612,1.274033E-07,0.02896611,0.0001999913,0.001692112,11.81904,-8.00095,1774.552,-155.3637,0.6315632,0,
19,-2.672262,-55.70221,53.02995,-0.2087312,-0.04422207,0.1349382,1.1219E-07,0.03045823,7.331651E-08,0.03065823,0.0001999932,0.001692138,11.81896,2.366832,1434.134,-155.3814,0.5147275,0,
20,-2.664564,-54.24316,51.57859,-0.2107208,-0.04978496,0.1457257,1.306316E-07,0.03215037,1.207973E-07,0.03235037,0.000199995,0.001692109,11.81927,-1.044433,1674.758,-155.3949,0.5748653,0,
21,-2.651549,-56.51914,53.86759,-0.2075353,0.07748932,0.1633578,1.267722E-07,0.03384248,1.192576E-07,0.03404247,0.0001999937,0.001692131,11.81904,4.691663,1694.143,-155.3342,0.6157718,0,
22,-2.663249,-55.11449,52.45124,-0.2087567,-0.04455511,0.1341642,1.293553E-07,0.03553461,1.206739E-07,0.03573461,0.000199995,0.001692119,11.8192,2.627953,1917.953,-155.162,0.6651356,0,
23,-2.667532,-56.7131,54.04556,-0.2158794,0.2645618,0.1518472,1.317745E-07,0.03722673,1.309937E-07,0.03742673,0.0001999921,0.001692129,11.81897,0.009597131,1696.153,-155.3548,0.5534124,0,
24,-2.672393,-55.7202,53.04781,-0.2108481,-0.2670974,0.148668,1.03119E-07,0.03891886,1.055903E-07,0.03911886,0.0001999949,0.00169213,11.81913,3.550901,1763.51,-155.4036,0.63446,0,
25,-2.661125,-54.49467,51.83354,-0.2121973,0.3064466,0.1778053,1.375051E-07,0.04061099,1.31813E-07,0.04081098,0.0001999858,0.001692118,11.81867,1.200308,1541.449,-155.4397,0.5823778,0,
