Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-1.144431,-53.51294,52.36851,-0.2201147,0.2140993,0.1515192,1.381737E-07,0,1.341402E-07,0.000199985,0.000199985,0.001692124,11.81858,3.897894,1627.68,-93.68507,0.5589004,0,
2,-1.153675,-53.64668,52.493,-0.2227161,-0.06378263,0.1394623,1.143705E-07,0.001692124,7.331962E-08,0.001892117,0.0001999929,0.001692129,11.81901,-0.07236838,1691.796,-93.7698,0.6010253,0,
3,-1.121361,-53.49909,52.37773,-0.2224739,0.1043445,0.1582965,1.397502E-07,0.003384253,1.292481E-07,0.003584243,0.0001999903,0.001692117,11.81894,2.693071,1714.883,-93.78992,0.6136149,0,
4,-1.178441,-53.90935,52.73091,-0.2199059,0.1408916,0.1467554,1.256895E-07,0.00507637,1.187952E-07,0.005276365,0.0001999946,0.001692132,11.81909,-0.2094079,1912.669,-93.6245,0.6659113,0,
5,-1.142861,-53.08561,51.94275,-0.2192515,-0.09845036,0.1500291,1.280117E-07,0.006768502,1.202991E-07,0.006968497,0.0001999945,0.001692108,11.81925,-6.141872,1631.979,-93.28952,0.5627697,0,
6,-1.140475,-53.08544,51.94496,-0.2166216,0.1319788,0.1533218,1.256922E-07,0.00846061,1.200408E-07,0.008660604,0.0001999941,0.00169214,11.81901,-1.354448,1879.258,-93.33062,0.6442693,0,
7,-1.155292,-54.26789,53.11259,-0.2226676,-0.3042054,0.1639197,9.897295E-08,0.01015275,1.053677E-07,0.01035274,0.0001999944,0.001692112,11.81922,-3.531414,1817.68,-93.34847,0.6537823,0,
8,-1.135831,-53.63206,52.49623,-0.2189454,0.2379916,0.1330828,1.342637E-07,0.01184486,1.336567E-07,0.01204485,0.0001999914,0.001692135,11.81888,-0.2021872,1853.205,-93.44391,0.6695375,0,
9,-1.144322,-53.05513,51.91081,-0.2200761,-0.2837916,0.1429298,9.762368E-08,0.013537,7.987401E-08,0.01373699,0.000199992,0.001692123,11.819,-2.836414,1804.827,-93.28618,0.6662502,0,
10,-1.151916,-53.97487,52.82296,-0.2197624,0.2582641,0.1523251,1.379515E-07,0.01522912,1.337438E-07,0.01542911,0.0001999848,0.001692117,11.81861,-2.298922,1583.103,-93.4342,0.5292392,0,
