Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.604704,-57.77302,55.16832,-0.1788983,0.08995229,0.146816,1.301741E-07,0,1.213367E-07,3.999635E-05,3.999635E-05,0.0003590176,11.1405,-90.26405,1592.917,-25.05926,0.5452486,0,
2,-2.610172,-55.28434,52.67416,-0.1649446,0.4013092,0.1394061,1.356839E-07,0.0003590176,1.34432E-07,0.0003990039,3.998632E-05,0.0003590226,11.13755,-47.70604,1896.668,-25.12035,0.6639308,0,
3,-2.61385,-54.45428,51.84043,-0.1723478,0.4070239,0.1452256,1.300727E-07,0.0007180402,1.312664E-07,0.0007580326,3.999246E-05,0.0003590282,11.13908,-77.89943,1674.504,-25.14402,0.7658126,0,
4,-2.592899,-54.87841,52.28551,-0.1720953,0.2564839,0.1179484,1.222726E-07,0.001077068,1.183859E-07,0.001117064,3.999556E-05,0.0003590277,11.13997,-33.34922,2015.736,-25.08626,0.8795028,0,
5,-2.611466,-54.8494,52.23794,-0.17944,-0.1388115,0.1272948,8.552053E-08,0.001436096,7.970584E-08,0.001476089,3.999267E-05,0.0003590329,11.139,-39.66623,1891.856,-25.10327,0.7521369,0,
6,-2.593235,-53.48416,50.89092,-0.1772006,-0.1868486,0.132891,1.005886E-07,0.001795129,1.065275E-07,0.001835124,3.999502E-05,0.0003590315,11.13969,-45.18121,1396.642,-25.39028,0.4805833,0,
7,-2.611095,-55.28185,52.67075,-0.1838973,0.1072915,0.1395024,1.288425E-07,0.002154161,1.208852E-07,0.002194156,3.99954E-05,0.0003590171,11.14025,-7.469099,1713.93,-25.35241,0.6515884,0,
8,-2.62723,-54.05553,51.4283,-0.1719587,0.4504913,0.1303651,1.354727E-07,0.002513177,1.328345E-07,0.002553164,3.998682E-05,0.0003590216,11.13772,-20.64579,1422.474,-25.17759,0.4678812,0,
9,-2.600848,-52.53804,49.93719,-0.1719263,0.3716107,0.1283832,1.30865E-07,0.002872199,1.313733E-07,0.002912193,3.999355E-05,0.0003590295,11.13935,32.49586,1729.146,-25.20313,0.7082921,0,
10,-2.619338,-51.62745,49.00811,-0.1590664,0.2632229,0.1175741,1.224403E-07,0.003231229,1.168317E-07,0.003271224,3.999511E-05,0.0003590276,11.13984,32.91634,1809.536,-25.56136,0.7111563,0,
11,-2.609959,-53.29085,50.68089,-0.1847568,-0.186462,0.1629385,8.752932E-08,0.003590256,7.945988E-08,0.003630249,3.999262E-05,0.0003590325,11.139,-50.8832,2182.628,-25.45198,0.8857784,0,
12,-2.598917,-55.51291,52.914,-0.1651237,-0.162671,0.1249659,9.989861E-08,0.003949289,1.076883E-07,0.003989283,3.999469E-05,0.0003590218,11.13991,9.668352,1768.83,-25.47624,0.7047316,0,
13,-2.599576,-53.86854,51.26896,-0.178061,0.3082206,0.1119495,1.368244E-07,0.00430831,1.298277E-07,0.004348302,3.999106E-05,0.0003590272,11.13873,-10.2241,1584.869,-25.58433,0.5285938,0,
14,-2.600669,-54.47034,51.86967,-0.1771722,0.3859353,0.1312448,1.359068E-07,0.004667338,1.329001E-07,0.004707324,3.998602E-05,0.000359023,11.13745,-31.16323,1583.267,-25.53651,0.5990037,0,
