Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-1.715677,-52.88255,51.16688,-0.181774,-0.2119192,0.1320177,1.019898E-07,0,1.06128E-07,3.999527E-05,3.999527E-05,0.0003590324,11.13974,-47.59019,1610.684,84.03395,0.6290069,0,
2,-1.710646,-55.01792,53.30727,-0.182817,0.04983738,0.1280333,1.280917E-07,0.0003590324,1.206731E-07,0.0003990277,3.999532E-05,0.000359017,11.14023,-52.10703,2015.563,83.9113,0.6505919,0,
3,-1.731375,-56.6825,54.95112,-0.1649277,0.4414421,0.1342917,1.351821E-07,0.0007180494,1.337108E-07,0.0007580362,3.998687E-05,0.0003590222,11.13772,21.59734,1655.156,83.90504,0.7014952,0,
4,-1.724587,-54.17783,52.45324,-0.1726213,0.4013596,0.1207102,1.307017E-07,0.001077072,1.316828E-07,0.001117064,3.99927E-05,0.0003590226,11.13933,-0.4060137,2057.869,83.87695,0.6170761,0,
5,-1.715399,-55.17345,53.45805,-0.1708126,0.1270976,0.135439,1.079717E-07,0.001436094,7.326615E-08,0.001476087,3.999331E-05,0.0003590331,11.13917,26.95733,1327.386,83.9959,0.4659319,0,
6,-1.734231,-54.69238,52.95815,-0.1617638,-0.1075855,0.103936,8.218132E-08,0.001795127,7.81506E-08,0.00183512,3.999302E-05,0.0003590329,11.1391,-121.389,1934.762,83.81295,0.6848849,0,
7,-1.704501,-53.02607,51.32156,-0.1725613,-0.1934697,0.1271722,1.007154E-07,0.00215416,1.072487E-07,0.002194155,3.999483E-05,0.000359022,11.13994,-4.372542,1879.443,84.19936,0.4751949,0,
8,-1.738894,-58.01189,56.27299,-0.1741966,0.3527886,0.1311122,1.364416E-07,0.002513182,1.290164E-07,0.002553175,3.999244E-05,0.000359027,11.13912,-9.146973,2039.515,84.14967,0.632943,0,
9,-1.734669,-54.77789,53.04322,-0.1767107,0.433201,0.1348759,1.348191E-07,0.002872209,1.33887E-07,0.002912196,3.998699E-05,0.0003590221,11.13775,8.687374,1195.737,83.83395,0.424799,0,
10,-1.718245,-55.63388,53.91564,-0.174816,0.3537877,0.1346375,1.31449E-07,0.003231231,1.311978E-07,0.003271224,3.999328E-05,0.0003590228,11.13948,2.8621,1612.064,83.9183,0.604441,0,
11,-1.740025,-52.24887,50.50885,-0.1694642,0.07354663,0.1115146,1.079623E-07,0.003590254,7.292928E-08,0.003630248,3.999359E-05,0.0003590338,11.13923,4.051764,1882.316,83.90434,0.6818411,0,
12,-1.714205,-53.56679,51.85259,-0.1739804,-0.125214,0.1220725,8.788867E-08,0.003949288,7.929978E-08,0.00398928,3.999246E-05,0.0003590324,11.13896,-130.2684,1780.453,83.97449,0.6154119,0,
13,-1.718874,-53.86517,52.14629,-0.1751298,-0.1772683,0.1396954,9.868245E-08,0.00430832,1.059806E-07,0.004348315,3.999506E-05,0.0003590226,11.13998,-86.39525,1774.822,83.98903,0.6493923,0,
14,-1.730801,-54.57983,52.84903,-0.1750475,0.3195846,0.1318616,1.378174E-07,0.004667343,1.292352E-07,0.004707334,3.999081E-05,0.0003590263,11.13869,-16.00447,1775.148,83.68477,0.6515859,0,
15,-1.729847,-56.12775,54.3979,-0.1689752,0.4101139,0.1332375,1.356055E-07,0.005026369,1.341534E-07,0.005066356,3.998702E-05,0.0003590111,11.1381,-16.2795,1609.62,83.91472,0.4817494,0,
16,-1.733178,-54.51646,52.78328,-0.1624919,0.2396125,0.1157032,1.231843E-07,0.00538538,1.172995E-07,0.005425375,3.999523E-05,0.0003590339,11.13968,-65.06187,1471.955,83.79591,0.5411071,0,
17,-1.736535,-55.68456,53.94802,-0.1733674,0.09547815,0.1275035,1.075412E-07,0.005744414,7.330687E-08,0.005784408,3.999373E-05,0.0003590332,11.13928,3.586847,1433.602,83.79187,0.5179247,0,
18,-1.716118,-54.54574,52.82962,-0.1745656,-0.1689364,0.1160551,8.367365E-08,0.006103447,7.956034E-08,0.00614344,3.999309E-05,0.0003590248,11.13937,14.00162,1432.821,83.93724,0.451554,0,
19,-1.731925,-52.79715,51.06523,-0.1757207,0.07155356,0.1248552,1.292648E-07,0.006462472,1.20561E-07,0.006502468,3.999614E-05,0.00035903,11.14006,13.80558,2076.137,83.866,0.5892872,0,
20,-1.727224,-53.32456,51.59734,-0.1814067,0.3434219,0.1458199,1.368834E-07,0.006821502,1.292637E-07,0.006861494,3.999182E-05,0.0003590269,11.13895,-107.9097,1405.13,83.76102,0.4581832,0,
21,-1.724665,-56.0121,54.28744,-0.1727118,0.4130696,0.1199211,1.350676E-07,0.007180529,1.345027E-07,0.007220516,3.998717E-05,0.0003590111,11.13814,20.08459,1916.947,83.77385,0.6743975,0,
22,-1.721736,-54.34707,52.62534,-0.158934,0.1993708,0.1335488,1.239556E-07,0.00753954,1.18828E-07,0.007579535,3.999509E-05,0.000359034,11.13964,10.86154,1683.675,83.87822,0.7086992,0,
23,-1.717909,-55.64427,53.92636,-0.1722827,0.05785565,0.1191817,1.09522E-07,0.007898574,7.535826E-08,0.007938568,3.999374E-05,0.000359026,11.13951,-10.26018,1691.318,83.7272,0.614987,0,
24,-1.738357,-54.29338,52.55502,-0.1634206,-0.1336192,0.1154461,9.918366E-08,0.0082576,1.066115E-07,0.008297595,3.999472E-05,0.0003590316,11.13961,-48.04935,1748.357,83.88734,0.5324593,0,
25,-1.719403,-56.22327,54.50387,-0.1731381,0.08042183,0.1159447,1.290936E-07,0.008616632,1.212063E-07,0.008656628,3.99963E-05,0.0003590303,11.14009,-27.35795,1564.944,84.00926,0.6441951,0,
26,-1.721356,-53.16673,51.44537,-0.1658467,0.3447505,0.1056861,1.351579E-07,0.008975662,1.288856E-07,0.009015654,3.999168E-05,0.0003590088,11.13947,-85.5597,1651.018,83.88918,0.6094443,0,
27,-1.72677,-52.8503,51.12353,-0.1704987,0.415352,0.1282133,1.305636E-07,0.009334671,1.321643E-07,0.009374664,3.999325E-05,0.0003590292,11.13928,82.19037,1353.719,83.83865,0.4923615,0,
28,-1.727812,-53.37624,51.64843,-0.1670812,0.2441178,0.1177635,1.227538E-07,0.0096937,1.182894E-07,0.009733696,3.99952E-05,0.0003590345,11.13965,-53.81729,1828.296,83.96446,0.7052777,0,
29,-1.724413,-53.20375,51.47934,-0.1734546,0.03498939,0.1113067,1.107725E-07,0.01005273,7.328441E-08,0.01009273,3.999282E-05,0.0003590253,11.13928,-72.92258,1781.203,83.98204,0.5314367,0,
30,-1.744569,-54.7165,52.97194,-0.1717781,-0.1458888,0.1252496,1.033366E-07,0.01041176,1.050547E-07,0.01045176,3.999545E-05,0.0003590323,11.13979,43.29313,1457.119,83.74686,0.5484154,0,
31,-1.744536,-55.57288,53.82835,-0.1839136,0.07600217,0.1206835,1.269273E-07,0.01077079,1.204095E-07,0.01081079,3.9996E-05,0.0003590304,11.14,51.92192,1413.635,83.83046,0.440876,0,
32,-1.72154,-55.45262,53.73108,-0.1775427,0.3127175,0.1189797,1.363102E-07,0.01112982,1.293412E-07,0.01116981,3.999081E-05,0.0003590092,11.13921,-33.30317,1677.294,83.65469,0.6526622,0,
33,-1.712886,-52.8386,51.12571,-0.1659764,0.4038112,0.1101772,1.310184E-07,0.01148883,1.310885E-07,0.01152882,3.999224E-05,0.0003590279,11.13903,-35.8631,1653.959,83.81065,0.6967514,0,
34,-1.741494,-55.81378,54.07228,-0.1784999,0.2286808,0.1464451,1.232565E-07,0.01184786,1.191307E-07,0.01188785,3.999562E-05,0.0003590276,11.13999,-8.963588,1598.998,83.90807,0.5641509,0,
35,-1.752199,-57.78492,56.03273,-0.1748865,-0.1070561,0.1300607,8.30717E-08,0.01220689,7.807377E-08,0.01224688,3.999329E-05,0.000359033,11.13917,-48.6907,2097.659,83.7531,0.7811361,0,
36,-1.721435,-53.79491,52.07348,-0.1587081,-0.2016716,0.1136979,1.002367E-07,0.01256592,1.065254E-07,0.01260592,3.999531E-05,0.0003590322,11.13976,4.881701,1444.602,83.84933,0.5380257,0,
37,-1.740097,-53.80179,52.06169,-0.1730334,0.06279959,0.1211004,1.278369E-07,0.01292495,1.199233E-07,0.01296495,3.999582E-05,0.0003590172,11.14036,-40.45788,1688.382,83.95,0.851275,0,
38,-1.719427,-54.42862,52.70919,-0.1661948,0.4388249,0.1366578,1.351121E-07,0.01328397,1.334396E-07,0.01332396,3.998659E-05,0.0003590217,11.13765,-31.8837,1653.58,83.73323,0.6893194,0,
39,-1.715797,-57.56122,55.84542,-0.1710062,0.391097,0.1403551,1.308201E-07,0.01364299,1.327547E-07,0.01368298,3.999296E-05,0.0003590287,11.13921,-9.022307,1389.747,83.81656,0.4923632,0,
40,-1.75065,-52.85046,51.09982,-0.1685783,0.2291326,0.1211729,1.227961E-07,0.01400202,1.189889E-07,0.01404202,3.999546E-05,0.0003590277,11.13993,45.99408,1577.411,83.69437,0.4542296,0,
41,-1.754057,-52.66359,50.90953,-0.1716955,-0.1077963,0.113013,8.431312E-08,0.01436105,7.714671E-08,0.01440104,3.999274E-05,0.0003590327,11.13903,-31.61921,1736.377,84.03349,0.7254274,0,
42,-1.724585,-55.32033,53.59575,-0.170197,-0.1885336,0.128445,1.005413E-07,0.01472008,1.053855E-07,0.01476008,3.999482E-05,0.0003590318,11.13963,-75.41575,1568.392,83.68067,0.5228571,0,
43,-1.72873,-55.71717,53.98844,-0.1772419,0.06152788,0.1208904,1.290333E-07,0.01507911,1.200001E-07,0.01511911,3.999599E-05,0.0003590174,11.1404,82.04784,1742.057,83.777,0.4280587,0,
44,-1.739177,-55.1155,53.37632,-0.165588,0.4165917,0.1188527,1.350605E-07,0.01543813,1.339317E-07,0.01547812,3.998637E-05,0.0003590223,11.13757,29.15654,1667.147,83.84884,0.4679344,0,
