Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.494751,-55.14323,52.64848,-0.2119141,-0.3330597,0.1431828,9.950296E-08,0,1.053453E-07,0.0001999945,0.0001999945,0.001692113,11.81922,-1.632528,1693.695,32.31925,0.5772647,0,
2,-2.501861,-55.38516,52.8833,-0.2094767,0.2751796,0.1619077,1.331536E-07,0.001692113,1.326667E-07,0.001892104,0.0001999911,0.001692128,11.81891,2.395694,1768.53,32.24237,0.6935413,0,
3,-2.523928,-53.80062,51.2767,-0.2088549,-0.3161601,0.1368309,9.782423E-08,0.00338424,1.046045E-07,0.003584235,0.0001999944,0.00169213,11.81909,0.9147362,1717.541,32.27058,0.5648815,0,
4,-2.497766,-56.97695,54.47919,-0.2151778,0.2829536,0.1302215,1.372669E-07,0.00507637,1.333886E-07,0.005276356,0.0001999856,0.001692117,11.81866,7.110989,1692.826,32.26538,0.6968572,0,
5,-2.507817,-54.67057,52.16276,-0.2113285,-0.2275433,0.1424669,9.430273E-08,0.006768487,7.400939E-08,0.00696848,0.0001999927,0.001692135,11.81896,2.671464,1721.965,32.31578,0.5883294,0,
6,-2.490917,-53.97114,51.48022,-0.2095289,0.1716652,0.1330547,1.378879E-07,0.008460622,1.289028E-07,0.008660613,0.0001999906,0.001692111,11.819,-1.596591,1573.453,32.4184,0.5806682,0,
7,-2.519663,-55.89313,53.37347,-0.211997,0.01619055,0.1226106,1.128081E-07,0.01015273,7.887306E-08,0.01035273,0.0001999936,0.00169213,11.81905,-2.642034,1669.214,32.26456,0.6231975,0,
8,-2.481955,-54.36981,51.88785,-0.216516,0.1403241,0.159421,1.363649E-07,0.01184486,1.285055E-07,0.01204485,0.0001999902,0.001692117,11.81893,-1.017639,1800.095,32.08961,0.711226,0,
9,-2.500945,-55.29918,52.79823,-0.2075133,0.1217725,0.1441039,1.262077E-07,0.01353698,1.206544E-07,0.01373697,0.0001999942,0.001692132,11.81907,5.338204,1791.24,32.06974,0.6128386,0,
10,-2.512812,-54.00049,51.48768,-0.2121162,-0.120138,0.1405972,1.299396E-07,0.01522911,1.20093E-07,0.01542911,0.0001999944,0.00169212,11.81917,0.3800735,1798.345,32.13205,0.6656312,0,
11,-2.50383,-54.10576,51.60193,-0.2108548,0.2765518,0.143046,1.325523E-07,0.01692123,1.32017E-07,0.01712122,0.000199992,0.001692128,11.81896,2.479635,1688.613,32.18119,0.5279715,0,
12,-2.499166,-55.64625,53.14709,-0.2199945,-0.31901,0.163312,1.006362E-07,0.01861336,1.056836E-07,0.01881335,0.0001999945,0.00169213,11.8191,-4.583159,1676.714,32.22346,0.5618129,0,
13,-2.493878,-55.38674,52.89286,-0.2037251,0.2698563,0.1382819,1.381938E-07,0.02030549,1.341123E-07,0.02050547,0.0001999859,0.001692117,11.81868,-1.085575,1639.486,32.41527,0.5878445,0,
14,-2.529312,-54.39615,51.86684,-0.2153614,-0.2391981,0.1525875,9.481164E-08,0.02199761,7.510693E-08,0.0221976,0.0001999924,0.001692122,11.81903,-0.08107027,1662.61,32.47269,0.5388419,0,
15,-2.501912,-57.02467,54.52275,-0.2046371,0.3081996,0.139016,1.370978E-07,0.02368973,1.337659E-07,0.02388972,0.0001999862,0.001692124,11.81865,-5.049069,1674.945,32.50993,0.6617681,0,
16,-2.502807,-55.46293,52.96012,-0.2143846,-0.0725337,0.1620558,1.145971E-07,0.02538185,7.63042E-08,0.02558185,0.0001999932,0.001692129,11.81903,-1.576961,1751.615,32.36703,0.6582159,0,
17,-2.499905,-55.37165,52.87175,-0.2088022,0.1416393,0.1335352,1.379392E-07,0.02707398,1.285605E-07,0.02727397,0.000199991,0.001692117,11.81898,-2.79998,1649.623,32.4275,0.5750375,0,
18,-2.51321,-55.83571,53.3225,-0.2164669,0.1467822,0.1282243,1.247436E-07,0.0287661,1.20661E-07,0.0289661,0.000199995,0.001692132,11.81911,0.01866247,1604.817,32.3963,0.5430195,0,
19,-2.497437,-57.14268,54.64524,-0.2093105,-0.03452274,0.1626483,1.291888E-07,0.03045823,1.20321E-07,0.03065823,0.0001999958,0.00169212,11.81925,-0.7525445,1753.597,32.25559,0.5290068,0,
20,-2.532966,-56.051,53.51804,-0.2080977,0.2569352,0.1387628,1.331752E-07,0.03215035,1.321942E-07,0.03235034,0.0001999921,0.001692128,11.81897,0.07138776,1676.564,32.21838,0.5666224,0,
21,-2.492302,-54.63483,52.14253,-0.2073233,-0.3464145,0.1672079,9.959805E-08,0.03384248,1.050796E-07,0.03404247,0.0001999944,0.001692112,11.81922,-2.562453,1517.508,32.13477,0.5390889,0,
22,-2.504774,-54.45279,51.94801,-0.2076669,0.254651,0.1467284,1.328608E-07,0.03553459,1.319426E-07,0.03573458,0.0001999913,0.001692135,11.81888,-2.511884,1639.441,32.03146,0.5465222,0,
23,-2.518654,-56.39536,53.87671,-0.2073545,-0.2520826,0.1490367,9.625846E-08,0.03722673,7.529845E-08,0.03742672,0.0001999925,0.001692123,11.81903,0.672079,1702.476,32.15292,0.599964,0,
24,-2.503347,-55.4166,52.91325,-0.2146828,0.282261,0.157655,1.379104E-07,0.03891885,1.329053E-07,0.03911883,0.0001999857,0.001692124,11.81862,-0.4067814,1567.777,32.21276,0.56236,0,
25,-2.52081,-54.2308,51.70999,-0.2081592,-0.03200892,0.14448,1.141839E-07,0.04061097,7.388423E-08,0.04081097,0.0001999929,0.001692129,11.81901,-0.8745519,1578.96,32.22138,0.5540132,0,
26,-2.502891,-57.62662,55.12373,-0.2146935,0.1897581,0.1436161,1.387007E-07,0.0423031,1.287474E-07,0.04250309,0.0001999906,0.001692111,11.819,-0.2535419,1571.577,32.10827,0.6334838,0,
27,-2.49828,-55.00601,52.50773,-0.210212,-0.06612255,0.1539404,1.136775E-07,0.04399521,7.530585E-08,0.04419521,0.000199993,0.001692138,11.81895,-0.9889392,1736.087,32.10789,0.5758941,0,
28,-2.499857,-54.94971,52.44985,-0.2153673,-0.1038438,0.1568407,1.300434E-07,0.04568735,1.198126E-07,0.04588735,0.0001999946,0.001692108,11.81926,0.3964289,1849.348,32.09794,0.6103708,0,
29,-2.499564,-55.85355,53.35398,-0.2052414,0.1469675,0.1489717,1.25908E-07,0.04737946,1.211048E-07,0.04757946,0.0001999946,0.00169214,11.81904,-3.512677,1692.509,32.05911,0.5380097,0,
30,-2.491958,-55.18775,52.69579,-0.2126877,-0.2952591,0.1442231,9.955445E-08,0.0490716,1.061677E-07,0.04927159,0.0001999942,0.001692112,11.81921,-2.709954,1691.809,32.01821,0.5532506,0,
31,-2.495062,-54.9722,52.47714,-0.2095208,0.2374577,0.1314065,1.332774E-07,0.05076371,1.327913E-07,0.0509637,0.0001999917,0.001692136,11.81889,-1.237651,1675.965,32.01547,0.6216092,0,
32,-2.494835,-55.80848,53.31364,-0.2090106,-0.2676228,0.145142,9.678924E-08,0.05245585,7.472136E-08,0.05265584,0.0001999924,0.001692123,11.81902,-1.358675,1774.596,32.15282,0.6439932,0,
33,-2.522187,-54.83138,52.30919,-0.2119977,0.3162226,0.1509267,1.372454E-07,0.05414797,1.323852E-07,0.05434795,0.0001999859,0.001692118,11.81867,0.01047048,1748.427,32.17963,0.612189,0,
34,-2.502902,-56.75034,54.24743,-0.2106853,-0.2708616,0.1410839,9.788914E-08,0.05584009,7.552642E-08,0.05604008,0.000199992,0.001692135,11.81892,4.221813,1708.787,32.06134,0.6445356,0,
35,-2.484242,-54.74421,52.25996,-0.2108612,0.1814024,0.166467,1.359042E-07,0.05753222,1.292098E-07,0.05773221,0.0001999902,0.001692112,11.81897,-0.7297944,1605.504,32.20869,0.5845065,0,
36,-2.501511,-55.95436,53.45285,-0.2040632,-0.01577317,0.134108,1.140945E-07,0.05922433,7.315384E-08,0.05942433,0.0001999924,0.001692138,11.81892,-0.08291172,1843.089,32.1933,0.6557509,0,
37,-2.498665,-56.57653,54.07787,-0.2137587,-0.07540081,0.1320996,1.283647E-07,0.06091647,1.208252E-07,0.06111647,0.000199995,0.001692108,11.81928,1.813177,1675.622,32.178,0.5923855,0,
38,-2.497337,-56.30367,53.80634,-0.2112429,0.1564436,0.1341381,1.255335E-07,0.06260858,1.199023E-07,0.06280857,0.0001999947,0.001692132,11.8191,2.726566,1603.677,32.03672,0.5943441,0,
39,-2.510706,-55.39551,52.8848,-0.2122195,-0.03018988,0.138641,1.29183E-07,0.06430071,1.195173E-07,0.0645007,0.0001999957,0.001692121,11.81923,2.534658,1591.2,32.13604,0.5567871,0,
40,-2.510257,-54.02736,51.51711,-0.2070234,0.2867573,0.1493883,1.327766E-07,0.06599283,1.330485E-07,0.06619282,0.0001999917,0.001692127,11.81895,-1.369184,1760.819,32.07865,0.6862591,0,
41,-2.506812,-56.64598,54.13916,-0.2163913,-0.2818864,0.1325631,1.018354E-07,0.06768496,1.044342E-07,0.06788495,0.000199995,0.00169213,11.81913,2.340793,1701.477,32.07776,0.5854787,0,
42,-2.521208,-54.84853,52.32733,-0.207293,0.3206165,0.1358696,1.364338E-07,0.06937709,1.336589E-07,0.06957708,0.0001999866,0.001692118,11.81872,-4.918522,1673.77,32.02773,0.5113745,0,
43,-2.511072,-54.86553,52.35446,-0.2115633,-0.2914453,0.1381586,9.681756E-08,0.07106921,7.639002E-08,0.0712692,0.0001999924,0.001692135,11.81893,1.809508,1660.915,31.89548,0.5605214,0,
44,-2.51701,-55.37495,52.85794,-0.21206,0.21915,0.1472819,1.360324E-07,0.07276134,1.290103E-07,0.07296133,0.0001999915,0.001692111,11.81905,-1.424282,1653.551,31.92026,0.6189988,0,
45,-2.508329,-57.6891,55.18077,-0.209852,-0.02602484,0.1459811,1.136007E-07,0.07445345,7.732439E-08,0.07465345,0.0001999933,0.001692128,11.81904,4.000817,1806.709,31.9218,0.6026109,0,
46,-2.507639,-55.86913,53.36149,-0.2124858,0.2314175,0.1560036,1.364798E-07,0.07614558,1.285743E-07,0.07634557,0.0001999917,0.001692118,11.81902,1.539316,1597.323,32.11916,0.6153949,0,
47,-2.521518,-55.28968,52.76816,-0.2060013,0.138971,0.1426613,1.259302E-07,0.0778377,1.19969E-07,0.07803769,0.0001999949,0.001692132,11.81911,-4.507752,1659.226,32.10023,0.5927265,0,
48,-2.508315,-55.99133,53.48301,-0.2128987,-0.06311405,0.1592643,1.294316E-07,0.07952983,1.198239E-07,0.07972983,0.0001999951,0.00169212,11.8192,2.235179,1473.622,32.04613,0.5584078,0,
49,-2.50305,-54.10542,51.60237,-0.2100523,0.2467138,0.1327429,1.335891E-07,0.08122195,1.315535E-07,0.08142194,0.0001999913,0.001692128,11.81892,2.973775,1774.072,32.08751,0.6842227,0,
50,-2.500846,-55.47626,52.97541,-0.2162316,-0.2887399,0.1428501,1.022304E-07,0.08291408,1.054395E-07,0.08311407,0.0001999943,---,---,-0.6848521,1680.254,32.1604,0.616082,0,
