Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.064369,-53.90563,51.84126,-0.2117698,0.3120802,0.1545485,1.377138E-07,0,1.331568E-07,0.000199986,0.000199986,0.001692125,11.81863,-2.040253,1782.587,111.9192,0.5990584,0,
2,-2.034513,-52.96595,50.93143,-0.210932,-0.08462887,0.1576281,1.150971E-07,0.001692125,7.309769E-08,0.001892117,0.0001999922,0.001692129,11.81897,-0.8865923,1710.517,111.7771,0.6033332,0,
3,-2.049866,-55.41422,53.36436,-0.2189057,0.1820209,0.1569435,1.361846E-07,0.003384254,1.289351E-07,0.003584244,0.0001999901,0.001692111,11.81897,-4.32291,1572.106,111.7995,0.5897503,0,
4,-2.058251,-52.19988,50.14163,-0.2107952,-0.05119355,0.1487826,1.130977E-07,0.005076365,7.29452E-08,0.005276357,0.000199993,0.001692138,11.81895,0.9370546,1629.803,111.8142,0.5417256,0,
5,-2.057127,-54.47956,52.42244,-0.2218015,-0.04250973,0.1616543,1.28878E-07,0.006768503,1.199409E-07,0.006968498,0.000199995,0.001692108,11.81928,0.1441075,1782.229,111.6598,0.6578763,0,
6,-2.05255,-53.97498,51.92242,-0.2116987,0.1211078,0.1522506,1.256128E-07,0.008460611,1.184489E-07,0.008660605,0.0001999942,0.00169214,11.81901,0.0167454,1682.969,111.8209,0.6073497,0,
7,-2.048307,-56.15096,54.10265,-0.2095569,-0.2847406,0.1509592,1.013812E-07,0.01015275,1.064409E-07,0.01035274,0.0001999938,0.001692111,11.81919,0.6537898,1807.89,111.6774,0.6582428,0,
8,-2.075326,-54.98492,52.9096,-0.2154868,0.2287292,0.1746431,1.333288E-07,0.01184486,1.314692E-07,0.01204485,0.0001999926,0.001692136,11.81894,1.944144,1806.546,111.6694,0.6475632,0,
9,-2.057899,-54.85423,52.79633,-0.2153901,-0.2912119,0.1771955,9.410687E-08,0.013537,7.817579E-08,0.01373699,0.0001999924,0.001692122,11.81903,0.9395449,1596.221,111.8149,0.5355237,0,
10,-2.080669,-54.87917,52.7985,-0.2116407,0.3431352,0.1527695,1.36613E-07,0.01522912,1.330151E-07,0.01542911,0.0001999854,0.001692118,11.81864,-0.6534925,1531.93,111.5198,0.5257325,0,
11,-2.03949,-53.97594,51.93645,-0.2147114,-0.2574821,0.164998,9.646075E-08,0.01692124,7.965282E-08,0.01712123,0.000199992,0.001692135,11.81892,-1.840427,1624.931,111.4997,0.5857349,0,
12,-2.083446,-54.4199,52.33645,-0.2164794,0.2190096,0.1555311,1.366535E-07,0.01861337,1.286211E-07,0.01881336,0.0001999912,0.001692112,11.81903,-1.14851,1696.699,111.4923,0.6329935,0,
13,-2.061302,-54.15568,52.09438,-0.2151089,-0.06525661,0.1415053,1.131228E-07,0.02030548,7.305094E-08,0.02050548,0.0001999931,0.001692138,11.81896,-1.936148,1742.85,111.6006,0.5738652,0,
14,-2.065264,-54.39773,52.33247,-0.213012,-0.02590177,0.1619929,1.301583E-07,0.02199762,1.205914E-07,0.02219762,0.0001999957,0.001692108,11.81932,2.263248,1690.967,111.5062,0.5780919,0,
15,-2.049229,-55.33295,53.28372,-0.2088825,0.1870386,0.149722,1.250643E-07,0.02368973,1.185038E-07,0.02388973,0.0001999945,0.00169214,11.81903,1.927212,1884.626,111.4211,0.6639287,0,
16,-2.049907,-53.73485,51.68494,-0.2145756,-0.3011455,0.1714263,1.02584E-07,0.02538187,1.065366E-07,0.02558186,0.0001999947,0.001692111,11.81924,-2.469457,1553.279,111.4762,0.5591435,0,
17,-2.06027,-54.57522,52.51495,-0.2112104,0.2901818,0.1425676,1.321467E-07,0.02707398,1.327783E-07,0.02727397,0.0001999923,0.001692129,11.81898,-1.473401,1731.465,111.6648,0.6830407,0,
18,-2.05323,-55.69579,53.64256,-0.2153077,-0.3195868,0.137352,1.030425E-07,0.02876611,1.047768E-07,0.0289661,0.0001999949,0.00169213,11.81912,-1.665969,1647.214,111.7287,0.5791256,0,
19,-2.062529,-54.42426,52.36172,-0.2148782,0.2829646,0.1637946,1.38301E-07,0.03045824,1.32002E-07,0.03065823,0.0001999854,0.001692118,11.81864,-3.802392,1730.357,111.6648,0.6035849,0,
20,-2.03599,-54.75241,52.71642,-0.2155077,-0.2764011,0.1424183,9.611536E-08,0.03215036,7.974203E-08,0.03235035,0.0001999923,0.001692135,11.81893,1.519756,1795.657,111.7237,0.6538548,0,
21,-2.060837,-54.35192,52.29108,-0.2149698,0.2185997,0.1479235,1.373885E-07,0.03384249,1.282595E-07,0.03404249,0.0001999904,0.001692112,11.81898,-0.2630493,1666.361,111.967,0.532501,0,
22,-2.047508,-55.08265,53.03514,-0.2149163,-0.03765966,0.1547498,1.128257E-07,0.03553461,7.340776E-08,0.0357346,0.0001999928,0.001692128,11.81901,0.9699808,1865.805,111.8735,0.5842379,0,
23,-2.066021,-54.90842,52.8424,-0.2170299,0.1815859,0.1519837,1.381215E-07,0.03722673,1.295384E-07,0.03742673,0.0001999912,0.001692118,11.81899,0.5695596,1771.072,111.7829,0.6213862,0,
24,-2.074718,-54.47275,52.39803,-0.2097021,0.1184015,0.1366859,1.259002E-07,0.03891885,1.170357E-07,0.03911885,0.0001999945,0.001692132,11.81908,-3.531078,1777.482,111.811,0.6698875,0,
25,-2.055185,-52.77536,50.72018,-0.2117071,-0.07379196,0.1605992,1.300709E-07,0.04061098,1.207272E-07,0.04081098,0.0001999948,0.00169212,11.81919,-4.943825,1722.161,111.7353,0.5434844,0,
26,-2.051766,-54.14219,52.09042,-0.2111052,0.2766722,0.1490717,1.325057E-07,0.0423031,1.319185E-07,0.04250309,0.0001999912,0.001692128,11.81892,-0.4642497,1521.047,111.6499,0.5851194,0,
27,-2.057916,-56.157,54.09909,-0.2116257,-0.3134228,0.1562434,1.043741E-07,0.04399523,1.053831E-07,0.04419522,0.0001999944,0.00169213,11.81909,-0.1666344,1637.344,111.6974,0.6275344,0,
28,-2.058197,-54.40728,52.34909,-0.2124848,0.26088,0.1648374,1.37372E-07,0.04568736,1.336125E-07,0.04588734,0.0001999851,0.001692118,11.81863,-1.912628,1756.657,111.6053,0.5884311,0,
29,-2.060071,-55.87076,53.81069,-0.2170986,-0.2840414,0.1483298,9.619171E-08,0.04737948,7.639503E-08,0.04757947,0.0001999927,0.001692121,11.81905,0.6849331,1741.395,111.6144,0.660677,0,
30,-2.043073,-55.28603,53.24295,-0.2116318,0.2938062,0.1611066,1.363149E-07,0.0490716,1.325077E-07,0.04927159,0.0001999864,0.001692125,11.81865,0.4945858,1751.624,111.6368,0.6257781,0,
31,-2.065938,-55.5434,53.47747,-0.2109845,-0.05396559,0.1723484,1.13741E-07,0.05076373,7.345557E-08,0.05096372,0.0001999931,0.001692128,11.81903,-0.641798,1803.501,111.7887,0.5916281,0,
32,-2.060114,-56.46198,54.40187,-0.2123688,0.2026438,0.1775251,1.372134E-07,0.05245585,1.289569E-07,0.05265584,0.0001999908,0.001692118,11.81896,-1.264868,1736.487,111.7028,0.550949,0,
33,-2.072088,-55.38474,53.31265,-0.2138134,0.09710328,0.1838163,1.259463E-07,0.05414797,1.203075E-07,0.05434797,0.0001999947,0.001692132,11.8191,3.831504,1592.573,111.6985,0.5399171,0,
34,-2.06336,-54.46605,52.40269,-0.2194294,-0.03028704,0.1672911,1.303701E-07,0.0558401,1.19996E-07,0.0560401,0.0001999952,0.001692109,11.81929,-3.150305,1687.994,111.7596,0.5856628,0,
35,-2.06167,-54.90268,52.84101,-0.2135562,0.09925224,0.1461968,1.262391E-07,0.05753221,1.197657E-07,0.05773221,0.0001999947,0.00169214,11.81904,3.405569,1511.971,111.7597,0.5601784,0,
36,-2.032454,-55.11923,53.08678,-0.2184281,-0.3194047,0.1484619,1.023173E-07,0.05922435,1.066112E-07,0.05942434,0.0001999941,0.001692111,11.81921,0.4015619,1831.691,111.6003,0.6340018,0,
37,-2.074726,-53.21677,51.14204,-0.2140325,0.255394,0.1549012,1.321347E-07,0.06091646,1.320394E-07,0.06111645,0.0001999926,0.001692136,11.81894,1.912715,1809.225,111.6651,0.6851382,0,
38,-2.034087,-53.97286,51.93877,-0.2161175,-0.2840623,0.1601142,9.825538E-08,0.0626086,7.883113E-08,0.06280859,0.0001999919,0.001692122,11.819,3.236866,1715.509,111.4608,0.6182796,0,
39,-2.040857,-56.0215,53.98064,-0.2079915,0.270312,0.154469,1.377014E-07,0.06430072,1.340333E-07,0.0645007,0.0001999849,0.001692125,11.81857,1.38365,1720.896,111.5176,0.6439035,0,
40,-2.043745,-54.09635,52.05261,-0.217749,-0.1031239,0.1509032,1.146786E-07,0.06599285,7.467828E-08,0.06619284,0.0001999928,0.001692128,11.81901,0.8402173,1622.266,111.5999,0.5197896,0,
41,-2.060857,-54.79852,52.73766,-0.2119408,0.2022807,0.1398919,1.360974E-07,0.06768497,1.286221E-07,0.06788497,0.0001999909,0.001692112,11.81901,2.171468,1720.823,111.6927,0.6321826,0,
42,-2.041567,-54.15201,52.11044,-0.2145513,-0.0871564,0.1527205,1.14659E-07,0.06937709,7.325799E-08,0.06957708,0.0001999927,0.001692138,11.81894,3.669367,1711.216,111.6341,0.6145565,0,
43,-2.050786,-53.55273,51.50195,-0.2114861,-0.05463972,0.1443302,1.293195E-07,0.07106923,1.202603E-07,0.07126921,0.0001999949,0.001692108,11.81927,-0.7068282,1602.841,111.7451,0.5949869,0,
