Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.220298,-53.85306,51.63276,-0.1500981,0.1416179,0.1081704,1.055057E-07,0,7.332918E-08,1.199368E-05,1.199368E-05,0.0001250179,9.593564,81.7327,4648.542,-56.53323,0.3368234,0,
2,-2.226515,-51.94284,49.71632,-0.1535981,0.1833522,0.09331968,1.288154E-07,0.0001250179,1.208212E-07,0.0001370135,1.199556E-05,0.0001249992,9.596512,-181.8925,6551.084,-56.61256,0.5597616,0,
3,-2.219546,-56.33591,54.11636,-0.1358562,0.4629561,0.1048801,1.291273E-07,0.0002500171,1.31222E-07,0.0002620107,1.199355E-05,0.0001250162,9.593597,-270.3342,10244.43,-56.70625,0.2614315,0,
4,-2.200957,-56.01543,53.81448,-0.1641066,-0.1082161,0.1046158,7.685937E-08,0.0003750333,8.361455E-08,0.0003870263,1.199301E-05,0.0001250145,9.593299,47.57868,14833.88,-56.33539,0.3507329,0,
5,-2.237291,-51.05341,48.81612,-0.1397603,0.4395779,0.08485235,1.33994E-07,0.0005000478,1.292761E-07,0.0005120393,1.199162E-05,0.0001249983,9.59343,-394.1364,10548.75,-56.42524,0.6897475,0,
6,-2.227408,-54.95342,52.72601,-0.1179724,0.3637629,0.1000714,1.204964E-07,0.000625046,1.20102E-07,0.0006370418,1.199581E-05,0.0001250197,9.595138,-588.0107,14216.62,-56.61461,0.2999515,0,
7,-2.255851,-54.14292,51.88707,-0.1678722,-0.0351387,0.08823182,1.018077E-07,0.0007500657,1.049272E-07,0.0007620618,1.199608E-05,0.0001250089,9.596179,-43.7276,20284.36,-56.48913,0.6718186,0,
8,-2.221643,-54.49411,52.27247,-0.1562738,0.5059156,0.1048958,1.34546E-07,0.0008750746,1.333237E-07,0.0008870623,1.198766E-05,0.0001250055,9.589711,263.9766,8346.715,-56.60659,0.2702415,0,
9,-2.197283,-53.27951,51.08223,-0.1253457,0.1274578,0.09660497,1.062979E-07,0.00100008,7.332627E-08,0.001012074,1.19937E-05,0.0001250176,9.593608,122.2505,9830.496,-57.06805,0.6087954,0,
10,-2.258336,-54.58841,52.33007,-0.1606772,0.2088627,0.09709355,1.276137E-07,0.001125098,1.196355E-07,0.001137094,1.199617E-05,0.0001249884,9.597821,-574.7988,4963.594,-56.7267,0.3610867,0,
11,-2.2044,-55.30036,53.09596,-0.1204963,0.3152371,0.105342,1.21333E-07,0.001250086,1.176162E-07,0.001262082,1.199549E-05,0.0001250199,9.594868,-245.9247,6467.027,-56.67076,0.6730161,0,
12,-2.207038,-54.22948,52.02244,-0.1645589,-0.11847,0.1168398,1.017141E-07,0.001375106,1.071573E-07,0.001387101,1.199549E-05,0.0001250084,9.59574,-598.9073,14729.78,-56.89463,0.3555576,0,
13,-2.227363,-55.27505,53.04768,-0.1445081,0.5089482,0.114951,1.332033E-07,0.001500114,1.325217E-07,0.001512102,1.198783E-05,0.0001250053,9.589858,45.4346,18791.97,-56.64692,0.4631053,0,
14,-2.223526,-55.11934,52.89581,-0.1283181,0.1696885,0.1049954,1.049926E-07,0.00162512,7.338514E-08,0.001637114,1.199429E-05,0.0001250182,9.594033,218.3482,11098.92,-56.75838,0.2757262,0,
15,-2.220839,-53.69359,51.47275,-0.1601079,0.1517724,0.1337435,1.276428E-07,0.001750138,1.21045E-07,0.001762134,1.199624E-05,0.0001249985,9.597106,-247.2995,9508.189,-56.83115,0.3865765,0,
16,-2.234731,-54.6264,52.39167,-0.1258087,0.5028771,0.09104089,1.285882E-07,0.001875137,1.318676E-07,0.00188713,1.199399E-05,0.0001250164,9.593935,222.0553,22181.3,-56.28444,0.3848288,0,
17,-2.216014,-55.85376,53.63774,-0.1497326,-0.05732894,0.1019566,7.55946E-08,0.002000153,7.915185E-08,0.002012147,1.1994E-05,0.0001250144,9.594093,-358.5044,14416.75,-56.68308,0.3427598,0,
18,-2.229991,-53.38036,51.15037,-0.1309226,0.4810318,0.1161261,1.346378E-07,0.002125167,1.293284E-07,0.00213716,1.199235E-05,0.0001249979,9.594044,-101.8202,8819.876,-56.5493,0.4367914,0,
19,-2.239065,-55.80309,53.56403,-0.1340141,0.3479135,0.09115648,1.204042E-07,0.002250165,1.190413E-07,0.002262162,1.199665E-05,0.0001250207,9.595733,-389.2121,17704.35,-56.80413,0.5195815,0,
20,-2.234395,-52.73814,50.50375,-0.1699722,-0.05735084,0.09053794,1.020908E-07,0.002375186,1.06623E-07,0.002387182,1.19958E-05,0.0001250088,9.595964,277.2611,5196.709,-56.56974,0.670186,0,
21,-2.214341,-51.99377,49.77943,-0.135571,0.5108922,0.118546,1.350959E-07,0.002500195,1.332275E-07,0.002512182,1.19869E-05,0.000125005,9.589142,-452.7065,15534.85,-56.85881,0.3113599,0,
22,-2.221197,-61.36651,59.14531,-0.1208732,0.1727494,0.1115559,1.038212E-07,0.0026252,7.350444E-08,0.002637194,1.19943E-05,0.000125008,9.594827,-164.0321,8544.843,-56.22811,0.4283639,0,
23,-2.228266,-58.1717,55.94344,-0.1373925,0.4042995,0.1093963,1.357556E-07,0.002750208,1.295346E-07,0.002762199,1.199175E-05,0.0001249984,9.59352,-334.9659,11793.68,-56.77312,0.3451246,0,
24,-2.204769,-57.34126,55.13649,-0.1385419,0.310278,0.1184976,1.21283E-07,0.002875206,1.188796E-07,0.002887202,1.199565E-05,0.0001250197,9.595005,226.7996,18177.52,-56.83508,0.2776201,0,
25,-2.228007,-53.71115,51.48314,-0.1685379,-0.1070352,0.1418912,1.026186E-07,0.003000226,1.064904E-07,0.003012222,1.199585E-05,0.0001250089,9.595995,-100.889,12621.1,-56.55154,0.4759002,0,
26,-2.216238,-54.9086,52.69236,-0.1334183,0.4876077,0.122222,1.349326E-07,0.003125235,1.338614E-07,0.003137222,1.19874E-05,0.0001250053,9.589515,-595.4825,7613.294,-56.35311,0.4426509,0,
27,-2.197684,-52.18274,49.98506,-0.1366689,0.1088071,0.1022777,1.065868E-07,0.00325024,7.302575E-08,0.003262234,1.199383E-05,0.0001250175,9.593719,-92.51884,15753.69,-56.21804,0.3178583,0,
28,-2.245679,-53.26679,51.02111,-0.1567569,0.151401,0.1069016,1.287373E-07,0.003375258,1.202154E-07,0.003387254,1.199677E-05,0.0001249988,9.597504,128.255,13995.98,-56.30006,0.2962295,0,
29,-2.231845,-57.24827,55.01643,-0.128577,0.4915127,0.1063788,1.288067E-07,0.003500256,1.320594E-07,0.00351225,1.199399E-05,0.0001250167,9.593907,-194.1395,16832.2,-56.84709,0.4190576,0,
30,-2.208786,-55.42987,53.22108,-0.1359801,-0.07316124,0.1115676,7.590056E-08,0.003625273,8.232086E-08,0.003637266,1.199331E-05,0.0001250154,9.593462,148.5235,16030.46,-56.41168,0.4749595,0,
31,-2.227268,-55.96788,53.74061,-0.1752572,0.390014,0.09864754,1.350802E-07,0.003750288,1.289577E-07,0.00376228,1.19918E-05,0.0001249973,9.593646,-212.6613,17293.37,-56.19057,0.2498965,0,
32,-2.22991,-54.33217,52.10226,-0.1235182,0.3086183,0.0979673,1.209667E-07,0.003875286,1.180553E-07,0.003887282,1.199589E-05,0.00012502,9.595175,349.5337,10360.49,-56.91803,0.4190409,0,
33,-2.221594,-53.51617,51.29457,-0.1506217,-0.08131712,0.1096931,1.04295E-07,0.004000306,1.05705E-07,0.004012302,1.199586E-05,0.0001250095,9.59596,-368.2975,7262.248,-56.32902,0.383766,0,
34,-2.210377,-53.63791,51.42753,-0.1370497,0.5005901,0.1138351,1.346363E-07,0.004125315,1.327428E-07,0.004137301,1.198628E-05,0.0001249979,9.589187,-22.21954,10323,-56.67076,0.3799666,0,
