Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.673679,-55.33923,52.66555,-0.1658814,0.4286607,0.1117341,1.354763E-07,0,1.338712E-07,3.998627E-05,3.998627E-05,0.0003590224,11.13754,36.325,1778.033,-146.1399,0.5005335,0,
2,-2.673532,-53.04286,50.36933,-0.1587036,0.4612015,0.1159643,1.292859E-07,0.0003590224,1.304804E-07,0.000399015,3.999265E-05,0.0003590285,11.13913,28.83018,1913.169,-146.2632,0.6610629,0,
3,-2.683276,-55.28297,52.59969,-0.1602461,0.2451688,0.1061307,1.217008E-07,0.0007180508,1.186536E-07,0.0007580463,3.999551E-05,0.0003590275,11.13996,-25.35594,1727.638,-146.01,0.5177104,0,
4,-2.698799,-55.31453,52.61573,-0.1656973,-0.1548722,0.1169487,7.731458E-08,0.001077078,7.941662E-08,0.001117071,3.999305E-05,0.0003590326,11.13911,-39.41264,1806.691,-145.808,0.6486364,0,
5,-2.673384,-54.22757,51.55419,-0.1673052,-0.1359197,0.1013776,1.035616E-07,0.001436111,1.074061E-07,0.001476106,3.999558E-05,0.0003590319,11.13984,31.29188,1615.892,-145.9561,0.4906263,0,
6,-2.676549,-55.01089,52.33434,-0.1744723,0.09343173,0.1474221,1.305236E-07,0.001795143,1.212652E-07,0.001835138,3.999557E-05,0.0003590171,11.1403,47.40049,1298.252,-145.8879,0.5702842,0,
7,-2.694522,-54.78643,52.09191,-0.1731193,0.4436148,0.1254745,1.344028E-07,0.00215416,1.339471E-07,0.002194146,3.998653E-05,0.0003590221,11.13763,44.62621,1437.127,-145.6411,0.4225237,0,
8,-2.683603,-52.38675,49.70315,-0.1566117,0.3925737,0.156553,1.299254E-07,0.002513182,1.303376E-07,0.002553175,3.999272E-05,0.0003590235,11.1393,-63.25595,1601.352,-145.9275,0.4723376,0,
9,-2.670227,-53.05125,50.38102,-0.1582274,0.04724673,0.1398057,1.091673E-07,0.002872206,7.367811E-08,0.002912198,3.999278E-05,0.000359033,11.13903,20.9573,1269.013,-145.7997,0.5078027,0,
10,-2.680075,-55.4413,52.76122,-0.1667953,-0.1084929,0.1475707,8.175155E-08,0.003231238,8.008031E-08,0.003271231,3.999298E-05,0.0003590324,11.1391,-50.23926,1656.082,-145.8438,0.5159242,0,
11,-2.690903,-55.19313,52.50223,-0.1723793,-0.1839413,0.1329643,1.035688E-07,0.003590271,1.062389E-07,0.003630267,3.999562E-05,0.000359022,11.14016,-53.3143,1502.17,-146.0745,0.8066015,0,
12,-2.655686,-57.11541,54.45972,-0.1763587,0.3389847,0.1344634,1.363839E-07,0.003949293,1.297329E-07,0.003989283,3.999042E-05,0.0003590272,11.13855,-37.32468,1376.231,-145.8733,0.3762538,0,
13,-2.661902,-54.95493,52.29302,-0.1646907,0.3544229,0.1622727,1.365035E-07,0.00430832,1.333807E-07,0.004348306,3.998641E-05,0.0003590222,11.13759,-13.17206,1912.457,-145.9213,0.5507697,0,
14,-2.65298,-56.64712,53.99414,-0.1703875,0.364025,0.1420821,1.303197E-07,0.004667342,1.320974E-07,0.004707335,3.999262E-05,0.0003590235,11.13928,25.00373,1763.767,-146.0876,0.6292181,0,
15,-2.669278,-56.2408,53.57152,-0.1611803,0.07507423,0.1210646,1.076841E-07,0.005026366,7.277539E-08,0.005066358,3.99926E-05,0.0003590326,11.13899,-14.02948,1864.187,-146.0327,0.5216257,0,
16,-2.659045,-55.04532,52.38628,-0.1800878,-0.1733908,0.1225849,8.129205E-08,0.005385398,8.301443E-08,0.005425391,3.999279E-05,0.0003590327,11.13904,-58.93777,2042.792,-146.1853,0.7088682,0,
17,-2.682244,-55.24531,52.56306,-0.1781967,-0.1770844,0.1201492,1.035797E-07,0.005744431,1.06654E-07,0.005784426,3.999522E-05,0.0003590223,11.14004,-19.94156,1676.565,-146.3771,0.5034356,0,
18,-2.668964,-56.01202,53.34306,-0.1792877,0.3028405,0.1175267,1.36858E-07,0.006103453,1.295948E-07,0.006143443,3.999006E-05,0.0003590268,11.13846,-26.11249,1370.13,-146.4101,0.4130167,0,
19,-2.683819,-56.51661,53.83279,-0.1791003,0.4231327,0.1174521,1.360526E-07,0.00646248,1.332707E-07,0.006502466,3.998628E-05,0.0003590109,11.1379,-16.24727,1863.595,-146.4903,0.6034424,0,
20,-2.64512,-54.85078,52.20566,-0.1654024,0.2418866,0.1155711,1.221447E-07,0.006821491,1.156384E-07,0.006861486,3.999472E-05,0.0003590346,11.13952,20.40751,1504.846,-146.1617,0.4037337,0,
21,-2.654444,-55.4879,52.83345,-0.1629646,0.01579677,0.1341296,1.104862E-07,0.007180526,7.298537E-08,0.007220518,3.999275E-05,0.0003590323,11.13904,-17.52039,1168.481,-146.178,0.4500144,0,
22,-2.661509,-54.39608,51.73457,-0.1665387,-0.1670357,0.1520577,7.760028E-08,0.007539558,8.182782E-08,0.007579551,3.999298E-05,0.0003590249,11.13933,-3.234875,1591.848,-146.4419,0.8156765,0,
23,-2.667442,-55.00089,52.33345,-0.178648,0.08210823,0.1445867,1.298048E-07,0.007898583,1.212462E-07,0.007938578,3.999523E-05,0.0003590298,11.13981,10.75813,1656.717,-146.5124,0.6889694,0,
24,-2.712696,-55.42406,52.71136,-0.1821828,0.3894507,0.1341366,1.354733E-07,0.008257613,1.300285E-07,0.008297604,3.999133E-05,0.0003590272,11.1388,10.9549,1739.911,-146.271,0.6450726,0,
25,-2.677115,-53.08101,50.40389,-0.1698935,0.42276,0.146859,1.357287E-07,0.00861664,1.339195E-07,0.008656627,3.998704E-05,0.0003590109,11.13811,77.0031,1918.201,-146.3281,0.5740035,0,
26,-2.68042,-57.02828,54.34786,-0.1665308,0.2826017,0.144495,1.211073E-07,0.008975651,1.174512E-07,0.009015646,3.999535E-05,0.0003590344,11.1397,-19.18515,1522.581,-146.3562,0.52047,0,
27,-2.664187,-55.97979,53.31561,-0.1711826,0.07667342,0.1224419,1.072734E-07,0.009334685,7.326796E-08,0.009374679,3.999374E-05,0.0003590258,11.13952,23.26859,1451.766,-146.3912,0.3991772,0,
28,-2.685514,-54.17175,51.48624,-0.1679738,-0.1360333,0.1298949,1.034508E-07,0.009693711,1.078558E-07,0.009733706,3.999512E-05,0.000359032,11.13971,11.55595,1698.268,-146.4441,0.6980622,0,
29,-2.656884,-54.14734,51.49045,-0.178247,0.1005952,0.1603487,1.296431E-07,0.01005274,1.219518E-07,0.01009274,3.999538E-05,0.0003590301,11.13984,11.7667,1384.983,-146.3105,0.58711,0,
30,-2.684632,-58.15801,55.47338,-0.1806264,0.3305611,0.1323728,1.37953E-07,0.01041177,1.291163E-07,0.01045176,3.999145E-05,0.0003590093,11.13939,-26.35188,1680.549,-146.4366,0.638427,0,
31,-2.636917,-55.61385,52.97693,-0.1710665,0.3292931,0.1209347,1.312945E-07,0.01077078,1.324199E-07,0.01081077,3.999274E-05,0.0003590283,11.13916,-94.36957,1498.874,-146.4029,0.4459114,0,
32,-2.665175,-56.51689,53.85172,-0.158263,0.2735734,0.1469987,1.209827E-07,0.01112981,1.178745E-07,0.01116981,3.999519E-05,0.0003590343,11.13966,-0.7523383,1594.492,-146.4013,0.5298896,0,
33,-2.669419,-53.9239,51.25449,-0.172991,0.0857733,0.1242088,1.062713E-07,0.01148884,7.311086E-08,0.01152884,3.999343E-05,0.0003590259,11.13943,-21.1848,1780.761,-146.4484,0.6187986,0,
34,-2.649581,-54.78077,52.13119,-0.1614304,-0.1554641,0.1362123,1.049872E-07,0.01184787,1.085006E-07,0.01188787,3.999517E-05,0.0003590321,11.13972,-12.72905,1543.746,-146.1763,0.6172287,0,
35,-2.675254,-54.68647,52.01122,-0.1741834,0.0759221,0.1447183,1.299968E-07,0.0122069,1.21531E-07,0.0122469,3.999516E-05,0.0003590302,11.13978,-6.014713,2022.759,-146.2594,0.7340477,0,
36,-2.679615,-55.41035,52.73074,-0.1731491,0.3417447,0.1491442,1.361279E-07,0.01256593,1.298721E-07,0.01260592,3.999025E-05,0.0003590082,11.13909,-77.93999,1556.342,-146.1963,0.6182147,0,
37,-2.680296,-54.69827,52.01797,-0.1732283,0.3812692,0.1245368,1.29884E-07,0.01292494,1.301388E-07,0.01296494,3.999358E-05,0.0003590301,11.13934,-88.28561,1667.584,-146.1525,0.7817232,0,
38,-2.668826,-52.27295,49.60412,-0.17836,0.2418916,0.1399746,1.226115E-07,0.01328397,1.179676E-07,0.01332397,3.999476E-05,0.0003590266,11.13978,-13.10148,1320.009,-146.142,0.433511,0,
39,-2.673596,-54.1004,51.4268,-0.1756527,-0.1566769,0.1200127,7.815925E-08,0.013643,8.215386E-08,0.01368299,3.999313E-05,0.0003590332,11.13912,7.326226,1804.903,-146.1373,0.6690688,0,
