Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.667654,-58.4694,55.80175,-0.1774757,0.120198,0.1185717,1.284669E-07,0,1.207055E-07,1.199561E-05,1.199561E-05,0.0001249984,9.596611,151.6558,12930.57,-3.364563,0.3414566,0,
2,-2.693655,-55.07602,52.38237,-0.1463606,0.4858582,0.1053405,1.292383E-07,0.0001249984,1.322143E-07,0.0001369925,1.199416E-05,0.0001250168,9.594044,59.64628,4520.103,-3.384084,0.4493136,0,
3,-2.692812,-56.83576,54.14295,-0.1490862,-0.08906168,0.1335558,7.766449E-08,0.0002500151,7.866513E-08,0.0002620084,1.199324E-05,0.0001250149,9.593451,401.6269,8005.762,-3.397431,0.4797954,0,
4,-2.689065,-54.39031,51.70124,-0.1474166,0.4580187,0.1091338,1.353331E-07,0.00037503,1.294059E-07,0.0003870215,1.199152E-05,0.0001249975,9.593407,-107.372,7367.171,-3.95175,0.4160811,0,
5,-2.674654,-55.32804,52.65339,-0.1125662,0.3306478,0.1097683,1.211271E-07,0.0005000276,1.170715E-07,0.000512023,1.199547E-05,0.00012502,9.594846,-249.1585,16484.7,-3.11188,0.4447109,0,
6,-2.67422,-55.02552,52.3513,-0.1598988,-0.1114333,0.07755664,1.019536E-07,0.0006250475,1.064952E-07,0.0006370435,1.199598E-05,0.0001250089,9.596104,-64.93871,16018.71,-3.580082,0.3460099,0,
7,-2.664112,-56.35843,53.69431,-0.1244636,0.4929245,0.1135214,1.345732E-07,0.0007500564,1.340119E-07,0.0007620439,1.198757E-05,0.0001249987,9.590156,-61.47681,12441.66,-3.524216,0.5297537,0,
8,-2.686749,-55.08297,52.39622,-0.1409771,-0.03829093,0.09323404,7.563774E-08,0.0008750551,7.950453E-08,0.0008870487,1.19936E-05,0.0001250147,9.593758,-229.0381,12461.54,-3.258268,0.5276534,0,
9,-2.660421,-52.67554,50.01512,-0.1605725,0.4270639,0.1152081,1.361062E-07,0.00100007,1.291074E-07,0.001012061,1.199085E-05,0.000124998,9.59283,99.19462,16605.99,-3.504363,0.2836901,0,
10,-2.6952,-52.24458,49.54938,-0.1375022,0.3345094,0.1011413,1.205318E-07,0.001125068,1.171775E-07,0.001137063,1.199554E-05,0.00012502,9.5949,129.9978,8863.89,-3.427181,0.3378216,0,
11,-2.702716,-54.12671,51.424,-0.1552596,-0.04645523,0.1031691,1.014919E-07,0.001250088,1.054955E-07,0.001262084,1.19958E-05,0.0001250089,9.595955,191.1891,5739.658,-3.339779,0.5331289,0,
12,-2.694041,-52.90543,50.21138,-0.1355441,0.5386312,0.1323497,1.341866E-07,0.001375097,1.328869E-07,0.001387084,1.198745E-05,0.0001250051,9.589568,-112.0924,14402.75,-3.199739,0.4279242,0,
13,-2.666312,-54.14406,51.47775,-0.1543849,0.1518722,0.1232492,1.046965E-07,0.001500102,7.304243E-08,0.001512096,1.199389E-05,0.0001250176,9.593759,-472.9584,12165.21,-3.031767,0.410369,0,
14,-2.690651,-56.41997,53.72932,-0.1502347,0.1706997,0.1115151,1.284436E-07,0.001625119,1.201149E-07,0.001637117,1.19971E-05,0.0001249995,9.597724,247.5187,6405.866,-2.671784,0.4284207,0,
15,-2.646732,-54.68021,52.03348,-0.1327305,0.433265,0.1286033,1.301949E-07,0.001750119,1.313954E-07,0.001762112,1.199323E-05,0.0001250164,9.593325,-318.8779,11948.41,-3.590799,0.5885227,0,
