Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-1.111363,-54.55741,53.44604,-0.1741657,-0.1097218,0.1081022,9.79669E-08,0,1.047481E-07,1.199586E-05,1.199586E-05,0.0001250092,9.595987,329.9302,10903.95,145.9375,0.5086066,0,
2,-1.133413,-51.25903,50.12561,-0.1656748,0.5019076,0.09173641,1.342851E-07,0.0001250092,1.337003E-07,0.0001369964,1.198723E-05,0.0001250049,9.589407,144.8171,6442.22,146.0228,0.3449956,0,
3,-1.106717,-54.77538,53.66867,-0.1411363,0.1444535,0.09039495,1.06914E-07,0.0002500141,7.330885E-08,0.0002620076,1.19935E-05,0.0001250179,9.593425,-611.2463,11389.93,146.0198,0.6954462,0,
4,-1.10063,-52.26192,51.16129,-0.1648484,0.1239848,0.096727,1.278379E-07,0.000375032,1.204925E-07,0.0003870282,1.199618E-05,0.0001249995,9.596979,-335.5721,11765.16,145.9957,0.3877333,0,
5,-1.109819,-53.76777,52.65796,-0.1560162,0.4250507,0.08467516,1.295971E-07,0.0005000315,1.325876E-07,0.0005120246,1.199314E-05,0.000125016,9.593287,-136.3944,16309.42,145.997,0.2801536,0,
6,-1.090369,-53.6813,52.59093,-0.1497387,-0.07998566,0.09740794,8.046941E-08,0.0006250474,7.778746E-08,0.0006370406,1.199316E-05,0.0001250152,9.593363,93.94919,9043.256,146.4296,0.6031105,0,
7,-1.095846,-51.52638,50.43053,-0.1754167,0.3822283,0.08519961,1.353026E-07,0.0007500626,1.289426E-07,0.0007620537,1.199109E-05,0.0001249914,9.593537,118.5157,9452.335,146.0571,0.3941889,0,
8,-1.106016,-54.91948,53.81346,-0.1356245,0.1369959,0.1092448,1.067413E-07,0.000875054,7.260646E-08,0.000887048,1.199403E-05,0.0001250183,9.593821,52.80721,5163.983,146.0493,0.8234816,0,
9,-1.097963,-54.57403,53.47607,-0.1751224,0.1235356,0.1213657,1.274147E-07,0.001000072,1.200886E-07,0.001012068,1.199565E-05,0.0001249989,9.596604,-498.9751,16617.13,145.9389,0.5279248,0,
10,-1.116512,-53.64619,52.52968,-0.1522354,0.4453118,0.1162018,1.300078E-07,0.001125071,1.325385E-07,0.001137064,1.199321E-05,0.0001250162,9.593325,394.6307,10601.2,145.5279,0.4553534,0,
11,-1.109467,-56.63955,55.53008,-0.1677738,-0.0604444,0.08884258,8.022739E-08,0.001250087,8.045826E-08,0.00126208,1.199299E-05,0.0001250146,9.593268,-158.2743,12537.61,146.5501,0.4898986,0,
12,-1.132619,-52.65983,51.52721,-0.1826637,0.4077649,0.1035392,1.360232E-07,0.001375102,1.283129E-07,0.001387094,1.199218E-05,0.0001249979,9.593901,112.5551,14178.51,146.0795,0.4005173,0,
13,-1.13117,-53.88502,52.75385,-0.1206074,0.3626596,0.114707,1.211489E-07,0.0015001,1.20049E-07,0.001512096,1.199582E-05,0.0001250201,9.595117,-331.405,18965.7,146.3488,0.391588,0,
14,-1.10029,-54.87074,53.77045,-0.1624537,-0.1455408,0.1077573,9.848295E-08,0.00162512,1.059876E-07,0.001637115,1.199546E-05,0.0001250091,9.595667,257.2415,12164.93,145.7152,0.5139103,0,
15,-1.142112,-54.2478,53.10569,-0.1483381,0.5232219,0.1048806,1.346611E-07,0.001750129,1.335924E-07,0.001762116,1.198706E-05,0.0001250048,9.589284,333.8995,18704.28,146.8487,0.6850914,0,
16,-1.094532,-52.77308,51.67855,-0.1577197,0.1453914,0.1021756,1.067635E-07,0.001875134,7.321327E-08,0.001887128,1.199404E-05,0.0001250184,9.593822,106.2762,13390.03,146.3337,0.4308426,0,
17,-1.09768,-54.28046,53.18279,-0.172128,0.1351804,0.1251601,1.271239E-07,0.002000152,1.206503E-07,0.002012148,1.199522E-05,0.0001249991,9.596246,-395.8451,14846.41,146.2032,0.255562,0,
18,-1.081456,-53.11145,52.03,-0.1530665,0.4345613,0.1131451,1.302288E-07,0.002125151,1.319978E-07,0.002137145,1.199301E-05,0.0001250158,9.593195,-412.7724,17971.86,146.4852,0.3393761,0,
19,-1.123751,-55.27991,54.15616,-0.1697963,-0.07920089,0.1240211,7.86028E-08,0.002250167,7.613493E-08,0.002262161,1.199362E-05,0.0001250026,9.594698,429.5734,6125.57,146.3434,0.6447433,0,
20,-1.113357,-52.36184,51.24849,-0.1520891,0.5158543,0.1079194,1.350831E-07,0.00237517,1.345105E-07,0.002387156,1.198581E-05,0.000125004,9.588335,-420.5601,6340.818,146.2541,0.3409892,0,
21,-1.081746,-57.41085,56.32911,-0.1398716,0.1381302,0.1057963,1.06941E-07,0.002500174,7.32325E-08,0.002512168,1.199403E-05,0.0001250187,9.593795,150.5326,11193.44,146.1529,0.7545442,0,
22,-1.08967,-52.37799,51.28832,-0.1722775,0.09724048,0.1286536,1.280053E-07,0.002625193,1.207124E-07,0.002637188,1.199523E-05,0.0001249989,9.596265,155.7336,9402.476,146.281,0.471948,0,
23,-1.116499,-55.12291,54.0064,-0.132174,0.4890632,0.1134241,1.291592E-07,0.002750192,1.331975E-07,0.002762185,1.19931E-05,0.0001250158,9.593266,92.23451,3809.44,146.6198,0.3588741,0,
24,-1.120163,-53.27381,52.15364,-0.1517489,-0.05201851,0.1140202,7.893436E-08,0.002875207,7.654642E-08,0.002887201,1.199341E-05,0.000125015,9.59358,-169.7383,16044.84,145.8494,0.3346425,0,
25,-1.104774,-58.2369,57.13212,-0.1626819,0.4176901,0.09594061,1.353168E-07,0.003000222,1.290012E-07,0.003012215,1.199227E-05,0.0001249975,9.594007,563.2935,20286.52,146.9179,0.5091728,0,
26,-1.123884,-52.28771,51.16383,-0.1375514,0.33722,0.1154123,1.208749E-07,0.00312522,1.189708E-07,0.003137216,1.199585E-05,0.0001250203,9.595125,-11.82691,21142.55,146.409,0.4397048,0,
27,-1.10837,-52.81209,51.70372,-0.1656432,-0.0929232,0.114533,1.005528E-07,0.00325024,1.063663E-07,0.003262236,1.199547E-05,0.00012501,9.595606,184.8176,11697.36,146.2556,0.3571556,0,
28,-1.104234,-52.5525,51.44827,-0.1514443,0.4746853,0.1049959,1.348981E-07,0.00337525,1.331985E-07,0.003387237,1.198632E-05,0.0001250041,9.58874,203.6785,7069.014,146.166,0.8063225,0,
29,-1.081665,-51.44801,50.36635,-0.167959,0.09272591,0.1033557,1.081304E-07,0.003500254,7.33737E-08,0.003512248,1.199346E-05,0.0001250179,9.593394,342.3339,7603.049,146.3042,0.4879744,0,
30,-1.122744,-53.09549,51.97274,-0.1568339,0.1583237,0.1019536,1.262554E-07,0.003625272,1.198287E-07,0.003637269,1.199656E-05,0.0001249997,9.597273,-157.5178,12642.98,145.9649,0.5974314,0,
31,-1.107101,-53.12647,52.01937,-0.1601881,0.4346391,0.1214226,1.299983E-07,0.003750272,1.31391E-07,0.003762265,1.199301E-05,0.0001250084,9.593768,-442.4061,2968.854,146.6307,0.4250083,0,
