Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-1.47668,-54.23444,52.75776,-0.2180351,-0.2582043,0.1398463,9.991822E-08,0,7.662193E-08,0.0001999922,0.0001999922,0.001692123,11.81901,-1.980264,1795.226,61.30732,0.5672533,0,
2,-1.515164,-54.26273,52.74757,-0.2146529,0.2590531,0.1476518,1.3781E-07,0.001692123,1.337319E-07,0.001892108,0.0001999851,0.001692117,11.81864,3.071671,1775.198,61.23711,0.5953427,0,
3,-1.509579,-53.38913,51.87955,-0.2207277,-0.2490868,0.1564247,9.691866E-08,0.00338424,7.519215E-08,0.003584232,0.0001999926,0.001692135,11.81895,3.149216,1625.533,61.15836,0.6591223,0,
4,-1.489272,-53.88881,52.39954,-0.22014,0.185561,0.1491107,1.366441E-07,0.005076375,1.287386E-07,0.005276366,0.0001999906,0.001692111,11.819,-1.576645,1712.904,61.57145,0.5966026,0,
5,-1.49716,-52.68722,51.19006,-0.221784,-0.04829121,0.1416687,1.149753E-07,0.006768486,7.436849E-08,0.00696848,0.0001999931,0.001692138,11.81896,-3.96858,1879.74,61.5177,0.5782791,0,
6,-1.453972,-54.99963,53.54566,-0.220556,-0.1317888,0.145177,1.29352E-07,0.008460625,1.206557E-07,0.008660619,0.0001999946,0.001692108,11.81925,1.215654,1818.83,61.48336,0.6090241,0,
7,-1.479868,-55.37187,53.89201,-0.2148875,0.09435257,0.1529409,1.274756E-07,0.01015273,1.205117E-07,0.01035273,0.0001999942,0.00169214,11.81901,-1.093159,1764.534,61.70494,0.6401106,0,
8,-1.485251,-55.59865,54.1134,-0.2195164,-0.3220305,0.1497145,9.682318E-08,0.01184487,1.042002E-07,0.01204487,0.0001999943,0.001692112,11.81921,0.6370562,1691.879,61.60912,0.6029045,0,
9,-1.492483,-56.16679,54.67431,-0.2161322,0.2495052,0.1608761,1.335449E-07,0.01353699,1.311609E-07,0.01373698,0.0001999911,0.001692128,11.81891,-1.094817,1746.749,61.54856,0.6310256,0,
10,-1.490739,-55.56544,54.07471,-0.2148727,-0.3226113,0.1601366,9.786239E-08,0.01522911,1.041947E-07,0.01542911,0.0001999942,0.00169213,11.81908,0.1959311,1752.672,61.51507,0.5985372,0,
11,-1.486207,-55.45903,53.97282,-0.2128806,0.25096,0.1511267,1.379611E-07,0.01692124,1.341825E-07,0.01712123,0.0001999856,0.001692117,11.81866,-1.379988,1699.203,61.5412,0.6089225,0,
12,-1.509979,-54.75053,53.24055,-0.21894,-0.2220322,0.1553493,9.59169E-08,0.01861336,7.655669E-08,0.01881335,0.0001999924,0.001692123,11.81902,0.3436959,1756.508,61.45145,0.62584,0,
13,-1.486543,-52.9534,51.46686,-0.2131573,0.235395,0.1464741,1.384609E-07,0.02030548,1.339036E-07,0.02050547,0.0001999849,0.001692124,11.81858,0.3025261,1713.912,61.4457,0.6591983,0,
14,-1.487629,-53.15865,51.67102,-0.2184042,-0.03875531,0.1513553,1.145107E-07,0.02199761,7.765695E-08,0.0221976,0.0001999928,0.001692128,11.81901,-3.506536,1750.027,61.36884,0.6280961,0,
15,-1.481848,-54.36958,52.88773,-0.2125361,0.1996764,0.1582062,1.361698E-07,0.02368974,1.285838E-07,0.02388973,0.0001999909,0.001692118,11.81897,3.546735,1765.744,61.44184,0.6571198,0,
16,-1.512654,-52.59224,51.07959,-0.2182887,0.1800739,0.1458754,1.256591E-07,0.02538185,1.200325E-07,0.02558185,0.0001999944,0.001692132,11.81908,-2.962753,1879.967,61.52307,0.7013294,0,
17,-1.497438,-55.53145,54.03401,-0.216583,-0.08260592,0.1427379,1.291654E-07,0.02707398,1.198381E-07,0.02727398,0.0001999955,0.001692108,11.81931,0.3309756,1867.56,61.54573,0.6103767,0,
18,-1.484812,-54.74705,53.26224,-0.2138499,0.1037286,0.1380081,1.269569E-07,0.02876609,1.192869E-07,0.02896609,0.0001999941,0.00169214,11.81901,-2.354129,1919.602,61.41837,0.6680115,0,
19,-1.491945,-54.55121,53.05927,-0.2102799,-0.3439488,0.1688709,9.836604E-08,0.03045823,1.04842E-07,0.03065823,0.0001999946,0.001692113,11.81922,-5.458215,1951.835,61.46369,0.6466627,0,
20,-1.493588,-54.51631,53.02272,-0.2164376,0.2645679,0.1421377,1.333211E-07,0.03215035,1.330117E-07,0.03235034,0.0001999909,0.001692135,11.81885,2.837792,1745.92,61.26649,0.6266507,0,
21,-1.475002,-53.84858,52.37357,-0.2193106,-0.2712713,0.134772,1.012878E-07,0.03384248,7.626657E-08,0.03404247,0.000199992,0.001692123,11.819,0.06000413,1810.389,61.13033,0.6260069,0,
22,-1.482001,-54.86369,53.38169,-0.2203099,0.2908857,0.1433676,1.36167E-07,0.0355346,1.334259E-07,0.03573459,0.0001999851,0.001692117,11.81863,1.50773,1777.559,61.31863,0.5802568,0,
23,-1.468842,-54.85609,53.38725,-0.2161503,-0.2705796,0.1291738,9.90952E-08,0.03722672,7.833758E-08,0.03742671,0.000199992,0.001692135,11.81891,-1.556337,1830.968,61.25322,0.6514478,0,
24,-1.471261,-53.78379,52.31253,-0.2181618,0.1562046,0.15696,1.376045E-07,0.03891886,1.290113E-07,0.03911885,0.0001999903,0.001692111,11.81898,-4.410558,1521.961,61.24578,0.6048872,0,
25,-1.485275,-54.52119,53.03592,-0.2154245,-0.0313989,0.1404794,1.146734E-07,0.04061097,7.337785E-08,0.04081096,0.0001999925,0.001692138,11.81892,-3.156831,1752.994,61.33816,0.6254686,0,
26,-1.48293,-53.96592,52.48299,-0.2158444,-0.09626243,0.149826,1.289956E-07,0.0423031,1.203815E-07,0.0425031,0.0001999951,0.001692108,11.81929,-3.905319,1767.976,61.72694,0.517166,0,
27,-1.489155,-53.34962,51.86046,-0.2196333,0.1183463,0.1385216,1.264136E-07,0.04399521,1.211451E-07,0.04419521,0.0001999943,0.001692132,11.81907,4.367136,1905.001,61.75716,0.6810549,0,
28,-1.471113,-53.95935,52.48824,-0.2178599,-0.1200252,0.1519427,1.301737E-07,0.04568734,1.199463E-07,0.04588734,0.0001999949,0.00169212,11.81919,-3.664938,1806.625,61.68911,0.6859152,0,
29,-1.485453,-54.02875,52.5433,-0.2164314,0.2139407,0.147958,1.337603E-07,0.04737946,1.318494E-07,0.04757946,0.0001999915,0.001692128,11.81894,-2.69727,1676.66,61.61862,0.642615,0,
30,-1.496979,-55.16682,53.66985,-0.2166674,-0.321411,0.1479915,9.816124E-08,0.04907159,1.050481E-07,0.04927159,0.0001999943,0.001692131,11.81908,-2.860303,1742.634,61.39981,0.5897214,0,
31,-1.50453,-55.36957,53.86504,-0.2210218,0.2985876,0.1392692,1.37134E-07,0.05076372,1.329957E-07,0.05096371,0.0001999846,0.001692116,11.81861,0.2383879,1927.614,61.17714,0.6528802,0,
32,-1.488442,-54.71866,53.23022,-0.2184627,-0.2928899,0.145523,9.887262E-08,0.05245584,7.501034E-08,0.05265583,0.0001999928,0.001692123,11.81905,-1.673261,1762.41,61.32881,0.6256681,0,
33,-1.485083,-53.27478,51.7897,-0.2199037,0.3104379,0.1274753,1.37236E-07,0.05414796,1.328132E-07,0.05434795,0.0001999852,0.001692124,11.81859,-1.029589,1802.406,61.29014,0.6017659,0,
34,-1.478891,-55.52342,54.04453,-0.2163059,-0.05917348,0.1624912,1.15699E-07,0.05584009,7.419558E-08,0.05604008,0.0001999927,0.001692129,11.819,-0.3877187,1763.594,60.95806,0.5860227,0,
35,-1.475969,-53.33076,51.85479,-0.2166537,0.1584721,0.1523541,1.374345E-07,0.05753221,1.279833E-07,0.05773221,0.0001999913,0.001692118,11.81899,1.084455,1693.718,60.87074,0.5751978,0,
36,-1.476262,-53.86608,52.38982,-0.2131393,0.1277894,0.1509727,1.267799E-07,0.05922433,1.194433E-07,0.05942433,0.0001999933,0.001692131,11.81902,-3.850769,1834.777,60.9707,0.6500913,0,
37,-1.489153,-56.13681,54.64765,-0.2254972,-0.07156533,0.1466814,1.277125E-07,0.06091646,1.197856E-07,0.06111646,0.0001999946,0.001692108,11.81926,-1.58832,1701.504,61.06025,0.6428416,0,
38,-1.47596,-54.2735,52.79754,-0.2112079,0.1199243,0.1581602,1.268616E-07,0.06260857,1.202451E-07,0.06280857,0.0001999938,0.001692139,11.81899,1.076551,1592.067,60.98169,0.6242026,0,
39,-1.486303,-54.14894,52.66264,-0.2163975,-0.3056226,0.1466598,9.754425E-08,0.06430072,1.048478E-07,0.0645007,0.0001999941,0.001692113,11.81919,-1.682837,1707.188,61.29646,0.6551539,0,
40,-1.480083,-55.53622,54.05614,-0.2155185,0.2658172,0.1676462,1.330169E-07,0.06599282,1.330719E-07,0.06619281,0.0001999907,0.001692134,11.81884,-1.005303,1773.354,61.22528,0.62209,0,
41,-1.482159,-53.81643,52.33427,-0.2133921,-0.2789471,0.15257,1.006781E-07,0.06768496,7.349615E-08,0.06788495,0.0001999922,0.001692123,11.81901,4.451379,1787.444,61.01574,0.573622,0,
42,-1.482013,-56.63993,55.15791,-0.2178674,0.2420447,0.1421843,1.383016E-07,0.06937708,1.335998E-07,0.06957707,0.0001999842,0.001692117,11.81858,-4.939806,1751.666,61.30695,0.6088157,0,
43,-1.46958,-53.84746,52.37788,-0.2173384,-0.2660047,0.1370456,9.828134E-08,0.0710692,7.799737E-08,0.07126919,0.0001999923,0.001692136,11.81893,-4.572606,1620.468,61.12728,0.6290918,0,
44,-1.490064,-54.81419,53.32413,-0.2242084,0.1918093,0.1444499,1.371923E-07,0.07276133,1.280929E-07,0.07296132,0.0001999903,0.001692111,11.81898,-3.385495,1810.24,60.94754,0.6279023,0,
45,-1.498113,-53.9492,52.45109,-0.2197621,-0.04765089,0.1576475,1.15488E-07,0.07445344,7.572244E-08,0.07465344,0.0001999932,0.001692138,11.81896,-1.549214,1660.766,61.05051,0.5796372,0,
46,-1.47519,-55.3504,53.87521,-0.2175889,-0.07450522,0.1456051,1.286813E-07,0.07614558,1.201753E-07,0.07634558,0.0001999951,0.001692108,11.81929,1.203919,1717.815,61.33203,0.6390887,0,
47,-1.474112,-55.30866,53.83455,-0.215768,0.1159691,0.1721085,1.268927E-07,0.07783769,1.206281E-07,0.07803769,0.0001999942,0.001692132,11.81907,4.926372,1709.642,61.22044,0.6037129,0,
48,-1.477482,-53.90323,52.42575,-0.2168776,-0.1286482,0.1386545,1.293079E-07,0.07952982,1.203066E-07,0.07972982,0.0001999947,0.00169212,11.81918,4.725488,1779.722,61.12869,0.6737555,0,
49,-1.460095,-56.10981,54.64971,-0.2166952,0.2085291,0.1313804,1.342844E-07,0.08122195,1.320828E-07,0.08142193,0.0001999914,0.001692128,11.81893,5.578701,1847.29,61.03239,0.6629094,0,
50,-1.480745,-57.45411,55.97336,-0.2213696,-0.2972878,0.1405065,9.701987E-08,0.08291407,1.04595E-07,0.08311407,0.0001999941,---,---,-0.9217117,1759.683,60.95144,0.605901,0,
