Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.574951,-54.43302,51.85807,-0.2165556,0.1988567,0.1443373,1.376657E-07,0,1.286945E-07,0.0001999911,0.0001999911,0.001692112,11.81903,-2.630908,1709.061,10.92481,0.605593,0,
2,-2.560778,-56.50911,53.94833,-0.2125738,-0.01871811,0.1571477,1.132167E-07,0.001692112,7.305155E-08,0.001892105,0.0001999929,0.001692128,11.81901,-3.536324,1735.956,11.05391,0.5710355,0,
3,-2.558878,-54.87881,52.31994,-0.2167294,0.1536841,0.1548148,1.370732E-07,0.00338424,1.290163E-07,0.003584231,0.0001999904,0.001692117,11.81895,4.972687,1589.739,10.87408,0.582449,0,
4,-2.569881,-54.94027,52.37039,-0.2059777,0.1185475,0.1645947,1.255492E-07,0.005076357,1.194634E-07,0.005276352,0.0001999951,0.001692132,11.81911,-0.6950428,1704.252,10.67245,0.6165328,0,
5,-2.570525,-55.49147,52.92095,-0.2059395,-0.09351768,0.1660809,1.301518E-07,0.00676849,1.194741E-07,0.006968485,0.0001999952,0.001692119,11.81921,-1.913447,1702.788,10.7576,0.6298662,0,
6,-2.561806,-55.07908,52.51727,-0.2136428,0.3025175,0.1483993,1.32142E-07,0.008460609,1.321721E-07,0.008660601,0.0001999919,0.001692129,11.81896,0.8446186,1708.894,10.92141,0.6076615,0,
7,-2.540787,-54.72762,52.18684,-0.2177286,-0.3438998,0.1429583,9.918281E-08,0.01015274,1.064182E-07,0.01035273,0.0001999944,0.001692111,11.81922,-2.888617,1621.495,11.13584,0.5445918,0,
8,-2.569412,-55.54899,52.97958,-0.2124887,0.3168546,0.155096,1.323087E-07,0.01184485,1.320357E-07,0.01204484,0.0001999922,0.001692135,11.81892,1.057611,1699.15,11.31257,0.629948,0,
9,-2.583126,-54.47377,51.89064,-0.2072895,-0.2392753,0.1590308,9.495074E-08,0.01353698,7.647076E-08,0.01373698,0.0001999927,0.001692123,11.81904,2.855926,1835.557,11.19611,0.6305812,0,
10,-2.581812,-54.47498,51.89317,-0.2148972,0.291847,0.1465132,1.365423E-07,0.01522911,1.335085E-07,0.01542909,0.000199986,0.001692124,11.81863,-5.735588,1848.477,11.25441,0.7001327,0,
11,-2.585423,-54.2658,51.68038,-0.2104414,-0.07865964,0.1713954,1.145415E-07,0.01692123,7.481601E-08,0.01712123,0.0001999931,0.001692128,11.81903,4.37735,1562.347,11.22892,0.5405889,0,
12,-2.552036,-54.01754,51.4655,-0.2131937,0.1891766,0.1673508,1.362901E-07,0.01861336,1.278588E-07,0.01881335,0.0001999909,0.001692111,11.81901,-0.4170323,1671.479,11.06649,0.6206963,0,
13,-2.548536,-55.59975,53.05122,-0.2145519,-0.03893316,0.1505837,1.132361E-07,0.02030547,7.328776E-08,0.02050546,0.0001999929,0.001692138,11.81895,-1.343722,1734.963,10.971,0.6466888,0,
14,-2.565714,-53.63282,51.0671,-0.2092466,0.00233046,0.147328,1.287425E-07,0.02199761,1.198236E-07,0.0221976,0.0001999953,0.001692108,11.81929,-3.725756,1565.767,10.73015,0.5824459,0,
15,-2.564493,-54.04078,51.47629,-0.2096746,0.1444637,0.1478479,1.252202E-07,0.02368972,1.16564E-07,0.02388971,0.0001999948,0.00169214,11.81905,0.3862163,1721.411,10.84947,0.6437952,0,
16,-2.546991,-53.49242,50.94543,-0.2144184,-0.3334045,0.1571053,1.014822E-07,0.02538186,1.062151E-07,0.02558185,0.0001999944,0.001692112,11.81922,2.727571,1617.179,10.68382,0.5699366,0,
17,-2.554478,-56.04983,53.49535,-0.2146404,0.2423438,0.1584318,1.33761E-07,0.02707397,1.317005E-07,0.02727396,0.0001999916,0.001692128,11.81894,-1.226547,1574.52,10.76157,0.5867726,0,
18,-2.571425,-55.15641,52.58499,-0.2157207,-0.3228639,0.1891538,1.003355E-07,0.0287661,1.046448E-07,0.02896609,0.0001999946,0.001692129,11.81911,-1.707622,1639.344,10.8311,0.5949378,0,
19,-2.571554,-54.93977,52.36822,-0.2107873,0.309002,0.1462989,1.372053E-07,0.03045823,1.337763E-07,0.03065821,0.0001999862,0.001692118,11.81869,-1.038964,1696.892,11.04941,0.5675924,0,
20,-2.574403,-55.95751,53.38311,-0.2101119,-0.2941424,0.1758569,9.683642E-08,0.03215034,7.841298E-08,0.03235034,0.0001999923,0.001692135,11.81893,1.147589,1827.837,11.1287,0.5697215,0,
21,-2.556962,-54.03566,51.47869,-0.2188883,0.166082,0.147349,1.380535E-07,0.03384248,1.286408E-07,0.03404247,0.0001999903,0.001692111,11.81898,1.242837,1737.76,11.04393,0.5946251,0,
22,-2.597838,-55.07318,52.47535,-0.2132359,-0.05011092,0.1643619,1.123745E-07,0.03553459,7.434615E-08,0.03573459,0.0001999935,0.001692129,11.81904,-1.449978,1554.485,11.04898,0.5398685,0,
23,-2.54049,-55.45492,52.91443,-0.2159269,0.1652703,0.139915,1.363041E-07,0.03722672,1.288289E-07,0.03742671,0.00019999,0.001692117,11.81892,0.5404401,1697.585,10.99389,0.6375482,0,
24,-2.577675,-55.61008,53.03241,-0.2138944,0.1006986,0.1720115,1.268128E-07,0.03891884,1.190486E-07,0.03911883,0.0001999943,0.001692132,11.81907,2.734317,1564.497,10.90115,0.5912728,0,
25,-2.550955,-53.68267,51.13171,-0.2189107,-0.04922992,0.1492913,1.284031E-07,0.04061097,1.211224E-07,0.04081097,0.0001999952,0.001692119,11.81922,0.3258708,1694.375,10.97604,0.612203,0,
26,-2.578122,-55.06557,52.48745,-0.2140791,0.2647516,0.1669807,1.324917E-07,0.04230309,1.314556E-07,0.04250308,0.0001999925,0.001692129,11.81899,1.89853,1684.79,11.04341,0.5662065,0,
27,-2.589998,-54.23188,51.64188,-0.210762,-0.2604451,0.1451645,1.035528E-07,0.04399522,1.034081E-07,0.04419521,0.0001999948,0.001692112,11.81924,-6.941259,1725.408,11.04051,0.6372952,0,
28,-2.561647,-55.50124,52.9396,-0.2188323,0.2373902,0.1374082,1.328875E-07,0.04568733,1.319038E-07,0.04588732,0.0001999917,0.001692135,11.81889,4.861419,1656.895,10.99406,0.6317497,0,
29,-2.55883,-55.8648,53.30597,-0.2119107,-0.263218,0.1768372,9.573497E-08,0.04737946,7.774838E-08,0.04757946,0.0001999924,0.001692122,11.81903,-0.2079026,1771.172,11.03231,0.5674948,0,
30,-2.554452,-55.93892,53.38447,-0.2085173,0.2920542,0.156973,1.36478E-07,0.04907159,1.334838E-07,0.04927157,0.0001999853,0.001692125,11.81859,-0.5098628,1592.776,11.12723,0.5608231,0,
