Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.82655,-55.9561,53.12955,-0.1688411,0.4042204,0.1259628,1.365937E-07,0,1.293144E-07,1.19919E-05,1.19919E-05,0.0001249976,9.593699,-126.8039,18353.06,70.77316,0.6780187,0,
2,-2.829806,-55.01831,52.1885,-0.1224008,0.3665199,0.1259447,1.20578E-07,0.0001249976,1.19243E-07,0.000136993,1.199533E-05,0.0001250202,9.59471,27.73466,19946.26,70.89214,0.389887,0,
3,-2.785508,-54.12854,51.34304,-0.1789243,-0.1014182,0.1050479,9.930059E-08,0.0002500179,1.058342E-07,0.0002620125,1.199462E-05,0.0001250086,9.595041,153.5653,7730.711,70.89205,0.5791583,0,
4,-2.83752,-54.52202,51.6845,-0.1255186,0.5658298,0.1156523,1.333729E-07,0.0003750265,1.335169E-07,0.0003870139,1.198743E-05,0.0001250053,9.589538,-436.6694,14202.54,70.65447,0.4772618,0,
5,-2.768713,-54.18425,51.41553,-0.1500182,0.102379,0.1232457,1.074402E-07,0.0005000317,7.385437E-08,0.0005120252,1.199351E-05,0.0001250177,9.59345,-470.3432,13884.33,70.57322,0.3704525,0,
6,-2.808285,-52.51092,49.70263,-0.1648531,0.1334136,0.11256,1.27048E-07,0.0006250494,1.206205E-07,0.0006370455,1.199605E-05,0.0001249997,9.596869,-270.7541,23736.86,70.76572,0.3578479,0,
7,-2.797728,-55.59338,52.79565,-0.1427917,0.4317883,0.1042914,1.301305E-07,0.0007500491,1.323602E-07,0.0007620421,1.199305E-05,0.0001250085,9.593788,-131.9724,15691.02,70.30477,0.4771461,0,
8,-2.796161,-53.93114,51.13498,-0.1500571,-0.09866138,0.111508,1.004113E-07,0.0008750576,1.07504E-07,0.0008870527,1.199509E-05,0.0001250094,9.59535,157.0348,11311.99,70.54873,0.4364248,0,
9,-2.827642,-55.94952,53.12187,-0.1389284,0.5190034,0.124987,1.341585E-07,0.001000067,1.341312E-07,0.001012054,1.198673E-05,0.0001250045,9.589041,188.6598,8714.862,70.31874,0.416109,0,
10,-2.816462,-53.97832,51.16186,-0.1338465,0.1626529,0.1107289,1.066668E-07,0.001125071,7.314431E-08,0.001137065,1.19939E-05,0.0001250183,9.593722,-313.364,10448.19,70.31456,0.4061736,0,
11,-2.777617,-54.21555,51.43793,-0.1511455,0.1235857,0.111943,1.264421E-07,0.00125009,1.21435E-07,0.001262086,1.199577E-05,0.0001249992,9.596677,-621.0302,12586.36,70.75438,0.5735476,0,
12,-2.822605,-54.33026,51.50766,-0.1279588,0.466619,0.1068254,1.297441E-07,0.001375089,1.311827E-07,0.001387082,1.199307E-05,0.000125016,9.593225,-332.6639,11933.24,70.73508,0.3102268,0,
13,-2.828527,-55.29517,52.46665,-0.1302698,-0.05923291,0.1101833,7.869046E-08,0.001500105,7.742693E-08,0.001512098,1.199345E-05,0.0001250153,9.593587,-417.0139,18810.8,70.61316,0.3385842,0,
14,-2.836395,-53.67255,50.83615,-0.1573927,0.4265148,0.09098613,1.362404E-07,0.00162512,1.293203E-07,0.001637112,1.199131E-05,0.0001249971,9.59327,106.164,22423.35,70.55405,0.3563654,0,
15,-2.807978,-52.49336,49.68538,-0.1237192,0.3571034,0.110851,1.207669E-07,0.001750117,1.173367E-07,0.001762113,1.199535E-05,0.0001250201,9.594734,-158.4281,9446.141,70.51898,0.378171,0,
16,-2.833095,-54.29069,51.45759,-0.1580827,-0.1095336,0.09955335,1.001529E-07,0.001875137,1.044923E-07,0.001887133,1.199586E-05,0.0001250098,9.595939,-330.2173,11469.2,70.77956,0.3978086,0,
17,-2.808812,-53.51836,50.70955,-0.14765,0.5134829,0.1119359,1.348576E-07,0.002000147,1.332148E-07,0.002012134,1.198673E-05,0.0001250044,9.58905,230.8567,11852.26,70.55457,0.4131541,0,
18,-2.796838,-57.31451,54.51767,-0.1320333,0.1029224,0.1115716,1.071618E-07,0.002125152,7.369132E-08,0.002137145,1.19936E-05,0.0001250075,9.594303,-438.3833,21129.99,70.3008,0.4114777,0,
19,-2.806778,-56.3428,53.53602,-0.147614,0.4811445,0.1404178,1.344452E-07,0.002250159,1.295432E-07,0.002262152,1.199237E-05,0.000124998,9.59405,84.78671,7581.959,70.47251,0.3899243,0,
20,-2.803966,-55.86484,53.06087,-0.1510384,0.2781524,0.09384409,1.219461E-07,0.002375157,1.178556E-07,0.002387153,1.199572E-05,0.0001250201,9.595036,82.1796,12146.37,70.80894,0.8582431,0,
21,-2.827533,-55.05019,52.22266,-0.1516023,-0.08121991,0.1169305,1.012443E-07,0.002500177,1.063369E-07,0.002512173,1.199566E-05,0.0001250087,9.59586,805.4228,12419.46,70.4623,0.4469367,0,
22,-2.873658,-56.78206,53.90841,-0.1544602,0.5437545,0.132896,1.345591E-07,0.002625186,1.318397E-07,0.002637174,1.198822E-05,0.0001250053,9.590172,87.53107,14471.8,69.9867,0.5006598,0,
23,-2.865165,-55.38533,52.52016,-0.1255224,0.2364279,0.1104805,1.043938E-07,0.002750191,7.291511E-08,0.002762186,1.199452E-05,0.0001250181,9.594226,-147.588,26372.71,70.7748,0.3953507,0,
24,-2.830882,-56.38828,53.55739,-0.161072,0.1893164,0.1060454,1.280649E-07,0.002875209,1.1986E-07,0.002887206,1.199661E-05,0.0001249998,9.597303,235.69,8131.083,70.62578,0.3973702,0,
25,-2.781526,-55.27133,52.4898,-0.137203,0.432869,0.1199201,1.302674E-07,0.003000209,1.344912E-07,0.003012202,1.199288E-05,0.0001250153,9.593122,399.062,10006.8,70.77437,0.3462338,0,
26,-2.818609,-55.66163,52.84302,-0.1515768,-0.05627108,0.09932564,7.682021E-08,0.003125224,7.839908E-08,0.003137218,1.19936E-05,0.0001250156,9.593679,-62.56925,14422.32,70.84147,0.4798111,0,
27,-2.834499,-54.55561,51.72111,-0.1685703,0.3891191,0.1070102,1.361483E-07,0.00325024,1.281846E-07,0.003262232,1.199149E-05,0.0001249975,9.593383,-57.28672,4471.435,70.62214,0.3450112,0,
28,-2.838754,-53.18845,50.3497,-0.131515,0.3720264,0.09608544,1.201475E-07,0.003375238,1.182463E-07,0.003387233,1.19956E-05,0.0001250198,9.594961,-406.8419,13841.68,70.68073,0.438132,0,
29,-2.81095,-55.13033,52.31937,-0.1584611,-0.07971971,0.1017988,1.014032E-07,0.003500257,1.050297E-07,0.003512253,1.199579E-05,0.0001250098,9.595881,-332.0533,11006.17,70.42902,0.5000083,0,
30,-2.795921,-53.93595,51.14003,-0.1265035,0.5042001,0.1046441,1.34097E-07,0.003625267,1.334422E-07,0.003637254,1.198682E-05,0.0001249975,9.589644,-363.8226,13989.09,70.66963,0.7359297,0,
31,-2.81544,-55.03424,52.2188,-0.1340206,-0.0286673,0.09787973,7.653032E-08,0.003750265,7.865253E-08,0.003762258,1.199341E-05,0.0001250154,9.593554,-667.8087,9005.826,70.74611,0.3856453,0,
32,-2.805358,-56.40932,53.60396,-0.1682224,0.3840206,0.09735174,1.363228E-07,0.00387528,1.287321E-07,0.003887272,1.199186E-05,0.0001249975,9.593687,1.027031,7141.673,70.24823,0.3942496,0,
33,-2.831908,-57.24762,54.41571,-0.1276021,0.3708051,0.1018211,1.201442E-07,0.004000278,1.208572E-07,0.004012274,1.199614E-05,0.0001250199,9.595381,-298.3307,10450.76,70.59811,0.533617,0,
34,-2.837938,-57.92441,55.08648,-0.1551902,-0.0539385,0.109839,9.887836E-08,0.004125298,1.054087E-07,0.004137293,1.199583E-05,0.0001250097,9.595925,155.9082,15365.64,70.61005,0.562393,0,
35,-2.830488,-57.08547,54.25498,-0.1395357,0.5147126,0.1206966,1.353467E-07,0.004250307,1.337876E-07,0.004262294,1.198708E-05,0.0001250044,9.589326,148.7165,14290.55,70.64461,0.4800692,0,
36,-2.79722,-56.92678,54.12956,-0.1284883,0.1410831,0.08264735,1.072783E-07,0.004375312,7.449963E-08,0.004387306,1.199416E-05,0.0001250181,9.593941,274.6783,21814.02,70.56854,0.3348262,0,
37,-2.804671,-58.46458,55.65991,-0.1501377,0.1678402,0.1376385,1.288073E-07,0.004500329,1.21086E-07,0.004512326,1.199618E-05,0.0001249993,9.597004,-440.4982,8639.9,70.52917,0.3564057,0,
38,-2.814085,-54.20084,51.38675,-0.1378834,0.4807869,0.1164059,1.292683E-07,0.004625329,1.322043E-07,0.004637322,1.199285E-05,0.0001250158,9.593067,-196.3117,12353.14,70.58431,0.4389908,0,
39,-2.797485,-57.53021,54.73273,-0.1266117,-0.06482733,0.1050156,7.572373E-08,0.004750344,8.053593E-08,0.004762338,1.199334E-05,0.0001250148,9.59354,-167.1446,21434.94,70.79768,0.4386882,0,
40,-2.82367,-56.7057,53.88203,-0.1599188,0.4288479,0.1174153,1.354233E-07,0.00487536,1.283046E-07,0.004887352,1.199245E-05,0.0001249977,9.594133,661.0555,14766.7,70.70237,0.721531,0,
41,-2.821427,-54.48869,51.66726,-0.1356363,0.3062017,0.08662235,1.213295E-07,0.005000357,1.197785E-07,0.005012353,1.199635E-05,0.0001250202,9.595527,184.788,17653.3,70.30061,0.3304727,0,
42,-2.825434,-56.18676,53.36132,-0.1585693,-0.06983924,0.0981814,1.002642E-07,0.005125377,1.058E-07,0.005137373,1.199582E-05,0.0001249909,9.597353,-316.7308,14459.09,70.88239,0.4822534,0,
43,-2.835309,-55.30792,52.47261,-0.1342866,0.5256559,0.1505642,1.285745E-07,0.005250368,1.316405E-07,0.005262362,1.19942E-05,0.0001250166,9.59409,-110.8273,10654.19,70.9618,0.6401387,0,
44,-2.811383,-54.32773,51.51635,-0.1379254,-0.04390778,0.1060322,7.734124E-08,0.005375385,7.991238E-08,0.005387378,1.199346E-05,0.0001250152,9.593598,276.8618,11285.53,70.71642,0.5782586,0,
45,-2.81769,-54.47515,51.65746,-0.1696637,0.3929468,0.09425952,1.358812E-07,0.0055004,1.290147E-07,0.005512392,1.199163E-05,0.0001249973,9.593509,49.77047,9928.32,70.84569,0.5330265,0,
46,-2.838031,-53.3059,50.46786,-0.120507,0.3648501,0.09918599,1.208553E-07,0.005625397,1.18041E-07,0.005637393,1.199581E-05,0.0001250206,9.595068,225.9032,14495.91,70.36346,0.5401589,0,
47,-2.794354,-55.23299,52.43864,-0.1655431,-0.1074105,0.1179429,9.979971E-08,0.005750418,1.055835E-07,0.005762413,1.199533E-05,0.000125009,9.595572,-184.2495,11310.75,70.57144,0.7785121,0,
48,-2.801581,-53.69435,50.89277,-0.1340158,0.5144296,0.113078,1.343676E-07,0.005875427,1.336975E-07,0.005887413,1.198668E-05,0.0001250042,9.58902,-364.3182,9416.646,70.49372,0.3880097,0,
49,-2.882727,-53.58046,50.69773,-0.1379354,0.2135942,0.09492262,1.033215E-07,0.006000431,7.269053E-08,0.006012426,1.199479E-05,0.0001250184,9.594423,266.6776,10909.99,70.65228,0.440494,0,
50,-2.816655,-54.70333,51.88668,-0.1575248,0.1150608,0.1150125,1.283379E-07,0.00612545,1.205228E-07,0.006137446,1.199612E-05,---,---,-46.63563,16678.81,70.69865,0.3211755,0,
