Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-1.290788,-53.76991,52.47913,-0.1835194,0.3549806,0.1190553,1.313132E-07,0,1.316202E-07,3.999243E-05,3.999243E-05,0.0003590225,11.13925,-30.21964,1689.875,19.21737,0.4916075,0,
2,-1.30842,-55.90151,54.59309,-0.1888305,0.07285357,0.1392311,1.078581E-07,0.0003590225,7.30674E-08,0.000399016,3.999357E-05,0.0003590338,11.13922,10.77948,1544.362,19.16234,0.3825738,0,
3,-1.306594,-54.25947,52.95287,-0.1974084,-0.1246331,0.1289557,8.646769E-08,0.0007180563,8.107645E-08,0.0007580486,3.999234E-05,0.0003590324,11.13892,17.31018,1783.354,18.99659,0.6399824,0,
4,-1.292718,-53.50153,52.20881,-0.1880243,-0.1845897,0.121843,1.010553E-07,0.001077089,1.05909E-07,0.001117084,3.999496E-05,0.0003590222,11.13997,-5.818947,1397.052,19.07751,0.4267112,0,
5,-1.343671,-53.61919,52.27552,-0.1893252,0.3149236,0.104584,1.374443E-07,0.001436111,1.286129E-07,0.001476103,3.999182E-05,0.000359027,11.13894,-13.89847,1278.463,19.1235,0.4393934,0,
6,-1.297803,-54.50215,53.20435,-0.1948746,0.3945786,0.1375507,1.356043E-07,0.001795138,1.340031E-07,0.001835124,3.998623E-05,0.0003590223,11.13753,-25.94838,1881.915,19.19739,0.6223986,0,
7,-1.306657,-54.16389,52.85724,-0.1854067,0.3655619,0.1572536,1.300152E-07,0.00215416,1.301901E-07,0.002194153,3.999251E-05,0.0003590225,11.13928,-25.25546,1959.514,19.20567,0.8906003,0,
8,-1.292887,-56.92551,55.63262,-0.1860271,0.05342141,0.09681408,1.0943E-07,0.002513183,7.305513E-08,0.002553176,3.999321E-05,0.0003590328,11.13915,64.09785,1510.977,19.16385,0.4326487,0,
9,-1.303149,-56.84948,55.54633,-0.1788741,-0.1911476,0.1177847,8.241258E-08,0.002872216,8.019791E-08,0.002912209,3.999335E-05,0.0003590334,11.13917,-0.5860044,1986.353,19.2779,0.7120029,0,
10,-1.293895,-57.13149,55.83759,-0.1878027,-0.1810821,0.13673,1.024898E-07,0.003231249,1.062987E-07,0.003271244,3.999487E-05,0.0003590219,11.13995,18.89799,1741.649,19.24108,0.4425151,0,
11,-1.316549,-53.51582,52.19928,-0.1923645,0.3293838,0.1248452,1.355012E-07,0.003590271,1.289467E-07,0.003630262,3.999079E-05,0.0003590277,11.13864,0.1586591,1638.668,19.20734,0.5195474,0,
12,-1.285729,-54.60468,53.31895,-0.1972442,0.3899735,0.1389313,1.368185E-07,0.003949299,1.336465E-07,0.003989284,3.998543E-05,0.0003590099,11.1377,30.05546,1867.372,18.9569,0.6666346,0,
13,-1.304178,-55.51683,54.21265,-0.1819724,0.2328128,0.1300526,1.230985E-07,0.004308308,1.168953E-07,0.004348304,3.999519E-05,0.0003590343,11.13966,34.45562,1335.327,18.98342,0.6410576,0,
14,-1.292056,-53.86962,52.57756,-0.1863395,0.03604844,0.143857,1.094361E-07,0.004667343,7.321365E-08,0.004707336,3.999297E-05,0.0003590333,11.13907,10.05206,1688.439,19.17588,0.5029436,0,
15,-1.297068,-53.17797,51.8809,-0.1773534,-0.1613286,0.1123294,8.641241E-08,0.005026376,8.047133E-08,0.005066369,3.999279E-05,0.0003590249,11.13928,-30.7556,1537.075,18.97555,0.5390716,0,
16,-1.302206,-52.65227,51.35006,-0.1954627,0.01642722,0.1153019,1.295896E-07,0.005385401,1.205451E-07,0.005425396,3.999528E-05,0.0003590298,11.13982,-42.40108,1614.728,18.94815,0.627609,0,
17,-1.30042,-55.67434,54.37392,-0.1993456,0.2631375,0.1370852,1.363695E-07,0.005744431,1.2911E-07,0.005784421,3.999047E-05,0.0003590265,11.13859,7.988168,1794.744,18.99399,0.5472366,0,
18,-1.320687,-54.42437,53.10368,-0.1755322,0.4116862,0.1230494,1.360847E-07,0.006103457,1.329867E-07,0.006143444,3.998685E-05,0.0003590114,11.13805,-10.12416,1817.952,19.10566,0.6429188,0,
19,-1.308333,-54.46959,53.16125,-0.1783324,0.2380662,0.1488686,1.228567E-07,0.006462469,1.182496E-07,0.006502464,3.999522E-05,0.0003590343,11.13967,-128.6043,1927.292,18.9196,0.7582669,0,
20,-1.306037,-52.53777,51.23174,-0.1841171,0.0614518,0.1291421,1.093965E-07,0.006821503,7.301455E-08,0.006861496,3.999298E-05,0.0003590328,11.13909,-73.2228,1624.484,19.16244,0.6019852,0,
21,-1.321162,-53.505,52.18383,-0.1775848,-0.1487802,0.1160959,8.331008E-08,0.007180536,7.757895E-08,0.007220529,3.999305E-05,0.0003590249,11.13935,60.85167,1774.643,18.91826,0.5219514,0,
22,-1.320537,-53.23836,51.91782,-0.1908948,0.06477205,0.1492278,1.296358E-07,0.007539561,1.202443E-07,0.007579556,3.999532E-05,0.0003590304,11.13981,-33.91026,1597.359,18.98449,0.5092131,0,
23,-1.27148,-56.49751,55.22603,-0.1894655,0.2946149,0.1376635,1.381896E-07,0.007898591,1.299973E-07,0.007938582,3.999001E-05,0.0003590265,11.13845,-61.2615,1661.64,19.05362,0.6902352,0,
24,-1.304661,-54.67597,53.37131,-0.1908023,0.3794277,0.1566344,1.354627E-07,0.008257618,1.335463E-07,0.008297605,3.998677E-05,0.0003590107,11.13804,-36.18372,1627.889,19.15084,0.569002,0,
25,-1.297609,-53.1431,51.84549,-0.1771119,0.2393969,0.1216043,1.230737E-07,0.008616628,1.180309E-07,0.008656624,3.999511E-05,0.0003590345,11.13963,-23.92354,1595.584,19.19685,0.6658002,0,
26,-1.28985,-55.7902,54.50035,-0.1825172,0.04911771,0.1245127,1.101849E-07,0.008975663,7.28399E-08,0.009015656,3.999315E-05,0.0003590258,11.13935,-58.23278,1690.019,19.21923,0.5928859,0,
27,-1.334615,-55.40185,54.06724,-0.1875463,-0.1738424,0.1347941,1.016349E-07,0.009334689,1.060411E-07,0.009374684,3.999523E-05,0.0003590319,11.13974,-72.78459,1842.722,19.44106,0.5587551,0,
28,-1.301735,-54.64184,53.3401,-0.1822813,0.04819721,0.1258753,1.292846E-07,0.00969372,1.20897E-07,0.009733716,3.999546E-05,0.0003590304,11.13985,-54.1637,1222.813,19.38799,0.3640065,0,
29,-1.309711,-53.83994,52.53023,-0.1901994,0.318879,0.1243984,1.357836E-07,0.01005275,1.29106E-07,0.01009274,3.99904E-05,0.0003590087,11.13912,2.973999,2079.847,19.26314,0.9112126,0,
30,-1.284923,-54.36258,53.07766,-0.1812217,0.3578596,0.1137388,1.313809E-07,0.01041176,1.333661E-07,0.01045175,3.999262E-05,0.000359029,11.1391,-19.90262,1821.695,19.14179,0.4592186,0,
31,-1.276734,-55.60483,54.32809,-0.1771387,0.2391683,0.139543,1.230719E-07,0.01077079,1.20537E-07,0.01081078,3.999499E-05,0.0003590341,11.13961,-39.52894,1682.585,19.18712,0.5936781,0,
32,-1.294977,-52.98153,51.68655,-0.1796914,0.02127187,0.1234747,1.101204E-07,0.01112982,7.347106E-08,0.01116982,3.999333E-05,0.0003590258,11.1394,-16.10628,1732.533,19.04714,0.625628,0,
33,-1.302537,-52.92726,51.62473,-0.1909939,-0.1631822,0.1291868,1.035094E-07,0.01148885,1.066204E-07,0.01152884,3.999487E-05,0.0003590321,11.13964,20.71507,1980.876,19.11801,0.7094336,0,
