Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-1.136104,-53.95712,52.82102,-0.2193348,0.1552333,0.1309343,1.373913E-07,0,1.283184E-07,0.0001999913,0.0001999913,0.001692118,11.81899,-0.5333861,1869.444,-158.8501,0.6719075,0,
2,-1.131925,-55.53872,54.4068,-0.2199556,0.1221728,0.1299426,1.271258E-07,0.001692118,1.208632E-07,0.001892112,0.0001999937,0.001692131,11.81904,-3.298679,1650.841,-158.8851,0.5407227,0,
3,-1.141765,-54.08077,52.939,-0.2124624,-0.05870645,0.145513,1.280786E-07,0.00338425,1.200139E-07,0.003584245,0.0001999954,0.001692108,11.8193,-2.400159,1736.112,-158.8278,0.681174,0,
4,-1.157641,-55.56057,54.40292,-0.2183332,0.1823403,0.1559447,1.25893E-07,0.005076358,1.208247E-07,0.005276352,0.0001999944,0.00169214,11.81902,-3.258471,1682.172,-158.8373,0.6093646,0,
5,-1.133195,-53.74695,52.61375,-0.2131211,-0.3299681,0.1269539,9.710445E-08,0.006768498,1.053103E-07,0.006968491,0.0001999939,0.001692112,11.81919,-3.263818,1752.782,-158.8523,0.5951309,0,
6,-1.143435,-53.59533,52.4519,-0.2215381,0.2672672,0.127593,1.336365E-07,0.008460609,1.321013E-07,0.008660601,0.0001999921,0.001692136,11.81892,-0.977069,1900.064,-158.5396,0.7147998,0,
7,-1.129991,-55.55634,54.42635,-0.2241012,-0.2890134,0.1509297,1.03368E-07,0.01015275,7.561118E-08,0.01035274,0.0001999921,0.001692123,11.819,-1.103643,1587.345,-158.4815,0.5654795,0,
8,-1.127746,-53.06243,51.93468,-0.2147535,0.2662651,0.1434898,1.383871E-07,0.01184487,1.336259E-07,0.01204485,0.0001999849,0.001692117,11.81863,0.9497533,1901.321,-158.8245,0.7211335,0,
9,-1.158616,-53.13588,51.97726,-0.2174331,-0.2564321,0.1417083,9.90179E-08,0.01353699,7.312057E-08,0.01373698,0.0001999923,0.001692136,11.81893,0.5887061,1726.924,-158.9136,0.5792934,0,
10,-1.163209,-53.55424,52.39103,-0.2220454,0.1684232,0.137503,1.377516E-07,0.01522912,1.287652E-07,0.01542911,0.0001999911,0.001692111,11.81903,-0.6144313,1680.206,-158.9101,0.6386678,0,
