Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.907656,-56.40672,53.49906,-0.2153809,-0.08507221,0.1482642,1.306858E-07,0,1.21876E-07,0.0001999947,0.0001999947,0.00169212,11.81918,-1.35337,1559.333,76.52859,0.5943889,0,
2,-2.90237,-55.93293,53.03056,-0.2110429,0.2238798,0.1432559,1.33349E-07,0.00169212,1.323718E-07,0.001892111,0.000199992,0.001692129,11.81896,-4.221619,1709.536,76.2753,0.6264927,0,
3,-2.926416,-55.55992,52.63351,-0.2074075,-0.2935962,0.1538475,1.033825E-07,0.003384248,1.063664E-07,0.003584243,0.0001999946,0.001692111,11.81923,-1.326758,1666.594,76.34894,0.5971439,0,
4,-2.914751,-57.0739,54.15915,-0.2051029,0.2352227,0.1399265,1.325948E-07,0.005076359,1.321765E-07,0.005276352,0.0001999925,0.001692136,11.81894,6.498768,1717.715,76.68409,0.6019464,0,
5,-2.9251,-54.89753,51.97243,-0.2079525,-0.25764,0.1332204,9.51316E-08,0.006768496,8.073972E-08,0.006968488,0.0001999921,0.001692122,11.81901,-5.015779,1790.864,76.60815,0.6404468,0,
6,-2.925993,-56.84892,53.92293,-0.2047498,0.2991149,0.1406178,1.368744E-07,0.008460618,1.34396E-07,0.008660602,0.000199985,0.001692125,11.81858,2.890064,1602.251,76.72806,0.6133178,0,
7,-2.920546,-57.44836,54.52781,-0.2080412,-0.06848711,0.1383276,1.131401E-07,0.01015274,7.295611E-08,0.01035274,0.0001999929,0.001692128,11.81901,2.068305,1690.521,76.4491,0.605138,0,
8,-2.926401,-54.33936,51.41296,-0.206322,0.1908856,0.1601301,1.365934E-07,0.01184487,1.291379E-07,0.01204486,0.0001999908,0.001692118,11.81896,2.625437,1616.355,76.52311,0.5920818,0,
9,-2.931418,-56.25454,53.32312,-0.2068179,0.09453386,0.1500311,1.254639E-07,0.01353699,1.180201E-07,0.01373698,0.0001999946,0.001692132,11.81909,-1.07398,1675.64,76.60366,0.5480834,0,
10,-2.90645,-55.36483,52.45837,-0.2150245,-0.03844849,0.1469837,1.307698E-07,0.01522912,1.203743E-07,0.01542911,0.0001999949,0.00169212,11.81919,0.2906226,1774.745,76.54247,0.6833519,0,
11,-2.927505,-55.9077,52.9802,-0.2134061,0.2551216,0.1785433,1.334516E-07,0.01692124,1.324563E-07,0.01712123,0.0001999918,0.001692128,11.81895,-0.1445789,1642.555,76.55652,0.5577082,0,
12,-2.931235,-55.12357,52.19234,-0.2101688,-0.2409028,0.1661437,1.041931E-07,0.01861337,1.079092E-07,0.01881336,0.0001999945,0.00169213,11.8191,-2.816601,1841.936,76.22598,0.5969693,0,
13,-2.953941,-56.30234,53.3484,-0.2110469,0.2636327,0.1536301,1.379188E-07,0.0203055,1.331002E-07,0.02050548,0.0001999853,0.001692118,11.81864,1.064799,1735.351,76.27959,0.5681295,0,
14,-2.917666,-55.32491,52.40725,-0.2125018,-0.2946635,0.1617311,9.386852E-08,0.02199762,8.267651E-08,0.02219761,0.0001999919,0.001692135,11.81891,-0.3951642,1739.112,76.21785,0.5723264,0,
15,-2.922782,-56.79931,53.87653,-0.2132883,0.2368562,0.1515912,1.371637E-07,0.02368975,1.293051E-07,0.02388974,0.0001999908,0.001692112,11.819,-0.0209304,1628.17,76.36022,0.5221425,0,
16,-2.935564,-55.97855,53.04299,-0.2053938,-0.07189211,0.1399927,1.129426E-07,0.02538186,7.27432E-08,0.02558186,0.0001999927,0.001692128,11.81901,1.462251,1577.048,76.44692,0.5002095,0,
17,-2.931743,-55.31543,52.38368,-0.2175837,0.2127616,0.140518,1.372116E-07,0.02707399,1.294303E-07,0.02727398,0.0001999901,0.001692118,11.81892,-4.765301,1712.852,76.26225,0.6023717,0,
