Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.75222,-54.30859,51.55637,-0.2132668,0.2693484,0.1790585,1.325857E-07,0,1.320974E-07,0.0001999919,0.0001999919,0.001692128,11.81896,-2.133481,1568.439,-93.15256,0.5921033,0,
2,-2.758337,-55.78872,53.03038,-0.2151906,-0.3042306,0.1601127,9.70599E-08,0.001692128,1.052167E-07,0.001892122,0.0001999939,0.001692129,11.81907,-1.338707,1753.243,-93.1404,0.6357674,0,
3,-2.77219,-55.04723,52.27504,-0.2156179,0.3632882,0.1703472,1.363485E-07,0.003384257,1.326354E-07,0.003584244,0.0001999872,0.001692118,11.81875,2.289252,1552.131,-93.07535,0.5513708,0,
4,-2.746753,-56.6195,53.87274,-0.2149739,-0.2646665,0.1671939,9.57265E-08,0.005076375,7.75469E-08,0.005276368,0.0001999924,0.001692135,11.81893,-1.004074,1750.964,-93.11044,0.662851,0,
5,-2.74362,-56.59755,53.85393,-0.2187123,0.1640003,0.1734708,1.372523E-07,0.006768511,1.286729E-07,0.006968501,0.0001999908,0.001692111,11.81901,3.182975,1795.364,-93.09311,0.6350581,0,
6,-2.732726,-54.85016,52.11744,-0.2099173,-0.06653103,0.162944,1.151513E-07,0.008460622,7.586473E-08,0.008660614,0.0001999929,0.001692129,11.81901,3.019671,1661.932,-93.03384,0.5547567,0,
7,-2.75343,-55.05465,52.30122,-0.2158692,0.1802321,0.1450168,1.363516E-07,0.01015275,1.292226E-07,0.01035274,0.0001999904,0.001692117,11.81894,-1.978101,1589.561,-92.97626,0.5271328,0,
8,-2.758748,-53.84041,51.08166,-0.2083211,0.1503631,0.1806147,1.25644E-07,0.01184487,1.196235E-07,0.01204486,0.0001999944,0.001692132,11.81908,-2.195835,1593.807,-92.73827,0.5728809,0,
9,-2.76372,-55.6661,52.90238,-0.2137623,-0.08244076,0.1368755,1.287457E-07,0.013537,1.194029E-07,0.01373699,0.0001999952,0.00169212,11.81921,-6.915939,1709.668,-92.8223,0.601464,0,
10,-2.758197,-54.35036,51.59216,-0.2150905,0.266498,0.1563268,1.327971E-07,0.01522912,1.32107E-07,0.01542911,0.000199992,0.001692129,11.81896,2.566763,1842.943,-92.79705,0.6559431,0,
11,-2.76132,-54.45023,51.68891,-0.2142835,-0.2615665,0.1605847,9.804385E-08,0.01692125,1.047694E-07,0.01712124,0.0001999942,0.001692112,11.81921,1.290766,1599.271,-92.89684,0.6109176,0,
12,-2.761286,-55.25762,52.49634,-0.2090518,0.2891082,0.1559467,1.330132E-07,0.01861336,1.331073E-07,0.01881335,0.0001999917,0.001692136,11.8189,-0.3978381,1713.576,-92.94717,0.5840409,0,
13,-2.76021,-56.6576,53.89739,-0.2105818,-0.2349891,0.1468996,9.778857E-08,0.0203055,7.902464E-08,0.02050549,0.000199992,0.001692123,11.819,-5.898457,1821.002,-93.12324,0.64332,0,
14,-2.748418,-54.65978,51.91136,-0.2119637,0.2981384,0.1690577,1.360631E-07,0.02199762,1.332348E-07,0.0221976,0.0001999845,0.001692123,11.81855,-2.51414,1667.492,-93.05011,0.5528581,0,
15,-2.761175,-54.32389,51.56271,-0.2146094,-0.008150655,0.1570454,1.123499E-07,0.02368974,7.577125E-08,0.02388974,0.0001999933,0.001692129,11.81904,-2.665004,1604.442,-93.07938,0.6075503,0,
16,-2.744948,-56.70398,53.95903,-0.2200246,0.2109033,0.1566639,1.376496E-07,0.02538187,1.286652E-07,0.02558186,0.0001999906,0.001692118,11.81896,1.414157,1706.526,-93.15879,0.6345848,0,
17,-2.763394,-53.86836,51.10497,-0.2104206,0.1381465,0.1935025,1.258625E-07,0.02707399,1.212732E-07,0.02727398,0.0001999943,0.001692132,11.81907,4.517115,1634.843,-93.22035,0.6678564,0,
18,-2.770727,-54.77725,52.00653,-0.212132,-0.05115293,0.14799,1.280468E-07,0.02876612,1.197852E-07,0.02896612,0.0001999951,0.001692108,11.81929,-1.231627,1664.507,-93.36631,0.5361522,0,
19,-2.743512,-54.66518,51.92167,-0.2094343,0.1285821,0.1611225,1.258016E-07,0.03045823,1.189268E-07,0.03065822,0.0001999943,0.00169214,11.81902,4.592827,1665.126,-93.48471,0.6449603,0,
20,-2.74564,-54.93489,52.18925,-0.2195101,-0.3193902,0.153812,9.938546E-08,0.03215037,1.044102E-07,0.03235036,0.0001999946,0.001692112,11.81922,1.498294,1498.428,-93.30788,0.5412453,0,
21,-2.74502,-54.86502,52.12,-0.2072546,0.2212518,0.149797,1.334124E-07,0.03384248,1.327503E-07,0.03404247,0.0001999911,0.001692135,11.81886,1.039342,1675.682,-93.16129,0.6210385,0,
22,-2.744652,-54.59302,51.84837,-0.2083333,-0.2184272,0.1587852,9.7919E-08,0.03553462,7.63957E-08,0.03573461,0.0001999923,0.001692122,11.81902,-5.274144,1737.078,-93.27287,0.6597836,0,
23,-2.753555,-55.52278,52.76923,-0.2101216,0.3061287,0.1482867,1.369081E-07,0.03722674,1.332486E-07,0.03742673,0.0001999862,0.001692118,11.8187,-1.078773,1680.82,-93.37146,0.6723884,0,
24,-2.744965,-55.01591,52.27095,-0.2091718,-0.2452692,0.1628712,9.62025E-08,0.03891886,7.796511E-08,0.03911885,0.0001999924,0.001692135,11.81894,-3.033709,1706.258,-93.15459,0.6364011,0,
25,-2.761838,-55.66673,52.90489,-0.2141595,0.205137,0.1625281,1.375059E-07,0.04061099,1.292351E-07,0.04081098,0.0001999905,0.001692111,11.81899,0.8457481,1650.236,-93.2003,0.6095363,0,
26,-2.776935,-54.85456,52.07763,-0.2126169,-0.06449038,0.1659239,1.141823E-07,0.0423031,7.877086E-08,0.0425031,0.0001999936,0.001692138,11.81899,4.517822,1449.474,-93.16043,0.5302093,0,
27,-2.769558,-55.1576,52.38804,-0.2145972,-0.04920128,0.1697179,1.2855E-07,0.04399524,1.193155E-07,0.04419523,0.000199995,0.001692108,11.81928,-4.049666,1708.534,-92.87014,0.5916559,0,
28,-2.756846,-55.10947,52.35262,-0.2083771,0.1362926,0.1472909,1.263006E-07,0.04568735,1.214476E-07,0.04588734,0.0001999942,0.001692132,11.81907,0.3326307,1742.379,-92.80343,0.5841801,0,
29,-2.739736,-55.1603,52.42057,-0.2150753,-0.09626661,0.1607563,1.293156E-07,0.04737948,1.199065E-07,0.04757947,0.0001999952,0.00169212,11.81921,0.5163147,1599.365,-92.99577,0.5742949,0,
30,-2.751731,-54.72242,51.97069,-0.2189963,0.2823111,0.148752,1.326416E-07,0.0490716,1.313536E-07,0.04927159,0.0001999919,0.001692128,11.81896,-1.028087,1686.277,-93.15253,0.6059993,0,
31,-2.758814,-55.90753,53.14872,-0.2156086,-0.319821,0.1591246,9.996658E-08,0.05076373,1.04993E-07,0.05096372,0.0001999944,0.00169213,11.81909,0.9248922,1538.522,-93.07835,0.5333306,0,
32,-2.733415,-57.13385,54.40043,-0.2133024,0.2660401,0.1509702,1.376381E-07,0.05245586,1.33281E-07,0.05265584,0.0001999855,0.001692117,11.81865,-0.516196,1676.027,-93.24609,0.5773061,0,
33,-2.756536,-55.14678,52.39025,-0.2189322,-0.250479,0.149947,9.732221E-08,0.05414797,7.481029E-08,0.05434797,0.0001999925,0.001692123,11.81903,-0.05716974,1850.486,-93.23501,0.6620656,0,
34,-2.75134,-56.14885,53.39751,-0.209779,0.2716528,0.1462123,1.381396E-07,0.0558401,1.335409E-07,0.05604008,0.0001999854,0.001692124,11.81861,-0.2942973,1814.923,-93.25359,0.6011904,0,
35,-2.74434,-56.22716,53.48282,-0.2112131,-0.06471362,0.140304,1.154233E-07,0.05753222,7.5758E-08,0.05773221,0.0001999928,0.001692129,11.81901,0.2492795,1570.003,-93.09959,0.6108207,0,
36,-2.764404,-54.64986,51.88546,-0.2143679,0.1821081,0.1614293,1.366286E-07,0.05922435,1.281932E-07,0.05942434,0.0001999912,0.001692118,11.81899,1.455039,1797.63,-93.00107,0.624144,0,
37,-2.744219,-54.59147,51.84725,-0.2146587,0.1286127,0.1436436,1.261646E-07,0.06091647,1.204039E-07,0.06111646,0.0001999938,0.001692132,11.81905,-0.21623,1759.975,-93.10235,0.6213062,0,
38,-2.754195,-55.16615,52.41196,-0.2140524,-0.07481854,0.1636331,1.299191E-07,0.0626086,1.194101E-07,0.0628086,0.0001999951,0.001692108,11.81929,2.968786,1767.332,-93.17906,0.6885366,0,
39,-2.765931,-55.54823,52.7823,-0.2154605,0.1442335,0.1537016,1.257704E-07,0.06430071,1.189573E-07,0.0645007,0.0001999949,0.00169214,11.81905,0.4387998,1710.771,-93.17609,0.5187046,0,
40,-2.758631,-54.38459,51.62596,-0.2127419,-0.2913628,0.145541,9.815243E-08,0.06599285,1.058336E-07,0.06619284,0.0001999938,0.001692111,11.81919,-2.18334,1786.76,-93.22559,0.6936783,0,
41,-2.773188,-55.74566,52.97247,-0.2139111,0.2200334,0.1584343,1.339781E-07,0.06768496,1.324408E-07,0.06788495,0.000199992,0.001692135,11.81891,5.216686,1453.725,-93.10699,0.5150883,0,
42,-2.759862,-55.84496,53.08509,-0.2099519,-0.2245825,0.1607129,9.285112E-08,0.06937709,7.739875E-08,0.06957709,0.0001999926,0.001692123,11.81904,3.525109,1692.516,-93.18696,0.6167561,0,
43,-2.777891,-56.11379,53.3359,-0.2131345,0.3652224,0.1530749,1.369601E-07,0.07106922,1.327685E-07,0.0712692,0.0001999855,0.001692118,11.81866,-3.538547,1643.414,-93.18201,0.6160046,0,
44,-2.767519,-54.67879,51.91127,-0.2162349,-0.2637015,0.1449562,9.416267E-08,0.07276133,7.564894E-08,0.07296133,0.0001999926,0.001692136,11.81895,-0.655573,1696.869,-93.14727,0.5688606,0,
45,-2.755741,-55.09375,52.33801,-0.2117939,0.1987697,0.1489351,1.369464E-07,0.07445347,1.293496E-07,0.07465346,0.0001999907,0.001692111,11.81901,-6.67486,1624.594,-93.24913,0.5771297,0,
46,-2.757735,-55.68546,52.92773,-0.2180512,-0.08625228,0.1782312,1.145561E-07,0.07614558,7.302104E-08,0.07634558,0.0001999928,0.001692138,11.81894,1.600165,1847.529,-93.07199,0.5882571,0,
47,-2.730023,-55.16143,52.43141,-0.2158701,-0.09386832,0.1516142,1.307822E-07,0.07783772,1.206417E-07,0.07803772,0.0001999946,0.001692108,11.81926,1.991981,1704.121,-93.33282,0.5982521,0,
48,-2.752738,-55.61911,52.86637,-0.2095814,0.1254678,0.1665886,1.260903E-07,0.07952983,1.21683E-07,0.07972983,0.0001999943,0.001692132,11.81907,2.107297,1788.175,-93.34721,0.6141455,0,
49,-2.762286,-54.74532,51.98304,-0.2143879,-0.07308763,0.1596736,1.294908E-07,0.08122196,1.196181E-07,0.08142196,0.000199995,0.00169212,11.8192,-2.765246,1647.58,-93.28323,0.5773925,0,
50,-2.771526,-53.8237,51.05218,-0.2132757,0.2738082,0.1481366,1.333351E-07,0.08291408,1.326055E-07,0.08311407,0.0001999917,---,---,-6.574892,1729.103,-92.9358,0.5815315,0,
