Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.57693,-55.41415,52.83722,-0.2048771,0.3121461,0.1598602,1.37427E-07,0,1.338319E-07,0.0001999862,0.0001999862,0.001692118,11.81869,5.101902,1593.111,-144.3819,0.5733008,0,
2,-2.567466,-55.43342,52.86596,-0.2091844,-0.2235057,0.1677738,9.662534E-08,0.001692118,7.612614E-08,0.00189211,0.0001999922,0.001692123,11.81901,-3.229946,1742.573,-144.3466,0.5849974,0,
3,-2.586904,-53.58396,50.99706,-0.2083879,0.3095876,0.1670215,1.365181E-07,0.00338424,1.32725E-07,0.003584226,0.0001999858,0.001692124,11.81863,-1.522393,1763.819,-144.4158,0.5833168,0,
4,-2.572289,-56.06036,53.48808,-0.2076609,-0.0333663,0.1768282,1.146697E-07,0.005076364,7.646786E-08,0.005276357,0.0001999932,0.001692129,11.81903,-6.50168,1624.077,-144.3448,0.5438427,0,
5,-2.562715,-54.43644,51.87373,-0.2105949,0.1898696,0.1580943,1.366365E-07,0.006768493,1.276032E-07,0.006968484,0.0001999912,0.001692118,11.81899,1.583916,1683.526,-144.2965,0.5572921,0,
6,-2.566569,-55.89689,53.33032,-0.2060421,0.1492599,0.1475141,1.260009E-07,0.00846061,1.203043E-07,0.008660605,0.0001999943,0.001692132,11.81907,1.380668,1676.767,-144.2296,0.6165761,0,
7,-2.570373,-56.07133,53.50096,-0.2086987,-0.07026774,0.1491387,1.281979E-07,0.01015274,1.201689E-07,0.01035274,0.0001999954,0.001692108,11.8193,1.279119,1562.157,-144.2176,0.4714505,0,
8,-2.58771,-55.81335,53.22564,-0.203239,0.1880986,0.1554177,1.256212E-07,0.01184485,1.19392E-07,0.01204485,0.0001999947,0.00169214,11.81904,0.2651067,1772.016,-144.0685,0.5990388,0,
9,-2.56832,-55.72323,53.15491,-0.2066534,-0.3029262,0.1386259,9.978992E-08,0.01353699,1.050699E-07,0.01373698,0.0001999945,0.001692113,11.81922,3.318819,1808.443,-144.1656,0.6082539,0,
10,-2.574395,-55.58858,53.01418,-0.2033579,0.2611412,0.1417083,1.331399E-07,0.0152291,1.316979E-07,0.01542909,0.0001999916,0.001692135,11.8189,-0.07404507,1673.261,-144.163,0.5740189,0,
11,-2.562991,-55.89489,53.3319,-0.2126064,-0.2251654,0.1560925,9.534124E-08,0.01692124,7.871596E-08,0.01712123,0.0001999921,0.001692123,11.81901,0.3906299,1633.55,-144.0051,0.5462883,0,
12,-2.578603,-54.89593,52.31733,-0.2046766,0.3316684,0.1426878,1.370427E-07,0.01861336,1.333144E-07,0.01881335,0.0001999851,0.001692117,11.81863,4.500943,1666.949,-144.1256,0.568135,0,
13,-2.589339,-55.89102,53.30168,-0.2104514,-0.2209748,0.1677279,9.755034E-08,0.02030548,7.288094E-08,0.02050547,0.0001999926,0.001692135,11.81895,3.119771,1743.086,-144.2528,0.6469973,0,
14,-2.562663,-55.83064,53.26797,-0.2092698,0.2058337,0.1437828,1.368342E-07,0.02199761,1.286022E-07,0.0221976,0.0001999914,0.001692111,11.81904,-4.528322,1743.636,-144.0802,0.5216275,0,
15,-2.560581,-54.68712,52.12654,-0.2118938,-0.00590297,0.163655,1.138871E-07,0.02368972,7.973212E-08,0.02388972,0.0001999934,0.001692138,11.81898,-2.772887,1598.318,-143.7946,0.6394268,0,
16,-2.568287,-55.03984,52.47156,-0.2062409,-0.07251073,0.1409395,1.283119E-07,0.02538186,1.2002E-07,0.02558186,0.0001999951,0.001692108,11.81929,-0.5884208,1753.453,-143.7549,0.6153671,0,
17,-2.589144,-54.10083,51.51168,-0.2106929,0.1710196,0.1396708,1.256212E-07,0.02707397,1.208738E-07,0.02727396,0.0001999949,0.001692132,11.81911,-1.551831,1683.14,-143.7804,0.6414034,0,
18,-2.574626,-55.46675,52.89212,-0.2068994,-0.04630012,0.1509887,1.281719E-07,0.0287661,1.206874E-07,0.0289661,0.0001999953,0.00169212,11.81921,-0.8720837,1810.29,-143.6835,0.6350895,0,
19,-2.57608,-53.63696,51.06087,-0.2114613,0.2749037,0.1486315,1.333056E-07,0.03045822,1.317233E-07,0.03065821,0.0001999916,0.001692128,11.81894,-0.5234856,1654.117,-143.7108,0.5638043,0,
