Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.689669,-53.7368,51.04713,-0.1423855,0.4388663,0.08969567,1.301657E-07,0,1.3101E-07,1.199451E-05,1.199451E-05,0.0001250171,9.594299,-763.0046,11583.68,-25.43153,0.4337643,0,
2,-2.684882,-54.17091,51.48603,-0.1408203,-0.08144462,0.1231783,7.551856E-08,0.0001250171,7.698745E-08,0.000137011,1.199388E-05,0.0001250151,9.593946,-131.2203,9196.443,-25.56842,0.3594229,0,
3,-2.665189,-54.51535,51.85016,-0.181494,0.3905763,0.1125211,1.353713E-07,0.0002500321,1.291997E-07,0.0002620232,1.199107E-05,0.0001249978,9.593027,-705.3577,14524.39,-25.98633,0.4161118,0,
4,-2.658474,-53.14862,50.49015,-0.1416578,0.3357816,0.1130478,1.19999E-07,0.0003750299,1.16555E-07,0.0003870252,1.199527E-05,0.0001250199,9.594689,481.1619,14951.95,-25.82027,0.4269961,0,
5,-2.694352,-54.9232,52.22885,-0.1511793,-0.055824,0.1290788,1.039432E-07,0.0005000498,1.072624E-07,0.0005120456,1.199567E-05,0.0001250088,9.595866,65.03642,8790.928,-25.53803,0.2595762,0,
6,-2.693074,-53.80141,51.10834,-0.1464131,0.5244725,0.0908244,1.339733E-07,0.0006250587,1.332998E-07,0.0006370461,1.198743E-05,0.0001250058,9.589495,-472.9064,14469.26,-25.87461,0.4705291,0,
7,-2.67885,-53.4404,50.76155,-0.1298935,0.1410923,0.1064051,1.05855E-07,0.0007500644,7.270697E-08,0.0007620579,1.199342E-05,0.0001250174,9.593403,-539.3556,14176.12,-25.81072,0.3643461,0,
8,-2.674128,-57.35816,54.68403,-0.1568611,0.155516,0.170607,1.284387E-07,0.0008750818,1.210059E-07,0.0008870783,1.199651E-05,0.0001249984,9.597327,-179.5324,7362.754,-25.2396,0.4607794,0,
9,-2.708119,-56.28572,53.57761,-0.1484323,0.5122169,0.1215515,1.28079E-07,0.00100008,1.312052E-07,0.001012074,1.199413E-05,0.0001250166,9.594033,-260.458,11635.58,-25.91841,0.396504,0,
10,-2.67357,-53.88065,51.20708,-0.1419637,-0.08321275,0.09310229,7.581514E-08,0.001125097,7.909608E-08,0.001137091,1.199375E-05,0.000125015,9.593852,420.553,14338.09,-25.61062,0.3021781,0,
11,-2.674414,-54.97001,52.29559,-0.1776319,0.3895339,0.09626926,1.356404E-07,0.001250112,1.3037E-07,0.001262103,1.199071E-05,0.0001249978,9.592742,254.7458,10878.34,-25.70914,0.4226795,0,
12,-2.686737,-53.91351,51.22677,-0.1136918,0.3261911,0.1179953,1.210914E-07,0.00137511,1.188844E-07,0.001387106,1.199638E-05,0.0001250123,9.596157,525.135,14939.94,-25.81854,0.3715078,0,
13,-2.699919,-57.05525,54.35533,-0.1714342,0.1641852,0.1308756,1.303211E-07,0.001500122,1.208944E-07,0.001512118,1.199567E-05,0.0001249987,9.596637,-43.44936,9368.737,-25.88671,0.3472685,0,
