Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.497705,-54.302,51.8043,-0.1872373,0.3162845,0.1213657,1.360688E-07,0,1.296132E-07,3.999089E-05,3.999089E-05,0.0003590263,11.13871,-5.913633,1663.418,101.9283,0.5251169,0,
2,-2.522439,-56.83917,54.31673,-0.1853104,0.3962694,0.1337802,1.3575E-07,0.0003590263,1.339411E-07,0.0003990133,3.9987E-05,0.0003590115,11.13808,-46.66885,1671.644,101.7122,0.5926372,0,
3,-2.509751,-54.84015,52.33039,-0.1552825,0.2856151,0.1366136,1.2171E-07,0.0007180378,1.18029E-07,0.0007580326,3.999484E-05,0.0003590342,11.13956,37.48558,1839.143,101.6879,0.6434834,0,
4,-2.501755,-55.65205,53.1503,-0.1611502,0.06973568,0.1079173,1.071113E-07,0.001077072,7.342648E-08,0.001117065,3.999303E-05,0.0003590331,11.13909,-15.12899,1327.06,101.779,0.3990453,0,
5,-2.510432,-54.34679,51.83636,-0.1694243,-0.1569822,0.1219567,7.990984E-08,0.001436105,8.177763E-08,0.001476098,3.999282E-05,0.0003590246,11.1393,-20.84493,1751.356,101.6367,0.6227291,0,
6,-2.493308,-53.09617,50.60286,-0.1734531,0.1237408,0.1197433,1.303191E-07,0.00179513,1.213072E-07,0.001835125,3.999501E-05,0.0003590301,11.13974,52.27814,1855.695,101.9115,0.7053586,0,
7,-2.486156,-53.86253,51.37638,-0.1945739,0.2779108,0.1196929,1.385049E-07,0.00215416,1.295187E-07,0.00219415,3.999066E-05,0.0003590088,11.13918,-30.08569,1905.184,101.5824,0.7364647,0,
8,-2.48679,-54.62653,52.13974,-0.1752656,0.3655997,0.1191454,1.309134E-07,0.002513169,1.315615E-07,0.002553161,3.999262E-05,0.0003590293,11.1391,-41.59822,1511.089,101.6858,0.5419129,0,
9,-2.501746,-55.11917,52.61743,-0.1612315,0.2407929,0.1426718,1.218839E-07,0.002872198,1.169534E-07,0.002912193,3.9995E-05,0.0003590343,11.13961,-10.88364,1513.141,101.6313,0.530974,0,
10,-2.494931,-56.44252,53.94759,-0.1666684,0.06554078,0.1218263,1.079733E-07,0.003231232,7.303112E-08,0.003271225,3.999321E-05,0.0003590253,11.13939,77.4378,1796.043,101.6736,0.6945882,0,
11,-2.526169,-54.93729,52.41112,-0.1577899,-0.1362973,0.1559667,1.053576E-07,0.003590258,1.067677E-07,0.003630253,3.99953E-05,0.0003590323,11.13975,6.276176,1724.767,101.7075,0.44614,0,
12,-2.487733,-55.87687,53.38914,-0.1728163,0.07166036,0.1401426,1.2923E-07,0.00394929,1.207833E-07,0.003989285,3.999487E-05,0.0003590305,11.13969,-30.15601,1595.479,101.7336,0.6811343,0,
13,-2.495708,-55.35447,52.85876,-0.1779299,0.2950483,0.1254835,1.365229E-07,0.00430832,1.299052E-07,0.00434831,3.998977E-05,0.0003590087,11.13894,13.41574,1632.551,101.6166,0.6007193,0,
14,-2.518246,-55.93096,53.41272,-0.1702671,0.360846,0.1274954,1.308085E-07,0.004667329,1.326827E-07,0.004707322,3.999272E-05,0.000359029,11.13914,-64.75404,1535.116,101.5581,0.4682362,0,
15,-2.476996,-55.34295,52.86595,-0.1588147,0.2255608,0.1063788,1.221598E-07,0.005026358,1.167707E-07,0.005066353,3.999475E-05,0.000359034,11.13954,64.16831,2009.305,101.4511,0.6905152,0,
16,-2.470965,-54.58572,52.11475,-0.1588516,0.02090931,0.1429579,1.086712E-07,0.005385392,7.317992E-08,0.005425385,3.999337E-05,0.000359026,11.13941,-9.613773,1569.48,101.6469,0.701355,0,
17,-2.496759,-54.22566,51.7289,-0.1747646,-0.1666995,0.1249176,1.047645E-07,0.005744418,1.069756E-07,0.005784413,3.999522E-05,0.0003590319,11.13974,16.12455,1766.551,101.5908,0.5117387,0,
